Year,SERIES,COMPOSITE_BREAKDOWN,Value
2021,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,8.4
2022,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,7.4
2023,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,6.6
2024,Area of unused arable land,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,6.7
2015,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.4
2016,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.4
2017,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",1.0
2018,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",1.5
2019,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.5
2020,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.9
2021,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",1.0
2022,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.7
2023,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.4
2024,Area of unused arable land,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",0.4
2015,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),44.366
2016,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),40.1
2017,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),36.4
2018,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),31.4
2019,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),31.7
2020,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),27.2
2021,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),26.2
2022,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),22.0
2023,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),19.3
2024,Area of unused arable land,Cause of non-use: Severe rainfed conditions (insufficient soil moisture in spring),18.6
2015,Area of unused arable land,Cause of non-use: Remoteness and stony,16.5
2016,Area of unused arable land,Cause of non-use: Remoteness and stony,15.1
2017,Area of unused arable land,Cause of non-use: Remoteness and stony,13.7
2018,Area of unused arable land,Cause of non-use: Remoteness and stony,11.9
2019,Area of unused arable land,Cause of non-use: Remoteness and stony,10.2
2020,Area of unused arable land,Cause of non-use: Remoteness and stony,9.4
2021,Area of unused arable land,Cause of non-use: Remoteness and stony,8.4
2022,Area of unused arable land,Cause of non-use: Remoteness and stony,7.1
2023,Area of unused arable land,Cause of non-use: Remoteness and stony,6.3
2024,Area of unused arable land,Cause of non-use: Remoteness and stony,5.3
2015,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",9.9
2016,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",7.9
2017,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",7.9
2018,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",7.0
2019,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",6.2
2020,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",6.5
2021,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",6.7
2022,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",9.8
2023,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",8.2
2024,Area of unused arable land,"Cause of non-use: Others (for industry, expansion of settlements and others)",6.5
