Year,Reference area,Sex,COMPOSITE_BREAKDOWN,Value
2018,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,227.576975
2019,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,243.190023
2020,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,273.1
2007,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,417.024159
2008,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,391.888864
2009,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,369.425338
2010,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,391.05893
2011,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,360.51983
2012,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,394.941203
2013,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,385.8
2014,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,362.966175
2015,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,361.027837
2016,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,328.686101
2017,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,325.901229
2018,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,302.014803
2019,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,302.901197
2020,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,377.0
2007,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,406.934307
2008,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,382.007233
2009,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,366.89038
2010,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,388.229927
2011,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,353.526221
2012,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,391.051454
2013,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,395.050817
2014,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,379.475983
2015,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,370.689655
2016,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,334.324554
2017,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,334.589615
2018,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,309.661437
2019,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,303.05499
2020,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,400.0
2007,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,426.911042
2008,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,401.599289
2009,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,371.919014
2010,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,393.831024
2011,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,367.39227
2012,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,398.767606
2013,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,376.578145
2014,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,346.683893
2015,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,351.489362
2016,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,323.109244
2017,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,317.295728
2018,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,294.430794
2019,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,302.748585
2020,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,354.1
2007,Naryn,,Non-communicable disease: Cardiovascular disease,333.333333
2008,Naryn,,Non-communicable disease: Cardiovascular disease,306.525038
2009,Naryn,,Non-communicable disease: Cardiovascular disease,280.675422
2010,Naryn,,Non-communicable disease: Cardiovascular disease,301.11239
2011,Naryn,,Non-communicable disease: Cardiovascular disease,326.251897
2012,Naryn,,Non-communicable disease: Cardiovascular disease,318.198874
2013,Naryn,,Non-communicable disease: Cardiovascular disease,327.400816
2014,Naryn,,Non-communicable disease: Cardiovascular disease,317.582418
2015,Naryn,,Non-communicable disease: Cardiovascular disease,310.032597
2016,Naryn,,Non-communicable disease: Cardiovascular disease,312.813171
2017,Naryn,,Non-communicable disease: Cardiovascular disease,302.654867
2018,Naryn,,Non-communicable disease: Cardiovascular disease,307.988788
2019,Naryn,,Non-communicable disease: Cardiovascular disease,317.030871
2020,Naryn,,Non-communicable disease: Cardiovascular disease,340.7
2007,Naryn,Male,Non-communicable disease: Cardiovascular disease,351.515152
2008,Naryn,Male,Non-communicable disease: Cardiovascular disease,322.60479
2009,Naryn,Male,Non-communicable disease: Cardiovascular disease,278.846154
2010,Naryn,Male,Non-communicable disease: Cardiovascular disease,300.757576
2011,Naryn,Male,Non-communicable disease: Cardiovascular disease,346.556886
2012,Naryn,Male,Non-communicable disease: Cardiovascular disease,338.757396
2013,Naryn,Male,Non-communicable disease: Cardiovascular disease,347.69905
2014,Naryn,Male,Non-communicable disease: Cardiovascular disease,366.064982
2015,Naryn,Male,Non-communicable disease: Cardiovascular disease,327.623126
2016,Naryn,Male,Non-communicable disease: Cardiovascular disease,334.273625
2017,Naryn,Male,Non-communicable disease: Cardiovascular disease,311.977716
2018,Naryn,Male,Non-communicable disease: Cardiovascular disease,334.710744
2019,Naryn,Male,Non-communicable disease: Cardiovascular disease,344.239945
2020,Naryn,Male,Non-communicable disease: Cardiovascular disease,388.9
2007,Naryn,Female,Non-communicable disease: Cardiovascular disease,314.685315
2008,Naryn,Female,Non-communicable disease: Cardiovascular disease,290.0
2009,Naryn,Female,Non-communicable disease: Cardiovascular disease,282.559025
2010,Naryn,Female,Non-communicable disease: Cardiovascular disease,301.476301
2011,Naryn,Female,Non-communicable disease: Cardiovascular disease,305.384615
2012,Naryn,Female,Non-communicable disease: Cardiovascular disease,297.029703
2013,Naryn,Female,Non-communicable disease: Cardiovascular disease,306.475904
2014,Naryn,Female,Non-communicable disease: Cardiovascular disease,267.657993
2015,Naryn,Female,Non-communicable disease: Cardiovascular disease,291.911765
2016,Naryn,Female,Non-communicable disease: Cardiovascular disease,290.697674
2017,Naryn,Female,Non-communicable disease: Cardiovascular disease,293.016559
2018,Naryn,Female,Non-communicable disease: Cardiovascular disease,280.313837
2019,Naryn,Female,Non-communicable disease: Cardiovascular disease,288.841808
2020,Naryn,Female,Non-communicable disease: Cardiovascular disease,290.6
2007,Osh,,Non-communicable disease: Cardiovascular disease,246.353611
2008,Osh,,Non-communicable disease: Cardiovascular disease,252.523479
2009,Osh,,Non-communicable disease: Cardiovascular disease,266.436881
2010,Osh,,Non-communicable disease: Cardiovascular disease,285.129847
2011,Osh,,Non-communicable disease: Cardiovascular disease,275.168963
2012,Osh,,Non-communicable disease: Cardiovascular disease,281.602757
2013,Osh,,Non-communicable disease: Cardiovascular disease,264.368785
2014,Osh,,Non-communicable disease: Cardiovascular disease,273.041759
2015,Osh,,Non-communicable disease: Cardiovascular disease,265.675241
2016,Osh,,Non-communicable disease: Cardiovascular disease,239.007538
2017,Osh,,Non-communicable disease: Cardiovascular disease,240.774908
2018,Osh,,Non-communicable disease: Cardiovascular disease,229.292169
2019,Osh,,Non-communicable disease: Cardiovascular disease,230.9
2020,Osh,,Non-communicable disease: Cardiovascular disease,304.8
2007,Osh,Male,Non-communicable disease: Cardiovascular disease,253.001412
2008,Osh,Male,Non-communicable disease: Cardiovascular disease,260.983264
2009,Osh,Male,Non-communicable disease: Cardiovascular disease,272.245038
2010,Osh,Male,Non-communicable disease: Cardiovascular disease,301.200565
2011,Osh,Male,Non-communicable disease: Cardiovascular disease,294.630404
2012,Osh,Male,Non-communicable disease: Cardiovascular disease,299.110198
2013,Osh,Male,Non-communicable disease: Cardiovascular disease,280.361325
2014,Osh,Male,Non-communicable disease: Cardiovascular disease,291.224056
2015,Osh,Male,Non-communicable disease: Cardiovascular disease,269.292092
2016,Osh,Male,Non-communicable disease: Cardiovascular disease,243.075008
2017,Osh,Male,Non-communicable disease: Cardiovascular disease,251.674787
2018,Osh,Male,Non-communicable disease: Cardiovascular disease,243.702489
2019,Osh,Male,Non-communicable disease: Cardiovascular disease,248.613139
2020,Osh,Male,Non-communicable disease: Cardiovascular disease,330.8
2007,Osh,Female,Non-communicable disease: Cardiovascular disease,239.605735
2008,Osh,Female,Non-communicable disease: Cardiovascular disease,243.945554
2009,Osh,Female,Non-communicable disease: Cardiovascular disease,260.545044
2010,Osh,Female,Non-communicable disease: Cardiovascular disease,268.817204
2011,Osh,Female,Non-communicable disease: Cardiovascular disease,255.435743
2012,Osh,Female,Non-communicable disease: Cardiovascular disease,263.843083
2013,Osh,Female,Non-communicable disease: Cardiovascular disease,248.131793
2014,Osh,Female,Non-communicable disease: Cardiovascular disease,254.566589
2015,Osh,Female,Non-communicable disease: Cardiovascular disease,261.997406
2016,Osh,Female,Non-communicable disease: Cardiovascular disease,234.865293
2017,Osh,Female,Non-communicable disease: Cardiovascular disease,229.658385
2018,Osh,Female,Non-communicable disease: Cardiovascular disease,214.579212
2019,Osh,Female,Non-communicable disease: Cardiovascular disease,212.686567
2020,Osh,Female,Non-communicable disease: Cardiovascular disease,278.3
2007,Talas,,Non-communicable disease: Cardiovascular disease,348.958333
2008,Talas,,Non-communicable disease: Cardiovascular disease,340.325342
2009,Talas,,Non-communicable disease: Cardiovascular disease,348.778433
2010,Talas,,Non-communicable disease: Cardiovascular disease,333.767361
2011,Talas,,Non-communicable disease: Cardiovascular disease,345.034247
2012,Talas,,Non-communicable disease: Cardiovascular disease,342.459983
2013,Talas,,Non-communicable disease: Cardiovascular disease,309.8
2014,Talas,,Non-communicable disease: Cardiovascular disease,332.653893
2015,Talas,,Non-communicable disease: Cardiovascular disease,322.503008
2016,Talas,,Non-communicable disease: Cardiovascular disease,288.704581
2017,Talas,,Non-communicable disease: Cardiovascular disease,301.945525
2018,Talas,,Non-communicable disease: Cardiovascular disease,261.485452
2019,Talas,,Non-communicable disease: Cardiovascular disease,299.924642
2020,Talas,,Non-communicable disease: Cardiovascular disease,339.2
2007,Talas,Male,Non-communicable disease: Cardiovascular disease,354.978355
2008,Talas,Male,Non-communicable disease: Cardiovascular disease,348.678602
2009,Talas,Male,Non-communicable disease: Cardiovascular disease,373.534338
2010,Talas,Male,Non-communicable disease: Cardiovascular disease,382.683983
2011,Talas,Male,Non-communicable disease: Cardiovascular disease,358.056266
2012,Talas,Male,Non-communicable disease: Cardiovascular disease,371.021776
2013,Talas,Male,Non-communicable disease: Cardiovascular disease,330.864198
2014,Talas,Male,Non-communicable disease: Cardiovascular disease,369.7411
2015,Talas,Male,Non-communicable disease: Cardiovascular disease,349.761526
2016,Talas,Male,Non-communicable disease: Cardiovascular disease,303.362002
2017,Talas,Male,Non-communicable disease: Cardiovascular disease,328.967643
2018,Talas,Male,Non-communicable disease: Cardiovascular disease,282.575758
2019,Talas,Male,Non-communicable disease: Cardiovascular disease,333.830104
2020,Talas,Male,Non-communicable disease: Cardiovascular disease,369.6
2007,Talas,Female,Non-communicable disease: Cardiovascular disease,342.906876
2008,Talas,Female,Non-communicable disease: Cardiovascular disease,331.900258
2009,Talas,Female,Non-communicable disease: Cardiovascular disease,323.728814
2010,Talas,Female,Non-communicable disease: Cardiovascular disease,284.5953
2011,Talas,Female,Non-communicable disease: Cardiovascular disease,331.900258
2012,Talas,Female,Non-communicable disease: Cardiovascular disease,313.559322
2013,Talas,Female,Non-communicable disease: Cardiovascular disease,288.573812
2014,Talas,Female,Non-communicable disease: Cardiovascular disease,294.987675
2015,Talas,Female,Non-communicable disease: Cardiovascular disease,294.736842
2016,Talas,Female,Non-communicable disease: Cardiovascular disease,273.743017
2017,Talas,Female,Non-communicable disease: Cardiovascular disease,274.371069
2018,Talas,Female,Non-communicable disease: Cardiovascular disease,239.93808
2019,Talas,Female,Non-communicable disease: Cardiovascular disease,265.243902
2020,Talas,Female,Non-communicable disease: Cardiovascular disease,308.0
2007,Chui,,Non-communicable disease: Cardiovascular disease,548.299655
2008,Chui,,Non-communicable disease: Cardiovascular disease,539.513863
2009,Chui,,Non-communicable disease: Cardiovascular disease,464.780253
2010,Chui,,Non-communicable disease: Cardiovascular disease,483.982257
2011,Chui,,Non-communicable disease: Cardiovascular disease,466.959814
2012,Chui,,Non-communicable disease: Cardiovascular disease,466.947622
2013,Chui,,Non-communicable disease: Cardiovascular disease,441.607565
2014,Chui,,Non-communicable disease: Cardiovascular disease,430.162413
2015,Chui,,Non-communicable disease: Cardiovascular disease,400.841962
2016,Chui,,Non-communicable disease: Cardiovascular disease,381.345532
2017,Chui,,Non-communicable disease: Cardiovascular disease,377.668309
2018,Chui,,Non-communicable disease: Cardiovascular disease,377.066781
2019,Chui,,Non-communicable disease: Cardiovascular disease,360.757496
2020,Chui,,Non-communicable disease: Cardiovascular disease,405.5
2007,Chui,Male,Non-communicable disease: Cardiovascular disease,539.869609
2008,Chui,Male,Non-communicable disease: Cardiovascular disease,517.515528
2009,Chui,Male,Non-communicable disease: Cardiovascular disease,462.686567
2010,Chui,Male,Non-communicable disease: Cardiovascular disease,476.930792
2011,Chui,Male,Non-communicable disease: Cardiovascular disease,455.652174
2012,Chui,Male,Non-communicable disease: Cardiovascular disease,452.654759
2013,Chui,Male,Non-communicable disease: Cardiovascular disease,441.296519
2014,Chui,Male,Non-communicable disease: Cardiovascular disease,416.116871
2015,Chui,Male,Non-communicable disease: Cardiovascular disease,394.177449
2016,Chui,Male,Non-communicable disease: Cardiovascular disease,383.552333
2017,Chui,Male,Non-communicable disease: Cardiovascular disease,376.389506
2018,Chui,Male,Non-communicable disease: Cardiovascular disease,366.986481
2019,Chui,Male,Non-communicable disease: Cardiovascular disease,368.005126
2020,Chui,Male,Non-communicable disease: Cardiovascular disease,398.8
2007,Chui,Female,Non-communicable disease: Cardiovascular disease,556.443798
2008,Chui,Female,Non-communicable disease: Cardiovascular disease,560.788083
2009,Chui,Female,Non-communicable disease: Cardiovascular disease,466.808914
2010,Chui,Female,Non-communicable disease: Cardiovascular disease,490.794574
2011,Chui,Female,Non-communicable disease: Cardiovascular disease,477.895243
2012,Chui,Female,Non-communicable disease: Cardiovascular disease,480.796586
2013,Chui,Female,Non-communicable disease: Cardiovascular disease,441.909197
2014,Chui,Female,Non-communicable disease: Cardiovascular disease,443.784278
2015,Chui,Female,Non-communicable disease: Cardiovascular disease,407.307779
2016,Chui,Female,Non-communicable disease: Cardiovascular disease,379.204221
2017,Chui,Female,Non-communicable disease: Cardiovascular disease,378.908777
2018,Chui,Female,Non-communicable disease: Cardiovascular disease,386.844332
2019,Chui,Female,Non-communicable disease: Cardiovascular disease,353.72175
2020,Chui,Female,Non-communicable disease: Cardiovascular disease,412.5
2007,Bishkek (city),,Non-communicable disease: Cardiovascular disease,353.534169
2008,Bishkek (city),,Non-communicable disease: Cardiovascular disease,321.877523
2009,Bishkek (city),,Non-communicable disease: Cardiovascular disease,288.411532
2010,Bishkek (city),,Non-communicable disease: Cardiovascular disease,298.32376
2011,Bishkek (city),,Non-communicable disease: Cardiovascular disease,305.385769
2012,Bishkek (city),,Non-communicable disease: Cardiovascular disease,297.003957
2013,Bishkek (city),,Non-communicable disease: Cardiovascular disease,269.583471
2014,Bishkek (city),,Non-communicable disease: Cardiovascular disease,272.638964
2015,Bishkek (city),,Non-communicable disease: Cardiovascular disease,253.191265
2016,Bishkek (city),,Non-communicable disease: Cardiovascular disease,242.521147
2017,Bishkek (city),,Non-communicable disease: Cardiovascular disease,242.433414
2018,Bishkek (city),,Non-communicable disease: Cardiovascular disease,232.778161
2019,Bishkek (city),,Non-communicable disease: Cardiovascular disease,237.36306
2020,Bishkek (city),,Non-communicable disease: Cardiovascular disease,254.0
2007,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,349.07805
2008,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,320.089397
2009,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,282.587549
2010,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,283.910078
2011,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,297.243606
2012,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,287.451362
2013,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,264.482431
2014,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,269.168404
2015,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,243.218807
2016,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,230.684327
2017,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,237.057808
2018,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,229.473684
2019,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,237.753638
2020,Bishkek (city),Male,Non-communicable disease: Cardiovascular disease,253.1
2007,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,357.392826
2008,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,323.428079
2009,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,293.471371
2010,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,310.804899
2011,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,312.446167
2012,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,305.30319
2013,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,274.023559
2014,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,275.666936
2015,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,261.918892
2016,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,252.904725
2017,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,247.156937
2018,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,235.686492
2019,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,237.018274
2020,Bishkek (city),Female,Non-communicable disease: Cardiovascular disease,254.9
2007,Osh (city),,Non-communicable disease: Cardiovascular disease,247.76699
2008,Osh (city),,Non-communicable disease: Cardiovascular disease,292.02502
2009,Osh (city),,Non-communicable disease: Cardiovascular disease,274.312282
2010,Osh (city),,Non-communicable disease: Cardiovascular disease,267.961165
2011,Osh (city),,Non-communicable disease: Cardiovascular disease,281.860829
2012,Osh (city),,Non-communicable disease: Cardiovascular disease,298.721426
2013,Osh (city),,Non-communicable disease: Cardiovascular disease,266.8
2014,Osh (city),,Non-communicable disease: Cardiovascular disease,270.078446
2015,Osh (city),,Non-communicable disease: Cardiovascular disease,253.479853
2016,Osh (city),,Non-communicable disease: Cardiovascular disease,248.92396
2017,Osh (city),,Non-communicable disease: Cardiovascular disease,240.364401
2018,Osh (city),,Non-communicable disease: Cardiovascular disease,223.393404
2019,Osh (city),,Non-communicable disease: Cardiovascular disease,208.823529
2020,Osh (city),,Non-communicable disease: Cardiovascular disease,287.3
2007,Osh (city),Male,Non-communicable disease: Cardiovascular disease,279.935275
2008,Osh (city),Male,Non-communicable disease: Cardiovascular disease,314.029364
2009,Osh (city),Male,Non-communicable disease: Cardiovascular disease,311.793215
2010,Osh (city),Male,Non-communicable disease: Cardiovascular disease,292.880259
2011,Osh (city),Male,Non-communicable disease: Cardiovascular disease,316.476346
2012,Osh (city),Male,Non-communicable disease: Cardiovascular disease,319.063005
2013,Osh (city),Male,Non-communicable disease: Cardiovascular disease,285.035629
2014,Osh (city),Male,Non-communicable disease: Cardiovascular disease,280.062064
2015,Osh (city),Male,Non-communicable disease: Cardiovascular disease,277.355623
2016,Osh (city),Male,Non-communicable disease: Cardiovascular disease,257.057949
2017,Osh (city),Male,Non-communicable disease: Cardiovascular disease,243.654822
