Year,SERIES,Reference area,GeoCode,Value
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,91.3
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,98.0
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.9
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,96.1
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.0
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,94.575714
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,87.604354
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,KG02,95.77591
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,94.4
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,95.2
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,95.3
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,96.8
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,95.5
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.4
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,98.0
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.6
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.2
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,96.8
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.0
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,94.8
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,97.59292
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,90.958705
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,KG04,96.517042
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,94.4
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,94.5
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.1
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.5
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,93.6
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,93.0
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,96.2
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,98.3
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,97.1
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,98.5
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,96.6
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.8
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,99.33564
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,95.543628
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,KG06,90.31153
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.0
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.8
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.6
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.8
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,95.3
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.0
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.2
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,93.4
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,96.8
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,95.2
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,93.1
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,95.3
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,92.698706
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,94.171956
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,KG07,90.746325
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,94.0
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,95.5
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,95.5
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.3
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.8
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,97.6
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.3
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,96.0
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,97.0
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,97.5
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,91.8
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,92.5
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,91.652622
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,89.92219
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,KG08,90.894108
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,95.0
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,94.9
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,95.5
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,96.8
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,96.4
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,97.2
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,96.6
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,93.7
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,94.0
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,90.5
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,86.5
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,90.3
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,92.018905
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,73.377391
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),KG11,81.065681
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.2
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,96.7
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.4
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.7
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.2
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,98.5
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,99.2
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,96.0
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,97.6
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,96.7
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,98.0
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.2
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,95.586032
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,87.340379
2021,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),KG21,85.088889
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.8
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,99.1
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.9
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.3
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.2
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.7
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,98.666102
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,95.6
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,99.1
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.0
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,94.7
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,96.244215
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,97.245414
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,93.789319
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),,,93.378399
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.2
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.0
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.9
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,97.2
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,95.7
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,100.0
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.9
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.9
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,97.6
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,99.9
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.7
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,92.454654
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.254513
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,98.728939
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,KG05,93.091417
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,97.8
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,99.2
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,98.3
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,98.3
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,100.0
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,99.0
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,99.6
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,91.7
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,100.0
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,95.7
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,88.8
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,93.49863
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,93.035179
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,91.334273
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,KG03,94.815062
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.0
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.7
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.7
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,99.2
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,96.9
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,95.7
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,97.4
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,95.6
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,98.9
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,97.7
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,95.1
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,96.51199
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,97.67698
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,96.09807
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,KG02,100.537815
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,99.4
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,99.1
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.9
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,99.5
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,96.7
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.6
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.3
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.7
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.1
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.1
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.0
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,97.646444
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,98.140747
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,96.233184
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,KG04,100.335258
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,98.9
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.5
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.8
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.7
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,94.7
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,96.6
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,97.9
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,96.1
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.0
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.2
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,96.8
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,98.10916
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,99.619945
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,97.454999
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Osh,KG06,93.789893
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,98.6
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,99.2
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.6
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.1
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.7
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,98.8
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.7
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,94.3
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.1
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,97.0
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.6
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,98.413291
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.974889
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.177033
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Talas,KG07,95.401432
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,99.1
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.4
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,98.7
2010,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.4
2011,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.1
2012,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.4
2013,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,99.3
2014,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.5
2015,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,98.6
2016,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,95.0
2017,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,96.3
2018,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.43813
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,99.450649
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,97.514722
2021,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Chui,KG08,92.308749
2007,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.8
2008,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,99.9
2009,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Bishkek (city),KG11,98.6
