Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,COMPOSITE_BREAKDOWN,GeoCode,Value
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,4.1
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,5.5
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,5.4
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,Osh (city),,,,,,,KG21,13.3
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,under 6 years old,,,,,,4.2
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,under 6 years old,,,,,,4.5
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,under 6 years old,,,,,,3.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,under 6 years old,,,,,,3.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,under 6 years old,,,,,,3.6
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,under 6 years old,,,,,,4.0
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,4.3
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,3.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,3.5
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,3.1
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,3.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,7 to 14 years old,,,,,,3.4
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,4.0
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,4.2
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,3.6
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,2.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,3.6
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,15 to 28 years old,,,,,,3.5
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,4.8
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,4.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,4.0
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,3.6
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,3.7
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,,4.4
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,11.6
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,12.5
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,12.9
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,10.9
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,10.9
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,,10.4
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Primary education,,,4.4
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Primary education,,,3.9
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Primary education,,,3.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Primary education,,,3.4
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Primary education,,,3.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Primary education,,,3.7
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,5.9
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,7.1
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,7.2
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,5.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,5.9
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Lower secondary education,,,6.7
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,5.1
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,4.6
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,3.7
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,3.4
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,4.3
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Upper secondary education,,,4.2
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,7.3
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,9.2
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,7.9
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,6.5
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,6.5
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Post-secondary non-tertiary education,,,7.8
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,4.9
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,5.2
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,6.4
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,5.0
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,4.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,4.8
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,2.8
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,2.7
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,2.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,2.7
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,4.1
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 1 (poorest),,,,3.6
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 2,,,,4.8
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 2,,,,4.5
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 2,,,,5.0
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 2,,,,3.6
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 2,,,,3.8
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 2,,,,5.4
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 3,,,,5.2
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 3,,,,5.1
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 3,,,,5.2
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 3,,,,3.7
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 3,,,,4.4
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 3,,,,5.8
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 4,,,,7.8
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 4,,,,7.9
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 4,,,,4.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 4,,,,5.1
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 4,,,,5.4
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 4,,,,3.8
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,5.1
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,6.2
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,7.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,5.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,5.2
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,Quintile 5 (richest),,,,5.1
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without children,,9.2
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without children,,9.8
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without children,,10.6
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without children,,8.0
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without children,,7.6
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without children,,11.1
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with children,,4.4
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with children,,4.4
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with children,,3.7
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with children,,3.3
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with children,,4.0
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with children,,3.5
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,3.1
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,3.2
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,2.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,2.1
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,2.5
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: without persons above working age,,3.2
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,9.1
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,9.1
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,8.2
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,7.1
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,7.9
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: with persons above working age,,7.1
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,22.6
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,26.6
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,31.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,26.7
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,22.3
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: only persons above working age,,21.9
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: poor,,2.4
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: poor,,2.1
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: poor,,2.8
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: poor,,1.2
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: poor,,1.4
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: poor,,2.0
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.0
2019,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.0
2020,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,6.3
2021,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,0.6
2022,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,1.2
2023,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income,,,,,,,Household type: extremely poor,,1.2
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,,,0.8
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,,,0.9
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,,,0.8
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,,,,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Urban,,,,,0.7
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Urban,,,,,0.6
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Urban,,,,,0.3
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Urban,,,,,0.7
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Rural,,,,,0.8
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Rural,,,,,1.0
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Rural,,,,,1.0
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,,,Rural,,,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Male,,,,,,,0.8
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Male,,,,,,,0.9
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Male,,,,,,,0.8
2023,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Male,,,,,,,0.6
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Female,,,,,,,0.9
2021,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,,Female,,,,,,,0.9
