Year,Sex,Age,Degree of urbanisation,Economic activity,Value
2007,,,,"Agriculture, forestry and fishing",755.3
2008,,,,"Agriculture, forestry and fishing",767.0
2009,,,,"Agriculture, forestry and fishing",740.5
2010,,,,"Agriculture, forestry and fishing",720.7
2011,,,,"Agriculture, forestry and fishing",719.4
2012,,,,"Agriculture, forestry and fishing",711.4
2013,,,,"Agriculture, forestry and fishing",731.6
2014,,,,"Agriculture, forestry and fishing",749.0
2015,,,,"Agriculture, forestry and fishing",710.1
2016,,,,"Agriculture, forestry and fishing",656.5
2017,,,,"Agriculture, forestry and fishing",497.7
2018,,,,"Agriculture, forestry and fishing",463.0
2007,,,,Industry (total),106.6
2008,,,,Industry (total),110.4
2009,,,,Industry (total),114.7
2010,,,,Industry (total),114.0
2011,,,,Industry (total),111.3
2012,,,,Industry (total),115.3
2013,,,,Industry (total),102.2
2014,,,,Industry (total),108.5
2015,,,,Industry (total),117.7
2016,,,,Industry (total),117.1
2017,,,,Industry (total),160.5
2018,,,,Industry (total),225.0
2007,,,,Construction,172.5
2008,,,,Construction,180.9
2009,,,,Construction,204.7
2010,,,,Construction,197.7
2011,,,,Construction,204.9
2012,,,,Construction,222.4
2013,,,,Construction,210.0
2014,,,,Construction,209.3
2015,,,,Construction,222.7
2016,,,,Construction,250.3
2017,,,,Construction,221.8
2018,,,,Construction,217.0
2007,,,,Other service activities,480.4
2008,,,,Other service activities,501.4
2009,,,,Other service activities,533.1
2010,,,,Other service activities,557.2
2011,,,,Other service activities,568.4
2012,,,,Other service activities,553.7
2013,,,,Other service activities,585.2
2014,,,,Other service activities,586.2
2015,,,,Other service activities,635.7
2016,,,,Other service activities,659.1
2017,,,,Other service activities,731.3
2018,,,,Other service activities,781.9
