Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value
2019,,,15 to 28 years old,,,,,16.40832
2020,,,15 to 28 years old,,,,,18.496814
2021,,,15 to 28 years old,,,,,16.180534
2018,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,26.3
2019,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,33.477733
2020,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,37.033088
2021,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,37.684305
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,39.5
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,55.192244
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,59.619519
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,63.542409
2018,,,15 years old and over,,,Primary education,,17.0
2019,,,15 years old and over,,,Primary education,,25.253959
2020,,,15 years old and over,,,Primary education,,24.636899
2021,,,15 years old and over,,,Primary education,,19.578465
2018,,,15 years old and over,,,Lower secondary education,,10.8
2019,,,15 years old and over,,,Lower secondary education,,15.506281
2020,,,15 years old and over,,,Lower secondary education,,18.134313
2021,,,15 years old and over,,,Lower secondary education,,17.192247
2018,,,15 years old and over,,,Upper secondary education,,18.2
2019,,,15 years old and over,,,Upper secondary education,,25.60731
2020,,,15 years old and over,,,Upper secondary education,,29.738081
2021,,,15 years old and over,,,Upper secondary education,,29.859968
2018,,,15 years old and over,,,Post-secondary non-tertiary education,,32.1
2019,,,15 years old and over,,,Post-secondary non-tertiary education,,39.576314
2020,,,15 years old and over,,,Post-secondary non-tertiary education,,44.647997
2021,,,15 years old and over,,,Post-secondary non-tertiary education,,45.738416
2018,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,44.1
2019,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,54.556962
2020,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,57.646116
2021,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,60.938271
2018,,,15 years old and over,,Quintile 1 (poorest),,,12.285869
2019,,,15 years old and over,,Quintile 1 (poorest),,,19.928329
2020,,,15 years old and over,,Quintile 1 (poorest),,,23.264547
2021,,,15 years old and over,,Quintile 1 (poorest),,,24.833636
2018,,,15 years old and over,,Quintile 2,,,20.108219
2019,,,15 years old and over,,Quintile 2,,,29.54173
2020,,,15 years old and over,,Quintile 2,,,35.464543
2021,,,15 years old and over,,Quintile 2,,,34.313233
2018,,,15 years old and over,,Quintile 3,,,23.688371
2019,,,15 years old and over,,Quintile 3,,,31.242776
2020,,,15 years old and over,,Quintile 3,,,39.252696
2021,,,15 years old and over,,Quintile 3,,,38.165514
2018,,,15 years old and over,,Quintile 4,,,28.405545
2019,,,15 years old and over,,Quintile 4,,,36.901646
2020,,,15 years old and over,,Quintile 4,,,39.606036
2021,,,15 years old and over,,Quintile 4,,,41.587399
2018,,,15 years old and over,,Quintile 5 (richest),,,32.674186
2019,,,15 years old and over,,Quintile 5 (richest),,,38.816776
2020,,,15 years old and over,,Quintile 5 (richest),,,46.669807
2021,,,15 years old and over,,Quintile 5 (richest),,,46.108628
