Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,21.33701
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,33.4
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,44.839535
2018,,,15 years old and over,,,Primary education,,47.9
2019,,,15 years old and over,,,Primary education,,48.223983
2020,,,15 years old and over,,,Primary education,,52.9
2021,,,15 years old and over,,,Primary education,,64.794298
2018,,,15 years old and over,,,Lower secondary education,,69.5
2019,,,15 years old and over,,,Lower secondary education,,66.897515
2020,,,15 years old and over,,,Lower secondary education,,70.8
2021,,,15 years old and over,,,Lower secondary education,,81.511513
2018,,,15 years old and over,,,Upper secondary education,,56.1
2019,,,15 years old and over,,,Upper secondary education,,57.461271
2020,,,15 years old and over,,,Upper secondary education,,66.3
2021,,,15 years old and over,,,Upper secondary education,,73.697745
2018,,,15 years old and over,,,Post-secondary non-tertiary education,,61.9
2019,,,15 years old and over,,,Post-secondary non-tertiary education,,64.187427
2020,,,15 years old and over,,,Post-secondary non-tertiary education,,74.7
2021,,,15 years old and over,,,Post-secondary non-tertiary education,,80.698145
2018,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,81.1
2019,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,83.898865
2020,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,89.6
2021,,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),,92.501625
2018,,,15 years old and over,,Quintile 1 (poorest),,,48.021936
2019,,,15 years old and over,,Quintile 1 (poorest),,,51.351216
2020,,,15 years old and over,,Quintile 1 (poorest),,,63.6
2021,,,15 years old and over,,Quintile 1 (poorest),,,70.906713
2018,,,15 years old and over,,Quintile 2,,,59.801066
2019,,,15 years old and over,,Quintile 2,,,63.874815
2020,,,15 years old and over,,Quintile 2,,,72.1
2021,,,15 years old and over,,Quintile 2,,,78.880477
2018,,,15 years old and over,,Quintile 3,,,64.756488
2019,,,15 years old and over,,Quintile 3,,,64.519088
2020,,,15 years old and over,,Quintile 3,,,75.0
2021,,,15 years old and over,,Quintile 3,,,81.98765
2018,,,15 years old and over,,Quintile 4,,,67.075448
2019,,,15 years old and over,,Quintile 4,,,69.120333
2020,,,15 years old and over,,Quintile 4,,,73.8
2021,,,15 years old and over,,Quintile 4,,,80.196917
2018,,,15 years old and over,,Quintile 5 (richest),,,69.456488
2019,,,15 years old and over,,Quintile 5 (richest),,,67.9194
2020,,,15 years old and over,,Quintile 5 (richest),,,77.7
2021,,,15 years old and over,,Quintile 5 (richest),,,83.545634
