Year,SERIES,Reference area,Sex,GeoCode,Value
2007,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,13.387777
2008,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.896032
2009,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,6.402868
2010,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,3.165859
2012,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,5.598477
2013,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.833263
2014,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,5.61782
2015,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.531197
2016,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,10.194459
2017,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.431907
2018,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,10.021295
2019,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,12.497813
2020,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,2.419433
2021,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,KG03,0.0
2007,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,107.999691
2008,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,69.552022
2009,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,91.481651
2010,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,82.904418
2011,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,75.539074
2012,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,64.422066
2013,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,76.931147
2014,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,42.560157
2015,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,43.027937
2016,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,46.269163
2017,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,29.022521
2018,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,86.089589
2019,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,16.286203
2020,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,35.100035
2021,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,KG03,14.04889
2007,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,21.018891
2008,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,31.755273
2009,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,19.005213
2010,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,67.94721
2011,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,31.154266
2012,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,24.58479
2013,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,44.681578
2014,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,29.214916
2015,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,51.98586
2016,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,44.752152
2017,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,18.566162
2018,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,10.143788
2019,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,7.904722
2020,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,12.597949
2021,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,KG02,2.536719
2007,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,15.759613
2008,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.282341
2010,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,10.077598
2011,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.041339
2012,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,10.163635
2013,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,10.07709
2014,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,5.059449
2015,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,9.607071
2016,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,19.536974
2017,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,14.912019
2019,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,KG02,4.837695
2007,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,26.281209
2008,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,58.330682
2009,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,36.972482
2010,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,130.300233
2011,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,58.880206
2012,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,41.346722
2013,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,82.417582
2014,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,55.906524
2015,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,101.959896
2016,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,74.230572
2017,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,22.746659
2018,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,22.373867
2019,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,11.573404
2020,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,27.592296
2021,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,KG02,5.611043
2007,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,17.955739
2008,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,26.688017
2009,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,4.326569
2010,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,30.101054
2011,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,12.66464
2012,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,24.857072
2013,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,8.224022
2014,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,12.259409
2015,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,3.700278
2016,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,35.364847
2019,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,7.69586
2020,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,34.258308
2021,Non-fatal occupational injuries among employees (rate),Naryn,,KG04,22.848439
2007,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,8.371003
2010,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,7.789375
2012,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,14.91758
2020,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,6.793478
2021,Non-fatal occupational injuries among employees (rate),Naryn,Female,KG04,26.98327
2007,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,29.038815
2008,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,59.565174
2009,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,9.553836
2010,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,57.598157
2011,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,28.055737
2012,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,37.275184
2013,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,18.883958
2014,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,28.277877
2015,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,8.688097
2016,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,81.352255
2019,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,17.711654
2020,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,69.258073
2021,Non-fatal occupational injuries among employees (rate),Naryn,Male,KG04,17.488632
2008,Non-fatal occupational injuries among employees (rate),Osh,,KG06,2.148043
2011,Non-fatal occupational injuries among employees (rate),Osh,,KG06,2.416918
2015,Non-fatal occupational injuries among employees (rate),Osh,,KG06,5.181481
2016,Non-fatal occupational injuries among employees (rate),Osh,,KG06,2.346151
2017,Non-fatal occupational injuries among employees (rate),Osh,,KG06,4.517834
2018,Non-fatal occupational injuries among employees (rate),Osh,,KG06,4.578335
2020,Non-fatal occupational injuries among employees (rate),Osh,,KG06,6.416014
2021,Non-fatal occupational injuries among employees (rate),Osh,,KG06,0.0
2016,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,3.779289
2018,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,3.897268
2020,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,3.713882
2021,Non-fatal occupational injuries among employees (rate),Osh,Female,KG06,0.0
2008,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,4.880906
2011,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,5.961607
2015,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,13.020833
2017,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,11.112963
2018,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,5.54785
2020,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,10.084712
2021,Non-fatal occupational injuries among employees (rate),Osh,Male,KG06,0.0
2007,Non-fatal occupational injuries among employees (rate),Talas,,KG07,11.511454
2008,Non-fatal occupational injuries among employees (rate),Talas,,KG07,5.701579
2009,Non-fatal occupational injuries among employees (rate),Talas,,KG07,16.051364
2010,Non-fatal occupational injuries among employees (rate),Talas,,KG07,38.385611
2011,Non-fatal occupational injuries among employees (rate),Talas,,KG07,21.165141
2012,Non-fatal occupational injuries among employees (rate),Talas,,KG07,10.518012
2013,Non-fatal occupational injuries among employees (rate),Talas,,KG07,25.514109
2014,Non-fatal occupational injuries among employees (rate),Talas,,KG07,26.011861
2015,Non-fatal occupational injuries among employees (rate),Talas,,KG07,15.061753
2016,Non-fatal occupational injuries among employees (rate),Talas,,KG07,10.722711
2018,Non-fatal occupational injuries among employees (rate),Talas,,KG07,14.769594
2019,Non-fatal occupational injuries among employees (rate),Talas,,KG07,9.282465
2020,Non-fatal occupational injuries among employees (rate),Talas,,KG07,14.186409
2021,Non-fatal occupational injuries among employees (rate),Talas,,KG07,4.645113
2009,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,9.474183
2010,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,10.188487
2014,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,19.277108
2018,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,9.250694
2020,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,8.855827
2021,Non-fatal occupational injuries among employees (rate),Talas,Female,KG07,0.0
2007,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,26.588673
2008,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,13.486177
2009,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,24.585126
2010,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,71.250445
2011,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,46.838407
2012,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,23.092022
2013,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,55.463117
2014,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,33.9098
2015,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,32.619332
2016,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,23.523877
2018,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,21.0482
2019,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,20.620683
2020,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,20.294267
2021,Non-fatal occupational injuries among employees (rate),Talas,Male,KG07,9.596929
2007,Non-fatal occupational injuries among employees (rate),Chui,,KG08,54.795253
2008,Non-fatal occupational injuries among employees (rate),Chui,,KG08,51.255766
2009,Non-fatal occupational injuries among employees (rate),Chui,,KG08,30.489664
2010,Non-fatal occupational injuries among employees (rate),Chui,,KG08,39.786743
2011,Non-fatal occupational injuries among employees (rate),Chui,,KG08,28.308799
2012,Non-fatal occupational injuries among employees (rate),Chui,,KG08,61.47541
2013,Non-fatal occupational injuries among employees (rate),Chui,,KG08,50.052399
2014,Non-fatal occupational injuries among employees (rate),Chui,,KG08,39.493821
2015,Non-fatal occupational injuries among employees (rate),Chui,,KG08,52.914295
2016,Non-fatal occupational injuries among employees (rate),Chui,,KG08,20.676602
2017,Non-fatal occupational injuries among employees (rate),Chui,,KG08,14.895483
2018,Non-fatal occupational injuries among employees (rate),Chui,,KG08,27.829162
2019,Non-fatal occupational injuries among employees (rate),Chui,,KG08,26.166728
2020,Non-fatal occupational injuries among employees (rate),Chui,,KG08,30.257644
2021,Non-fatal occupational injuries among employees (rate),Chui,,KG08,22.137537
2007,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,54.193199
2008,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,26.478376
2009,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,15.113046
2010,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,18.584482
2011,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,15.769886
2012,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,29.823149
2013,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,27.034334
2014,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,22.348509
2015,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,15.284911
2016,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,9.59785
2017,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,13.31425
2018,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,9.651889
2019,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,18.453022
2020,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,6.034093
2021,Non-fatal occupational injuries among employees (rate),Chui,Female,KG08,3.185221
2007,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,55.381207
2008,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,74.490978
2009,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,46.136811
2010,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,62.193126
2011,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,42.334015
2012,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,96.960781
2013,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,75.060375
2014,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,57.730838
2015,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,94.425522
2016,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,31.629555
2017,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,16.45928
2018,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,46.65889
2019,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,33.895171
2020,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,54.621594
2021,Non-fatal occupational injuries among employees (rate),Chui,Male,KG08,40.821453
2007,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,25.544578
2008,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,35.587189
2009,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,27.549559
2010,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,172.396125
2011,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,26.428883
2012,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,21.074932
2013,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,47.614038
2014,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,34.362547
2015,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,20.034504
2016,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,30.786654
2017,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,28.115403
2018,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,34.548189
2019,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,37.950088
2020,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,42.637787
2021,Non-fatal occupational injuries among employees (rate),Bishkek (city),,KG11,84.992299
2007,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,13.871389
2008,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,27.298253
2009,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,18.177412
2010,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,36.051626
2011,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,21.926886
2012,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,15.309916
2013,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,31.064217
2014,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,30.258167
2015,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,14.949598
2016,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,33.905848
2017,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,31.034376
2018,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,33.577192
2019,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,24.386199
2020,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,28.650255
2021,Non-fatal occupational injuries among employees (rate),Bishkek (city),Female,KG11,20.729207
2007,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,39.954338
2008,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,44.11057
2009,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,37.118606
2010,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,309.616245
2011,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,30.44769
2012,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,27.007258
2013,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,65.319032
2014,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,38.683839
2015,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,25.568908
2016,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,27.42293
2017,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,24.919295
2018,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,35.610158
2019,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,52.570155
2020,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,56.753081
2021,Non-fatal occupational injuries among employees (rate),Bishkek (city),Male,KG11,148.062751
2007,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,7.896399
2008,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,20.263425
2009,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,13.09209
2010,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,84.274841
2011,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,47.337278
2012,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,5.333333
2013,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,35.351063
2014,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,12.94733
2015,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,2.512879
2016,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,12.46137
2017,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,5.105036
2018,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,2.617458
2019,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,7.705545
2020,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,33.273611
2021,Non-fatal occupational injuries among employees (rate),Osh (city),,KG21,2.541038
2009,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,16.408686
2010,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,33.337037
2011,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.502972
2013,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.457919
2014,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.139538
2015,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,5.105948
2020,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,9.967109
2021,Non-fatal occupational injuries among employees (rate),Osh (city),Female,KG21,0.0
2007,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,15.438452
2008,Non-fatal occupational injuries among employees (rate),Osh (city),Male,KG21,40.178796
