Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Value
2017,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,809.0
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,758.0
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,749.0
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,72.1
2016,,,,,,Primary education,752.0
2017,,,,,,Primary education,783.0
2018,,,,,,Primary education,751.0
2019,,,,,,Primary education,751.0
2020,,,,,,Primary education,71.7
2016,,,,,,Lower secondary education,802.0
2017,,,,,,Lower secondary education,790.0
2018,,,,,,Lower secondary education,765.0
2019,,,,,,Lower secondary education,773.0
2020,,,,,,Lower secondary education,73.8
2016,,,,,,Upper secondary education,750.0
2017,,,,,,Upper secondary education,784.0
2018,,,,,,Upper secondary education,721.0
2019,,,,,,Upper secondary education,741.0
2020,,,,,,Upper secondary education,69.5
2016,,,,,,Post-secondary non-tertiary education,784.0
2017,,,,,,Post-secondary non-tertiary education,839.0
2018,,,,,,Post-secondary non-tertiary education,802.0
2019,,,,,,Post-secondary non-tertiary education,790.0
2020,,,,,,Post-secondary non-tertiary education,77.1
2016,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),799.0
2017,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),839.0
2018,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),821.0
2019,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),814.0
2020,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),80.4
2016,,,,,Quintile 1 (poorest),,725.0
2017,,,,,Quintile 1 (poorest),,793.0
2018,,,,,Quintile 1 (poorest),,747.0
2019,,,,,Quintile 1 (poorest),,716.0
2016,,,,,Quintile 2,,773.0
2017,,,,,Quintile 2,,819.0
2018,,,,,Quintile 2,,748.0
2019,,,,,Quintile 2,,730.0
2016,,,,,Quintile 3,,777.0
2017,,,,,Quintile 3,,794.0
2018,,,,,Quintile 3,,754.0
2019,,,,,Quintile 3,,798.0
2016,,,,,Quintile 4,,782.0
2017,,,,,Quintile 4,,787.0
2018,,,,,Quintile 4,,755.0
2019,,,,,Quintile 4,,786.0
2016,,,,,Quintile 5 (richest),,777.0
2017,,,,,Quintile 5 (richest),,786.0
2018,,,,,Quintile 5 (richest),,780.0
2019,,,,,Quintile 5 (richest),,772.0
