Year,SERIES,COMPOSITE_BREAKDOWN,Value
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0838
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0837
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0794
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.08
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0763
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0753
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.0744
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.07315
2021,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.07156
2022,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.07045
2023,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Bank for Reconstruction and Development,0.06904
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.0821
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.0818
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.0816
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.09348
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.09348
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.09348
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.0935
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.0927
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.09329
2021,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.08925
2022,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.08679
2023,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Finance Corporation,0.08465
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0532
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0523
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0514
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0645
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.047
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0644
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0644
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.06441
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.0644
2021,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.06419
2022,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.06468
2023,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: International Monetary Fund,0.06483
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5291
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5236
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5208
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5181
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5181
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5181
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5181
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5181
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.5181
2021,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2022,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2023,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: UN General Assembly,0.51813
2000,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.7143
2005,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.6711
2010,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.6536
2015,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.625
2016,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.6173
2017,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.6098
2018,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.6098
2019,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.6098
2020,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2021,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2022,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
2023,"Proportion of voting rights of developing countries in international organizations, by organization",International Organisation: World Trade Organisation,0.60976
