Year,Sex,Economic activity,Value
2013,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,11559.5
2013,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,15591.8
2014,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,13767.4
2014,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,17200.5
2015,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,12455.4
2015,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,15170.8
2016,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,14647.7
2016,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,17360.8
2017,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,14808.3
2017,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,16556.2
2018,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,16022.1
2018,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,17624.1
2011,Female,Transportation and storage,9395.1
2011,Male,Transportation and storage,12164.4
2012,Female,Transportation and storage,10325.0
2012,Male,Transportation and storage,15698.9
2013,Female,Transportation and storage,11036.2
2013,Male,Transportation and storage,17090.7
2014,Female,Transportation and storage,13857.9
2014,Male,Transportation and storage,21369.2
2015,Female,Transportation and storage,14205.6
2015,Male,Transportation and storage,22780.0
2016,Female,Transportation and storage,13837.2
2016,Male,Transportation and storage,22726.5
2017,Female,Transportation and storage,16074.1
2017,Male,Transportation and storage,25482.6
2018,Female,Transportation and storage,14876.6
2018,Male,Transportation and storage,25678.1
2011,Female,Accommodation and food service activities,7487.3
2011,Male,Accommodation and food service activities,10371.4
2012,Female,Accommodation and food service activities,10012.7
2012,Male,Accommodation and food service activities,10772.3
2013,Female,Accommodation and food service activities,9877.6
2013,Male,Accommodation and food service activities,11218.6
2014,Female,Accommodation and food service activities,9314.5
2014,Male,Accommodation and food service activities,12369.8
2015,Female,Accommodation and food service activities,9799.1
2015,Male,Accommodation and food service activities,12729.2
2016,Female,Accommodation and food service activities,9837.6
2016,Male,Accommodation and food service activities,13681.8
2017,Female,Accommodation and food service activities,11401.1
2017,Male,Accommodation and food service activities,11978.9
2018,Female,Accommodation and food service activities,12791.0
2018,Male,Accommodation and food service activities,15929.9
2011,Female,Information and communication,14988.1
2011,Male,Information and communication,19715.7
2012,Female,Information and communication,15828.9
2012,Male,Information and communication,21524.7
2013,Female,Information and communication,18211.4
2013,Male,Information and communication,24850.9
2014,Female,Information and communication,18929.5
2014,Male,Information and communication,24702.2
2015,Female,Information and communication,19306.4
2015,Male,Information and communication,28211.8
2016,Female,Information and communication,27087.6
2016,Male,Information and communication,24422.4
2017,Female,Information and communication,24367.0
2017,Male,Information and communication,30262.8
2018,Female,Information and communication,26919.8
2018,Male,Information and communication,39038.2
2011,Female,Financial and insurance activities,18256.9
2011,Male,Financial and insurance activities,23772.5
2012,Female,Financial and insurance activities,19804.3
2012,Male,Financial and insurance activities,25192.0
2013,Female,Financial and insurance activities,21181.1
2013,Male,Financial and insurance activities,26902.3
2014,Female,Financial and insurance activities,24106.8
2014,Male,Financial and insurance activities,32503.3
2015,Female,Financial and insurance activities,24028.0
2015,Male,Financial and insurance activities,31556.2
2016,Female,Financial and insurance activities,24482.4
2016,Male,Financial and insurance activities,32357.0
2017,Female,Financial and insurance activities,24810.5
2017,Male,Financial and insurance activities,36351.7
2018,Female,Financial and insurance activities,28331.0
2018,Male,Financial and insurance activities,36192.1
2011,Female,Real estate activities,6003.0
2011,Male,Real estate activities,7571.4
2012,Female,Real estate activities,7520.8
2012,Male,Real estate activities,8564.3
2013,Female,Real estate activities,7942.1
2013,Male,Real estate activities,9644.7
2014,Female,Real estate activities,9733.9
2014,Male,Real estate activities,10498.3
2015,Female,Real estate activities,10921.3
2015,Male,Real estate activities,12427.6
2016,Female,Real estate activities,10633.5
2016,Male,Real estate activities,12024.1
2017,Female,Real estate activities,11195.2
2017,Male,Real estate activities,13722.1
2018,Female,Real estate activities,12556.1
2018,Male,Real estate activities,13757.5
2011,Female,"Professional, scientific and technical activities",10690.0
2011,Male,"Professional, scientific and technical activities",15826.9
2012,Female,"Professional, scientific and technical activities",12009.8
2012,Male,"Professional, scientific and technical activities",16723.3
2013,Female,"Professional, scientific and technical activities",12487.8
2013,Male,"Professional, scientific and technical activities",16335.8
2014,Female,"Professional, scientific and technical activities",13570.4
2014,Male,"Professional, scientific and technical activities",19122.8
2015,Female,"Professional, scientific and technical activities",17195.1
2015,Male,"Professional, scientific and technical activities",14561.4
2016,Female,"Professional, scientific and technical activities",13596.0
2016,Male,"Professional, scientific and technical activities",17860.3
2017,Female,"Professional, scientific and technical activities",15840.4
2017,Male,"Professional, scientific and technical activities",25270.8
2018,Female,"Professional, scientific and technical activities",16417.0
2018,Male,"Professional, scientific and technical activities",22722.1
2011,Female,Administrative and support service activities,6066.8
2011,Male,Administrative and support service activities,7583.4
2012,Female,Administrative and support service activities,6684.2
2012,Male,Administrative and support service activities,8698.8
2013,Female,Administrative and support service activities,7577.1
2013,Male,Administrative and support service activities,9330.9
2014,Female,Administrative and support service activities,9014.9
2014,Male,Administrative and support service activities,11180.8
2015,Female,Administrative and support service activities,10734.0
2015,Male,Administrative and support service activities,11421.0
2016,Female,Administrative and support service activities,10033.8
2016,Male,Administrative and support service activities,11962.3
2017,Female,Administrative and support service activities,11458.3
2017,Male,Administrative and support service activities,12358.4
2018,Female,Administrative and support service activities,10579.6
2018,Male,Administrative and support service activities,13580.1
2011,Female,Public administration and defence; compulsory social security,6571.7
2011,Male,Public administration and defence; compulsory social security,9048.7
2012,Female,Public administration and defence; compulsory social security,8196.1
2012,Male,Public administration and defence; compulsory social security,10650.3
2013,Female,Public administration and defence; compulsory social security,11594.3
2013,Male,Public administration and defence; compulsory social security,13047.5
2014,Female,Public administration and defence; compulsory social security,11765.2
2014,Male,Public administration and defence; compulsory social security,14003.1
2015,Female,Public administration and defence; compulsory social security,11975.8
2015,Male,Public administration and defence; compulsory social security,14265.1
2016,Female,Public administration and defence; compulsory social security,12925.8
2016,Male,Public administration and defence; compulsory social security,15570.6
2017,Female,Public administration and defence; compulsory social security,14505.9
2017,Male,Public administration and defence; compulsory social security,17176.2
2018,Female,Public administration and defence; compulsory social security,15652.5
2018,Male,Public administration and defence; compulsory social security,18079.9
2011,Female,Education,7361.5
2011,Male,Education,8726.2
2012,Female,Education,7317.6
2012,Male,Education,8140.4
2013,Female,Education,7214.6
2013,Male,Education,8411.4
2014,Female,Education,7681.8
2014,Male,Education,8499.4
2015,Female,Education,9970.8
2015,Male,Education,10479.7
2016,Female,Education,10536.7
2016,Male,Education,10653.3
2017,Female,Education,10748.5
2017,Male,Education,11155.5
2018,Female,Education,10691.4
2018,Male,Education,11006.4
2011,Female,Human health and social work activities,9256.1
2011,Male,Human health and social work activities,9584.5
2012,Female,Human health and social work activities,8892.0
2012,Male,Human health and social work activities,9914.5
2013,Female,Human health and social work activities,8994.9
2013,Male,Human health and social work activities,8690.3
2014,Female,Human health and social work activities,8966.5
2014,Male,Human health and social work activities,9027.6
2015,Female,Human health and social work activities,9394.4
2015,Male,Human health and social work activities,9319.0
2016,Female,Human health and social work activities,9771.3
2016,Male,Human health and social work activities,9519.9
2017,Female,Human health and social work activities,9927.4
2017,Male,Human health and social work activities,9677.7
2018,Female,Human health and social work activities,10481.8
2018,Male,Human health and social work activities,9584.5
2011,Female,"Arts, entertainment and recreation",6350.6
2011,Male,"Arts, entertainment and recreation",7746.8
2012,Female,"Arts, entertainment and recreation",6399.4
2012,Male,"Arts, entertainment and recreation",6702.8
2013,Female,"Arts, entertainment and recreation",7565.3
2013,Male,"Arts, entertainment and recreation",8250.6
2014,Female,"Arts, entertainment and recreation",7696.6
2014,Male,"Arts, entertainment and recreation",8975.0
2015,Female,"Arts, entertainment and recreation",8553.4
2015,Male,"Arts, entertainment and recreation",9292.3
2016,Female,"Arts, entertainment and recreation",8752.3
2016,Male,"Arts, entertainment and recreation",8221.4
2017,Female,"Arts, entertainment and recreation",8451.0
2017,Male,"Arts, entertainment and recreation",8179.0
2018,Female,"Arts, entertainment and recreation",8799.2
2018,Male,"Arts, entertainment and recreation",8061.2
2011,Female,Other service activities,8458.9
2011,Male,Other service activities,8192.8
2012,Female,Other service activities,8608.0
2012,Male,Other service activities,8232.4
2013,Female,Other service activities,9771.5
2013,Male,Other service activities,9269.2
2014,Female,Other service activities,11030.5
2014,Male,Other service activities,10565.2
2015,Female,Other service activities,12707.0
2015,Male,Other service activities,12664.0
2016,Female,Other service activities,15307.4
2016,Male,Other service activities,14474.7
2017,Female,Other service activities,18606.6
2017,Male,Other service activities,19061.7
2018,Female,Other service activities,17807.6
2018,Male,Other service activities,11649.5
