Year,SERIES,Reference area,Age,GeoCode,Value
2015,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,48.794449
2016,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,61.884874
2017,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,51.555883
2018,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,39.738875
2019,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,32.170099
2020,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,41.943974
2021,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,33.438662
2022,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,36.890901
2023,Proportion of pregnant women with anemia among women who completed pregnancy,Talas,,KG07,32.449726
2015,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,31.488782
2016,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,34.041943
2017,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,31.154508
2018,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,35.764419
2019,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,30.102889
2020,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,24.77942
2021,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,27.234744
2022,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,32.421299
2023,Proportion of pregnant women with anemia among women who completed pregnancy,Chui,,KG08,30.303403
2015,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,67.903553
2016,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,53.621316
2017,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,54.34825
2018,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,99.421992
2019,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,61.361069
2020,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,47.939623
2021,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,42.607395
2022,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,43.227712
2023,Proportion of pregnant women with anemia among women who completed pregnancy,Bishkek (city),,KG11,50.286734
2015,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,38.720578
2016,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,48.088624
2017,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,41.182821
2018,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,31.186184
2019,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,32.093396
2020,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,38.133333
2021,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,34.332724
2022,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,38.737483
2023,Proportion of pregnant women with anemia among women who completed pregnancy,Osh (city),,KG21,37.055296
