Year,SERIES,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh,under 18 years old,,,,,KG06,75.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Talas,under 18 years old,,,,,KG07,165.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Talas,under 18 years old,,,,,KG07,15.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Chui,under 18 years old,,,,,KG08,116.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Chui,under 18 years old,,,,,KG08,84.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Bishkek (city),under 18 years old,,,,,KG11,53.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Bishkek (city),under 18 years old,,,,,KG11,25.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh (city),under 18 years old,,,,,KG21,132.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh (city),under 18 years old,,,,,KG21,24.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Lower secondary education,,,303.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Lower secondary education,,,260.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Upper secondary education,,,213.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Upper secondary education,,,176.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Post-secondary non-tertiary education,,,60.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Post-secondary non-tertiary education,,,45.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Short-cycle tertiary education,,,26.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Short-cycle tertiary education,,,11.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,Persons without disability,,127.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,Persons without disability,,93.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 1 (poorest),,,,118.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 1 (poorest),,,,194.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 2,,,,197.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 2,,,,101.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 3,,,,144.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 3,,,,88.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 4,,,,125.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 4,,,,87.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 5 (richest),,,,64.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 5 (richest),,,,24.0
