Year,Sex,Age,Degree of urbanisation,Economic activity,Value
2018,,,,"Water supply; sewerage, waste management and remediation activities",14.4
2015,,,,Construction,30.5
2016,,,,Construction,21.9
2017,,,,Construction,25.2
2018,,,,Construction,18.3
2015,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,17.0
2016,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,13.9
2017,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,12.7
2018,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,12.4
2015,,,,Transportation and storage,22.3
2016,,,,Transportation and storage,20.9
2017,,,,Transportation and storage,18.0
2018,,,,Transportation and storage,14.2
2015,,,,Accommodation and food service activities,18.2
2016,,,,Accommodation and food service activities,14.0
2017,,,,Accommodation and food service activities,10.5
2018,,,,Accommodation and food service activities,10.1
2015,,,,Information and communication,23.4
2016,,,,Information and communication,12.6
2017,,,,Information and communication,7.2
2018,,,,Information and communication,7.4
2015,,,,Financial and insurance activities,10.5
2016,,,,Financial and insurance activities,7.0
2017,,,,Financial and insurance activities,11.9
2018,,,,Financial and insurance activities,10.7
2015,,,,Real estate activities,3.9
2016,,,,Real estate activities,1.6
2017,,,,Real estate activities,1.9
2015,,,,"Professional, scientific and technical activities",19.0
2016,,,,"Professional, scientific and technical activities",6.4
2017,,,,"Professional, scientific and technical activities",10.7
2018,,,,"Professional, scientific and technical activities",6.2
2015,,,,Administrative and support service activities,13.6
2016,,,,Administrative and support service activities,9.7
2017,,,,Administrative and support service activities,17.4
2018,,,,Administrative and support service activities,10.9
2015,,,,Public administration and defence; compulsory social security,16.9
2016,,,,Public administration and defence; compulsory social security,9.9
2017,,,,Public administration and defence; compulsory social security,10.1
2018,,,,Public administration and defence; compulsory social security,6.6
2015,,,,Education,20.4
2016,,,,Education,16.1
2017,,,,Education,18.6
2018,,,,Education,18.9
2015,,,,Human health and social work activities,13.3
2016,,,,Human health and social work activities,11.6
2017,,,,Human health and social work activities,15.2
2018,,,,Human health and social work activities,12.0
2015,,,,"Arts, entertainment and recreation",24.9
2016,,,,"Arts, entertainment and recreation",22.9
2017,,,,"Arts, entertainment and recreation",13.5
2018,,,,"Arts, entertainment and recreation",10.0
2015,,,,Other service activities,14.3
2016,,,,Other service activities,10.5
2017,,,,Other service activities,9.7
2018,,,,Other service activities,9.1
2015,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,24.0
2016,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,46.9
2017,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,31.5
2018,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,23.4
2017,,,,Activities of extraterritorial organisations and bodies,15.6
