Year,Reference area,Age,Value
2008,Osh,,0.12175
2009,Osh,,0.107225
2010,Osh,,0.0932
2011,Osh,,0.090158
2012,Osh,,0.15104800000000002
2013,Osh,,0.06454800000000001
2014,Osh,,0.073072
2015,Osh,,0.077833
2016,Osh,,0.085588
2017,Osh,,0.08541699999999999
2018,Osh,,0.057837
2019,Osh,,0.1
2007,Osh,,0.121304
2008,Osh,,0.116212
2009,Osh,,0.11267200000000001
2010,Osh,,0.08828899999999999
2011,Osh,,0.08543300000000001
2012,Osh,,0.19168
2013,Osh,,0.058549000000000004
2014,Osh,,0.081713
2015,Osh,,0.07972
2016,Osh,,0.071589
2017,Osh,,0.07612999999999999
2018,Osh,,0.07900599999999999
2019,Osh,,0.1
2007,Talas,,0.013474000000000002
2008,Talas,,0.017775
2009,Talas,,0.03075
2010,Talas,,0.021700999999999998
2011,Talas,,0.042815
2012,Talas,,0.067397
2013,Talas,,0.045567
2014,Talas,,0.048927
2015,Talas,,0.056171000000000006
2016,Talas,,0.055291999999999994
2017,Talas,,0.058353999999999996
2018,Talas,,0.057428999999999994
2019,Talas,,0.0
2007,Talas,,0.00898
2008,Talas,,0.008892
2009,Talas,,0.017601
2010,Talas,,0.008705
2011,Talas,,0.017203
2012,Talas,,0.067802
2013,Talas,,0.05005
2014,Talas,,0.041101
2015,Talas,,0.048589999999999994
2016,Talas,,0.047869999999999996
2017,Talas,,0.055042999999999995
2018,Talas,,0.046446
2019,Talas,,0.0
2007,Talas,,0.017969
2008,Talas,,0.026647000000000004
2009,Talas,,0.043856
2010,Talas,,0.034625
2011,Talas,,0.068199
2012,Talas,,0.066997
2013,Talas,,0.041144
2014,Talas,,0.056629
2015,Talas,,0.06361499999999999
2016,Talas,,0.062567
2017,Talas,,0.061597000000000006
2018,Talas,,0.068177
2019,Talas,,0.0
2007,Chui,,0.12004400000000001
2008,Chui,,0.211756
2009,Chui,,0.316925
2010,Chui,,0.2465
2011,Chui,,0.25167399999999995
2012,Chui,,0.245707
2013,Chui,,0.185606
2014,Chui,,0.222782
2015,Chui,,0.188909
2016,Chui,,0.293505
2017,Chui,,0.306622
2018,Chui,,0.23517800000000003
2019,Chui,,0.2
2007,Chui,,0.044667
2008,Chui,,0.07874600000000001
2009,Chui,,0.08301599999999999
2010,Chui,,0.084797
2011,Chui,,0.105742
2012,Chui,,0.208662
2013,Chui,,0.139698
2014,Chui,,0.157694
2015,Chui,,0.186081
2016,Chui,,0.224264
2017,Chui,,0.22432600000000003
2018,Chui,,0.1777
2019,Chui,,0.2
2007,Chui,,0.198252
2008,Chui,,0.34973899999999997
2009,Chui,,0.559424
2010,Chui,,0.41393900000000006
2011,Chui,,0.402572
2012,Chui,,0.28395
2013,Chui,,0.232961
2014,Chui,,0.289906
2015,Chui,,0.191824
2016,Chui,,0.364877
2017,Chui,,0.391491
2018,Chui,,0.29443600000000003
2019,Chui,,0.3
2007,Bishkek (city),,0.055035
2008,Bishkek (city),,0.080992
2009,Bishkek (city),,0.09172999999999999
2010,Bishkek (city),,0.106677
2011,Bishkek (city),,0.123418
2012,Bishkek (city),,0.088198
2013,Bishkek (city),,0.106075
2014,Bishkek (city),,0.097148
2015,Bishkek (city),,0.12239000000000001
2016,Bishkek (city),,0.133088
2017,Bishkek (city),,0.130155
2018,Bishkek (city),,0.31250700000000003
2019,Bishkek (city),,0.3
2007,Bishkek (city),,0.029708
2008,Bishkek (city),,0.054108
2009,Bishkek (city),,0.037758
2010,Bishkek (city),,0.045935000000000004
2011,Bishkek (city),,0.051685
2012,Bishkek (city),,0.040147
2013,Bishkek (city),,0.049602999999999994
2014,Bishkek (city),,0.086917
2015,Bishkek (city),,0.085076
2016,Bishkek (city),,0.096837
2017,Bishkek (city),,0.08149400000000001
2018,Bishkek (city),,0.192747
2019,Bishkek (city),,0.3
2007,Bishkek (city),,0.084195
2008,Bishkek (city),,0.112071
2009,Bishkek (city),,0.15417
2010,Bishkek (city),,0.176827
2011,Bishkek (city),,0.20614899999999997
2012,Bishkek (city),,0.143512
2013,Bishkek (city),,0.17095
2014,Bishkek (city),,0.108873
2015,Bishkek (city),,0.165022
2016,Bishkek (city),,0.17441099999999998
2017,Bishkek (city),,0.185553
2018,Bishkek (city),,0.4486
2019,Bishkek (city),,0.5
2007,Osh (city),,0.34344
2008,Osh (city),,0.24472199999999997
2009,Osh (city),,0.495299
2010,Osh (city),,0.295259
2011,Osh (city),,0.23456999999999997
2012,Osh (city),,0.255731
2013,Osh (city),,0.190275
2014,Osh (city),,0.212932
2015,Osh (city),,0.150194
2016,Osh (city),,0.190109
2017,Osh (city),,0.150703
2018,Osh (city),,0.16661700000000002
2019,Osh (city),,0.2
2007,Osh (city),,0.127494
2008,Osh (city),,0.11941199999999999
2009,Osh (city),,0.260529
2010,Osh (city),,0.17924400000000001
2011,Osh (city),,0.165104
2012,Osh (city),,0.208416
2013,Osh (city),,0.190447
2014,Osh (city),,0.230489
2015,Osh (city),,0.120243
2016,Osh (city),,0.18721300000000002
2017,Osh (city),,0.14240999999999998
2018,Osh (city),,0.151575
2019,Osh (city),,0.1
2007,Osh (city),,0.5777479999999999
2008,Osh (city),,0.380736
2009,Osh (city),,0.749468
2010,Osh (city),,0.42103599999999997
2011,Osh (city),,0.310108
2012,Osh (city),,0.307103
2013,Osh (city),,0.19009
2014,Osh (city),,0.19401500000000002
2015,Osh (city),,0.182369
2016,Osh (city),,0.193214
2017,Osh (city),,0.159574
2018,Osh (city),,0.182651
2019,Osh (city),,0.2
2007,,under 15 years old,0.028575
2008,,under 15 years old,0.06068099999999999
2009,,under 15 years old,0.030757
2010,,under 15 years old,0.026761
2011,,under 15 years old,0.034624
2012,,under 15 years old,0.091373
2013,,under 15 years old,0.013580000000000002
2014,,under 15 years old,0.019784
2015,,under 15 years old,0.016499
2016,,under 15 years old,0.0165
2017,,under 15 years old,0.015035
2018,,under 15 years old,0.016559
2019,,under 15 years old,0.013237
2007,,15 to 24 years old,0.11669000000000002
2008,,15 to 24 years old,0.14821199999999998
2009,,15 to 24 years old,0.214585
2010,,15 to 24 years old,0.174198
2011,,15 to 24 years old,0.177296
2012,,15 to 24 years old,0.178004
2013,,15 to 24 years old,0.14731
2014,,15 to 24 years old,0.173101
2015,,15 to 24 years old,0.165554
2016,,15 to 24 years old,0.199817
2017,,15 to 24 years old,0.220635
2018,,15 to 24 years old,0.216018
2019,,15 to 24 years old,0.067974
2007,,25 years old and over,0.11669000000000002
2008,,25 years old and over,0.14821199999999998
2009,,25 years old and over,0.214585
2010,,25 years old and over,0.174198
2011,,25 years old and over,0.177296
2012,,25 years old and over,0.178004
2013,,25 years old and over,0.14731
2014,,25 years old and over,0.173101
2015,,25 years old and over,0.165554
2016,,25 years old and over,0.199817
2017,,25 years old and over,0.220635
2018,,25 years old and over,0.216018
2019,,25 years old and over,0.136237
