Year,SERIES,Reference area,Age,GeoCode,Value
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,35.099338
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,39.201903
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,31.307684
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,26.755677
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,29.473684
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,KG02,23.062382
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,37.077865
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,34.445603
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,32.450331
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,27.505407
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,20.346733
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,18.726592
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,KG04,19.815314
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,40.599511
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,43.986528
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,49.775699
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,49.038739
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,46.766805
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,25.552099
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,KG06,23.537218
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,48.794449
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,61.884874
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,51.555883
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,39.738875
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,32.170099
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,41.943974
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,KG07,33.438662
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,31.488782
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,34.041943
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,31.154508
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,35.764419
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,30.102889
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,24.77942
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,KG08,27.234744
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,67.903553
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,53.621316
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,54.34825
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,99.421992
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,61.361069
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,47.939623
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,KG11,42.607395
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,38.720578
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,48.088624
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,41.182821
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,31.186184
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,32.093396
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,38.133333
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,KG21,34.332724
