Year,Reference area,Sex,Age,Value
2008,Naryn,Female,,42.7
2009,Naryn,Female,,44.8
2010,Naryn,Female,,53.4
2011,Naryn,Female,,48.3
2012,Naryn,Female,,37.7
2013,Naryn,Female,,44.8
2014,Naryn,Female,,32.4
2015,Naryn,Female,,39.5
2016,Naryn,Female,,39.6
2017,Naryn,Female,,31.2
2018,Naryn,Female,,31.6
2019,Naryn,Female,,29.0
2007,Naryn,Male,,43.7
2008,Naryn,Male,,42.8
2009,Naryn,Male,,43.5
2010,Naryn,Male,,53.7
2011,Naryn,Male,,51.7
2012,Naryn,Male,,42.4
2013,Naryn,Male,,42.7
2014,Naryn,Male,,28.6
2015,Naryn,Male,,36.4
2016,Naryn,Male,,35.9
2017,Naryn,Male,,27.1
2018,Naryn,Male,,29.5
2019,Naryn,Male,,27.2
2007,Osh,,,46.6
2008,Osh,,,37.5
2009,Osh,,,38.3
2010,Osh,,,41.9
2011,Osh,,,44.7
2012,Osh,,,51.4
2013,Osh,,,43.4
2014,Osh,,,31.7
2015,Osh,,,28.9
2016,Osh,,,22.0
2017,Osh,,,14.3
2018,Osh,,,14.8
2019,Osh,,,14.0
2007,Osh,Female,,48.7
2008,Osh,Female,,37.9
2009,Osh,Female,,38.3
2010,Osh,Female,,40.6
2011,Osh,Female,,44.2
2012,Osh,Female,,50.6
2013,Osh,Female,,42.7
2014,Osh,Female,,30.5
2015,Osh,Female,,28.4
2016,Osh,Female,,21.8
2017,Osh,Female,,12.9
2018,Osh,Female,,15.3
2019,Osh,Female,,14.1
2007,Osh,Male,,44.3
2008,Osh,Male,,36.9
2009,Osh,Male,,38.2
2010,Osh,Male,,43.2
2011,Osh,Male,,45.2
2012,Osh,Male,,52.4
2013,Osh,Male,,44.2
2014,Osh,Male,,33.1
2015,Osh,Male,,29.5
2016,Osh,Male,,22.3
2017,Osh,Male,,15.7
2018,Osh,Male,,14.3
2019,Osh,Male,,13.9
2007,Talas,,,35.3
2008,Talas,,,43.0
2009,Talas,,,33.0
2010,Talas,,,42.3
2011,Talas,,,50.2
2012,Talas,,,39.6
2013,Talas,,,23.1
2014,Talas,,,19.0
2015,Talas,,,21.5
2016,Talas,,,18.1
2017,Talas,,,20.7
2018,Talas,,,22.1
2019,Talas,,,13.3
2007,Talas,Female,,35.5
2008,Talas,Female,,45.4
2009,Talas,Female,,35.7
2010,Talas,Female,,44.3
2011,Talas,Female,,51.4
2012,Talas,Female,,42.2
2013,Talas,Female,,23.3
2014,Talas,Female,,19.7
2015,Talas,Female,,22.6
2016,Talas,Female,,19.1
2017,Talas,Female,,21.4
2018,Talas,Female,,23.8
2019,Talas,Female,,14.0
2007,Talas,Male,,34.9
2008,Talas,Male,,40.0
2009,Talas,Male,,29.8
2010,Talas,Male,,40.1
2011,Talas,Male,,48.8
2012,Talas,Male,,36.7
2013,Talas,Male,,22.8
2014,Talas,Male,,18.4
2015,Talas,Male,,20.4
2016,Talas,Male,,17.1
2017,Talas,Male,,19.9
2018,Talas,Male,,20.3
2019,Talas,Male,,12.6
2007,Chui,,,15.0
2008,Chui,,,15.8
2009,Chui,,,21.2
2010,Chui,,,21.9
2011,Chui,,,28.6
2012,Chui,,,16.6
2013,Chui,,,23.6
2014,Chui,,,21.6
2015,Chui,,,24.8
2016,Chui,,,30.3
2017,Chui,,,33.3
2018,Chui,,,15.6
2019,Chui,,,19.1
2007,Chui,Female,,13.3
2008,Chui,Female,,14.9
2009,Chui,Female,,20.6
2010,Chui,Female,,21.8
2011,Chui,Female,,31.6
2012,Chui,Female,,16.3
2013,Chui,Female,,23.5
2014,Chui,Female,,20.8
2015,Chui,Female,,24.2
2016,Chui,Female,,29.8
2017,Chui,Female,,32.3
2018,Chui,Female,,15.5
2019,Chui,Female,,19.1
2007,Chui,Male,,16.8
2008,Chui,Male,,16.7
2009,Chui,Male,,21.9
2010,Chui,Male,,21.9
2011,Chui,Male,,25.3
2012,Chui,Male,,16.8
2013,Chui,Male,,23.7
2014,Chui,Male,,22.4
2015,Chui,Male,,25.4
2016,Chui,Male,,30.9
2017,Chui,Male,,34.4
2018,Chui,Male,,15.7
2019,Chui,Male,,19.0
2007,Bishkek (city),,,5.0
2008,Bishkek (city),,,15.2
2009,Bishkek (city),,,13.2
2010,Bishkek (city),,,7.9
2011,Bishkek (city),,,18.4
2012,Bishkek (city),,,21.4
2013,Bishkek (city),,,20.4
2014,Bishkek (city),,,17.6
2015,Bishkek (city),,,23.5
2016,Bishkek (city),,,9.8
2017,Bishkek (city),,,15.9
2018,Bishkek (city),,,15.4
2019,Bishkek (city),,,11.9
2007,Bishkek (city),Female,,5.0
2008,Bishkek (city),Female,,14.6
2009,Bishkek (city),Female,,12.7
2010,Bishkek (city),Female,,7.3
2011,Bishkek (city),Female,,17.1
2012,Bishkek (city),Female,,19.9
2013,Bishkek (city),Female,,18.4
2014,Bishkek (city),Female,,15.8
2015,Bishkek (city),Female,,22.2
2016,Bishkek (city),Female,,8.9
2017,Bishkek (city),Female,,14.3
2018,Bishkek (city),Female,,14.7
2019,Bishkek (city),Female,,10.9
2007,Bishkek (city),Male,,5.0
2008,Bishkek (city),Male,,16.0
2009,Bishkek (city),Male,,14.0
2010,Bishkek (city),Male,,8.7
2011,Bishkek (city),Male,,20.0
2012,Bishkek (city),Male,,23.3
2013,Bishkek (city),Male,,22.8
2014,Bishkek (city),Male,,19.9
2015,Bishkek (city),Male,,25.2
2016,Bishkek (city),Male,,10.9
2017,Bishkek (city),Male,,17.9
2018,Bishkek (city),Male,,16.3
2019,Bishkek (city),Male,,13.2
2007,Osh (city),,,0.0
2008,Osh (city),,,0.0
2009,Osh (city),,,0.0
2010,Osh (city),,,0.0
2011,Osh (city),,,0.0
2012,Osh (city),,,0.0
2013,Osh (city),,,40.9
2014,Osh (city),,,33.4
2015,Osh (city),,,38.3
2016,Osh (city),,,24.6
2017,Osh (city),,,33.5
2018,Osh (city),,,35.5
2019,Osh (city),,,20.7
2007,Osh (city),Female,,0.0
2008,Osh (city),Female,,0.0
2009,Osh (city),Female,,0.0
2010,Osh (city),Female,,0.0
2011,Osh (city),Female,,0.0
2012,Osh (city),Female,,0.0
2013,Osh (city),Female,,40.2
2014,Osh (city),Female,,32.0
2015,Osh (city),Female,,35.8
2016,Osh (city),Female,,23.2
2017,Osh (city),Female,,30.9
2018,Osh (city),Female,,33.9
2019,Osh (city),Female,,19.7
2007,Osh (city),Male,,0.0
2008,Osh (city),Male,,0.0
2009,Osh (city),Male,,0.0
2010,Osh (city),Male,,0.0
2011,Osh (city),Male,,0.0
2012,Osh (city),Male,,0.0
2013,Osh (city),Male,,41.6
2014,Osh (city),Male,,35.0
2015,Osh (city),Male,,41.0
2016,Osh (city),Male,,26.2
2017,Osh (city),Male,,36.4
2018,Osh (city),Male,,37.3
2019,Osh (city),Male,,21.8
