Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,GeoCode,Value
2022,,,Y_GE58,,,,,67.680041
2018,,,Y_GE15,,,ISCED11_1,,17.0
2019,,,Y_GE15,,,ISCED11_1,,25.253959
2020,,,Y_GE15,,,ISCED11_1,,24.636899
2021,,,Y_GE15,,,ISCED11_1,,19.578465
2022,,,Y_GE15,,,ISCED11_1,,23.074575
2018,,,Y_GE15,,,ISCED11_2,,10.8
2019,,,Y_GE15,,,ISCED11_2,,15.506281
2020,,,Y_GE15,,,ISCED11_2,,18.134313
2021,,,Y_GE15,,,ISCED11_2,,17.192247
2022,,,Y_GE15,,,ISCED11_2,,18.330539
2018,,,Y_GE15,,,ISCED11_3,,18.2
2019,,,Y_GE15,,,ISCED11_3,,25.60731
2020,,,Y_GE15,,,ISCED11_3,,29.738081
2021,,,Y_GE15,,,ISCED11_3,,29.859968
2022,,,Y_GE15,,,ISCED11_3,,33.251389
2018,,,Y_GE15,,,ISCED11_4,,32.1
2019,,,Y_GE15,,,ISCED11_4,,39.576314
2020,,,Y_GE15,,,ISCED11_4,,44.647997
2021,,,Y_GE15,,,ISCED11_4,,45.738416
2022,,,Y_GE15,,,ISCED11_4,,48.411721
2018,,,Y_GE15,,,ISCED11_6_7,,44.1
2019,,,Y_GE15,,,ISCED11_6_7,,54.556962
2020,,,Y_GE15,,,ISCED11_6_7,,57.646116
2021,,,Y_GE15,,,ISCED11_6_7,,60.938271
2022,,,Y_GE15,,,ISCED11_6_7,,62.32607
2018,,,Y_GE15,,Q1,,,12.285869
2019,,,Y_GE15,,Q1,,,19.928329
2020,,,Y_GE15,,Q1,,,23.264547
2021,,,Y_GE15,,Q1,,,24.833636
2022,,,Y_GE15,,Q1,,,28.434755
2018,,,Y_GE15,,Q2,,,20.108219
2019,,,Y_GE15,,Q2,,,29.54173
2020,,,Y_GE15,,Q2,,,35.464543
2021,,,Y_GE15,,Q2,,,34.313233
2022,,,Y_GE15,,Q2,,,36.417518
2018,,,Y_GE15,,Q3,,,23.688371
2019,,,Y_GE15,,Q3,,,31.242776
2020,,,Y_GE15,,Q3,,,39.252696
2021,,,Y_GE15,,Q3,,,38.165514
2022,,,Y_GE15,,Q3,,,40.969805
2018,,,Y_GE15,,Q4,,,28.405545
2019,,,Y_GE15,,Q4,,,36.901646
2020,,,Y_GE15,,Q4,,,39.606036
2021,,,Y_GE15,,Q4,,,41.587399
2022,,,Y_GE15,,Q4,,,42.296455
2018,,,Y_GE15,,Q5,,,32.674186
2019,,,Y_GE15,,Q5,,,38.816776
2020,,,Y_GE15,,Q5,,,46.669807
2021,,,Y_GE15,,Q5,,,46.108628
2022,,,Y_GE15,,Q5,,,51.345982
