Year,Reference area,Sex,Территория,Пол,Value
2009,Jalal-Abad,Male,,,27.0
2010,Jalal-Abad,Male,,,21.0
2011,Jalal-Abad,Male,,,27.0
2012,Jalal-Abad,Male,,,17.0
2013,Jalal-Abad,Male,,,22.0
2014,Jalal-Abad,Male,,,11.0
2015,Jalal-Abad,Male,,,5.0
2016,Jalal-Abad,Male,,,9.0
2017,Jalal-Abad,Male,,,29.0
2018,Jalal-Abad,Male,,,4.0
2020,Jalal-Abad,Male,,,9.0
2021,Jalal-Abad,Male,,,8.0
2008,Jalal-Abad,Female,,,7.0
2009,Jalal-Abad,Female,,,12.0
2010,Jalal-Abad,Female,,,11.0
2011,Jalal-Abad,Female,,,8.0
2012,Jalal-Abad,Female,,,16.0
2013,Jalal-Abad,Female,,,9.0
2014,Jalal-Abad,Female,,,6.0
2015,Jalal-Abad,Female,,,6.0
2016,Jalal-Abad,Female,,,4.0
2017,Jalal-Abad,Female,,,14.0
2020,Jalal-Abad,Female,,,5.0
2021,Jalal-Abad,Female,,,7.0
2007,Issyk-Kul,,,,14.0
2008,Issyk-Kul,,,,42.0
2009,Issyk-Kul,,,,11.0
2010,Issyk-Kul,,,,15.0
2011,Issyk-Kul,,,,17.0
2012,Issyk-Kul,,,,4.0
2013,Issyk-Kul,,,,21.0
2014,Issyk-Kul,,,,25.0
2015,Issyk-Kul,,,,6.0
2016,Issyk-Kul,,,,2.0
2017,Issyk-Kul,,,,6.0
2018,Issyk-Kul,,,,2.0
2019,Issyk-Kul,,,,5.0
2021,Issyk-Kul,,,,12.0
2007,Issyk-Kul,Male,,,10.0
2008,Issyk-Kul,Male,,,26.0
2009,Issyk-Kul,Male,,,7.0
2010,Issyk-Kul,Male,,,10.0
2011,Issyk-Kul,Male,,,9.0
2012,Issyk-Kul,Male,,,4.0
2013,Issyk-Kul,Male,,,13.0
2014,Issyk-Kul,Male,,,16.0
2015,Issyk-Kul,Male,,,5.0
2016,Issyk-Kul,Male,,,1.0
2017,Issyk-Kul,Male,,,6.0
2018,Issyk-Kul,Male,,,1.0
2019,Issyk-Kul,Male,,,2.0
2021,Issyk-Kul,Male,,,7.0
2007,Issyk-Kul,Female,,,4.0
2008,Issyk-Kul,Female,,,16.0
2009,Issyk-Kul,Female,,,4.0
2010,Issyk-Kul,Female,,,5.0
2011,Issyk-Kul,Female,,,8.0
2013,Issyk-Kul,Female,,,8.0
2014,Issyk-Kul,Female,,,9.0
2015,Issyk-Kul,Female,,,1.0
2016,Issyk-Kul,Female,,,1.0
2018,Issyk-Kul,Female,,,1.0
2019,Issyk-Kul,Female,,,3.0
2021,Issyk-Kul,Female,,,5.0
2007,Naryn,,,,5.0
2008,Naryn,,,,6.0
2010,Naryn,,,,7.0
2012,Naryn,,,,5.0
2013,Naryn,,,,8.0
2014,Naryn,,,,2.0
2015,Naryn,,,,9.0
2016,Naryn,,,,1.0
2017,Naryn,,,,2.0
2007,Naryn,Male,,,4.0
2008,Naryn,Male,,,4.0
2010,Naryn,Male,,,4.0
2012,Naryn,Male,,,4.0
2013,Naryn,Male,,,5.0
2014,Naryn,Male,,,2.0
2015,Naryn,Male,,,6.0
2016,Naryn,Male,,,1.0
2017,Naryn,Male,,,2.0
2007,Naryn,Female,,,1.0
2008,Naryn,Female,,,2.0
2010,Naryn,Female,,,3.0
2012,Naryn,Female,,,1.0
2013,Naryn,Female,,,3.0
2015,Naryn,Female,,,3.0
2007,Osh,,,,6.0
2008,Osh,,,,96.0
2009,Osh,,,,2.0
2010,Osh,,,,19.0
2011,Osh,,,,11.0
2012,Osh,,,,22.0
2013,Osh,,,,5.0
2015,Osh,,,,10.0
2016,Osh,,,,1.0
2017,Osh,,,,35.0
2018,Osh,,,,1.0
2020,Osh,,,,7.0
2021,Osh,,,,17.0
2007,Osh,Male,,,6.0
2008,Osh,Male,,,50.0
2009,Osh,Male,,,2.0
2010,Osh,Male,,,12.0
2011,Osh,Male,,,6.0
2012,Osh,Male,,,16.0
2013,Osh,Male,,,3.0
2015,Osh,Male,,,7.0
2016,Osh,Male,,,1.0
2017,Osh,Male,,,17.0
2018,Osh,Male,,,1.0
2020,Osh,Male,,,7.0
2021,Osh,Male,,,8.0
2008,Osh,Female,,,46.0
2010,Osh,Female,,,7.0
2011,Osh,Female,,,5.0
2012,Osh,Female,,,6.0
2013,Osh,Female,,,2.0
2015,Osh,Female,,,3.0
2017,Osh,Female,,,18.0
2021,Osh,Female,,,9.0
2007,Talas,,,,1.0
2010,Talas,,,,4.0
2011,Talas,,,,6.0
2013,Talas,,,,5.0
2021,Talas,,,,9.0
2007,Talas,Male,,,1.0
2010,Talas,Male,,,3.0
2011,Talas,Male,,,4.0
2013,Talas,Male,,,4.0
2021,Talas,Male,,,7.0
2010,Talas,Female,,,1.0
2011,Talas,Female,,,2.0
2013,Talas,Female,,,1.0
2021,Talas,Female,,,2.0
2007,Chui,,,,35.0
2008,Chui,,,,102.0
2009,Chui,,,,19.0
2010,Chui,,,,46.0
2011,Chui,,,,41.0
2012,Chui,,,,23.0
2013,Chui,,,,22.0
2014,Chui,,,,13.0
2015,Chui,,,,15.0
2016,Chui,,,,14.0
2017,Chui,,,,55.0
2018,Chui,,,,10.0
2019,Chui,,,,6.0
2020,Chui,,,,24.0
2021,Chui,,,,20.0
2007,Chui,Male,,,28.0
2008,Chui,Male,,,76.0
2009,Chui,Male,,,12.0
2010,Chui,Male,,,32.0
2011,Chui,Male,,,30.0
2012,Chui,Male,,,15.0
2013,Chui,Male,,,12.0
2014,Chui,Male,,,7.0
2015,Chui,Male,,,8.0
2016,Chui,Male,,,11.0
2017,Chui,Male,,,31.0
2018,Chui,Male,,,7.0
2019,Chui,Male,,,2.0
2020,Chui,Male,,,10.0
2021,Chui,Male,,,9.0
2007,Chui,Female,,,7.0
2008,Chui,Female,,,26.0
2009,Chui,Female,,,7.0
2010,Chui,Female,,,14.0
2011,Chui,Female,,,11.0
2012,Chui,Female,,,8.0
2013,Chui,Female,,,10.0
2014,Chui,Female,,,6.0
2015,Chui,Female,,,7.0
2016,Chui,Female,,,3.0
2017,Chui,Female,,,24.0
2018,Chui,Female,,,3.0
2019,Chui,Female,,,4.0
2020,Chui,Female,,,14.0
2021,Chui,Female,,,11.0
2007,Bishkek (city),,,,12.0
2008,Bishkek (city),,,,1.0
2010,Bishkek (city),,,,14.0
2011,Bishkek (city),,,,19.0
2012,Bishkek (city),,,,3.0
2014,Bishkek (city),,,,2.0
2016,Bishkek (city),,,,7.0
2007,Bishkek (city),Male,,,9.0
2008,Bishkek (city),Male,,,1.0
2010,Bishkek (city),Male,,,9.0
2011,Bishkek (city),Male,,,11.0
2012,Bishkek (city),Male,,,2.0
2016,Bishkek (city),Male,,,7.0
2007,Bishkek (city),Female,,,3.0
2010,Bishkek (city),Female,,,5.0
2011,Bishkek (city),Female,,,8.0
2012,Bishkek (city),Female,,,1.0
2014,Bishkek (city),Female,,,2.0
2007,Osh (city),,,,7.0
2010,Osh (city),,,,6.0
2011,Osh (city),,,,4.0
2015,Osh (city),,,,1.0
2018,Osh (city),,,,1.0
2007,Osh (city),Male,,,5.0
2010,Osh (city),Male,,,4.0
2011,Osh (city),Male,,,2.0
2015,Osh (city),Male,,,1.0
2018,Osh (city),Male,,,1.0
2007,Osh (city),Female,,,2.0
2010,Osh (city),Female,,,2.0
2011,Osh (city),Female,,,2.0
2007,,,,,93.0
2008,,,,,281.0
2009,,,,,71.0
2010,,,,,158.0
2011,,,,,140.0
2012,,,,,99.0
2013,,,,,95.0
2014,,,,,62.0
2015,,,,,53.0
2016,,,,,47.0
2017,,,,,141.0
2018,,,,,18.0
2019,,,,,17.0
2020,,,,,51.0
2021,,,,,109.0
2007,,,,Мужчины,74.0
2008,,,,Мужчины,184.0
2009,,,,Мужчины,48.0
2010,,,,Мужчины,106.0
2011,,,,Мужчины,93.0
2012,,,,Мужчины,65.0
2013,,,,Мужчины,62.0
2014,,,,Мужчины,39.0
2015,,,,Мужчины,33.0
2016,,,,Мужчины,37.0
2017,,,,Мужчины,85.0
2018,,,,Мужчины,14.0
2019,,,,Мужчины,8.0
2020,,,,Мужчины,29.0
2021,,,,Мужчины,74.0
2007,,,,Женщины,19.0
2008,,,,Женщины,97.0
2009,,,,Женщины,23.0
2010,,,,Женщины,52.0
2011,,,,Женщины,47.0
2012,,,,Женщины,34.0
2013,,,,Женщины,33.0
2014,,,,Женщины,23.0
2015,,,,Женщины,20.0
2016,,,,Женщины,10.0
2017,,,,Женщины,56.0
2018,,,,Женщины,4.0
2019,,,,Женщины,9.0
2020,,,,Женщины,22.0
2021,,,,Женщины,35.0
2007,,,Баткенская область,,8.0
2008,,,Баткенская область,,9.0
2009,,,Баткенская область,,0.0
2010,,,Баткенская область,,15.0
2011,,,Баткенская область,,7.0
2012,,,Баткенская область,,9.0
2013,,,Баткенская область,,3.0
2014,,,Баткенская область,,3.0
2015,,,Баткенская область,,1.0
2016,,,Баткенская область,,9.0
2017,,,Баткенская область,,0.0
2018,,,Баткенская область,,0.0
2019,,,Баткенская область,,6.0
2020,,,Баткенская область,,5.0
2021,,,Баткенская область,,36.0
2007,,,Баткенская область,Мужчины,6.0
2008,,,Баткенская область,Мужчины,9.0
2009,,,Баткенская область,Мужчины,0.0
2010,,,Баткенская область,Мужчины,11.0
2011,,,Баткенская область,Мужчины,4.0
2012,,,Баткенская область,Мужчины,7.0
2013,,,Баткенская область,Мужчины,3.0
2014,,,Баткенская область,Мужчины,3.0
2015,,,Баткенская область,Мужчины,1.0
2016,,,Баткенская область,Мужчины,7.0
2017,,,Баткенская область,Мужчины,0.0
2018,,,Баткенская область,Мужчины,0.0
2019,,,Баткенская область,Мужчины,4.0
2020,,,Баткенская область,Мужчины,3.0
2021,,,Баткенская область,Мужчины,35.0
2007,,,Баткенская область,Женщины,2.0
2008,,,Баткенская область,Женщины,0.0
2009,,,Баткенская область,Женщины,0.0
2010,,,Баткенская область,Женщины,4.0
2011,,,Баткенская область,Женщины,3.0
2012,,,Баткенская область,Женщины,2.0
2013,,,Баткенская область,Женщины,0.0
2014,,,Баткенская область,Женщины,0.0
2015,,,Баткенская область,Женщины,0.0
2016,,,Баткенская область,Женщины,2.0
2017,,,Баткенская область,Женщины,0.0
2018,,,Баткенская область,Женщины,0.0
2019,,,Баткенская область,Женщины,2.0
2020,,,Баткенская область,Женщины,2.0
2021,,,Баткенская область,Женщины,1.0
2007,,,Джалал-Абадская область,,5.0
2008,,,Джалал-Абадская область,,25.0
2009,,,Джалал-Абадская область,,39.0
2010,,,Джалал-Абадская область,,32.0
2011,,,Джалал-Абадская область,,35.0
2012,,,Джалал-Абадская область,,33.0
2013,,,Джалал-Абадская область,,31.0
2014,,,Джалал-Абадская область,,17.0
2015,,,Джалал-Абадская область,,11.0
2016,,,Джалал-Абадская область,,13.0
2017,,,Джалал-Абадская область,,43.0
2018,,,Джалал-Абадская область,,4.0
2019,,,Джалал-Абадская область,,0.0
2020,,,Джалал-Абадская область,,15.0
2021,,,Джалал-Абадская область,,15.0
2007,,,Джалал-Абадская область,Мужчины,5.0
2008,,,Джалал-Абадская область,Мужчины,18.0
2009,,,Джалал-Абадская область,Мужчины,27.0
2010,,,Джалал-Абадская область,Мужчины,21.0
2011,,,Джалал-Абадская область,Мужчины,27.0
2012,,,Джалал-Абадская область,Мужчины,17.0
2013,,,Джалал-Абадская область,Мужчины,22.0
2014,,,Джалал-Абадская область,Мужчины,11.0
2015,,,Джалал-Абадская область,Мужчины,5.0
2016,,,Джалал-Абадская область,Мужчины,9.0
2017,,,Джалал-Абадская область,Мужчины,29.0
2018,,,Джалал-Абадская область,Мужчины,4.0
2019,,,Джалал-Абадская область,Мужчины,0.0
2020,,,Джалал-Абадская область,Мужчины,9.0
2021,,,Джалал-Абадская область,Мужчины,8.0
2007,,,Джалал-Абадская область,Женщины,0.0
2008,,,Джалал-Абадская область,Женщины,7.0
2009,,,Джалал-Абадская область,Женщины,12.0
2010,,,Джалал-Абадская область,Женщины,11.0
2011,,,Джалал-Абадская область,Женщины,8.0
2012,,,Джалал-Абадская область,Женщины,16.0
2013,,,Джалал-Абадская область,Женщины,9.0
2014,,,Джалал-Абадская область,Женщины,6.0
2015,,,Джалал-Абадская область,Женщины,6.0
2016,,,Джалал-Абадская область,Женщины,4.0
2017,,,Джалал-Абадская область,Женщины,14.0
2018,,,Джалал-Абадская область,Женщины,0.0
2019,,,Джалал-Абадская область,Женщины,0.0
2020,,,Джалал-Абадская область,Женщины,6.0
2021,,,Джалал-Абадская область,Женщины,7.0
2007,,,Иссык-Кульская область,,14.0
2008,,,Иссык-Кульская область,,42.0
2009,,,Иссык-Кульская область,,11.0
2010,,,Иссык-Кульская область,,15.0
2011,,,Иссык-Кульская область,,17.0
2012,,,Иссык-Кульская область,,4.0
2013,,,Иссык-Кульская область,,21.0
2014,,,Иссык-Кульская область,,25.0
2015,,,Иссык-Кульская область,,6.0
2016,,,Иссык-Кульская область,,2.0
2017,,,Иссык-Кульская область,,6.0
2018,,,Иссык-Кульская область,,2.0
2019,,,Иссык-Кульская область,,5.0
2020,,,Иссык-Кульская область,,0.0
2021,,,Иссык-Кульская область,,12.0
2007,,,Иссык-Кульская область,Мужчины,10.0
2008,,,Иссык-Кульская область,Мужчины,26.0
2009,,,Иссык-Кульская область,Мужчины,7.0
2010,,,Иссык-Кульская область,Мужчины,10.0
2011,,,Иссык-Кульская область,Мужчины,9.0
2012,,,Иссык-Кульская область,Мужчины,4.0
2013,,,Иссык-Кульская область,Мужчины,13.0
2014,,,Иссык-Кульская область,Мужчины,16.0
2015,,,Иссык-Кульская область,Мужчины,5.0
2016,,,Иссык-Кульская область,Мужчины,1.0
2017,,,Иссык-Кульская область,Мужчины,6.0
2018,,,Иссык-Кульская область,Мужчины,1.0
2019,,,Иссык-Кульская область,Мужчины,2.0
2020,,,Иссык-Кульская область,Мужчины,0.0
2021,,,Иссык-Кульская область,Мужчины,7.0
2007,,,Иссык-Кульская область,Женщины,4.0
2008,,,Иссык-Кульская область,Женщины,16.0
2009,,,Иссык-Кульская область,Женщины,4.0
2010,,,Иссык-Кульская область,Женщины,5.0
2011,,,Иссык-Кульская область,Женщины,8.0
2012,,,Иссык-Кульская область,Женщины,
2013,,,Иссык-Кульская область,Женщины,8.0
2014,,,Иссык-Кульская область,Женщины,9.0
2015,,,Иссык-Кульская область,Женщины,1.0
2016,,,Иссык-Кульская область,Женщины,1.0
2017,,,Иссык-Кульская область,Женщины,
2018,,,Иссык-Кульская область,Женщины,1.0
2019,,,Иссык-Кульская область,Женщины,3.0
2020,,,Иссык-Кульская область,Женщины,0.0
2021,,,Иссык-Кульская область,Женщины,5.0
2007,,,Нарынская область,,5.0
2008,,,Нарынская область,,6.0
2009,,,Нарынская область,,0.0
2010,,,Нарынская область,,7.0
2011,,,Нарынская область,,0.0
2012,,,Нарынская область,,5.0
2013,,,Нарынская область,,8.0
2014,,,Нарынская область,,2.0
2015,,,Нарынская область,,9.0
2016,,,Нарынская область,,1.0
2017,,,Нарынская область,,2.0
2018,,,Нарынская область,,0.0
2019,,,Нарынская область,,0.0
2020,,,Нарынская область,,0.0
2021,,,Нарынская область,,0.0
2007,,,Нарынская область,Мужчины,4.0
2008,,,Нарынская область,Мужчины,4.0
2009,,,Нарынская область,Мужчины,0.0
2010,,,Нарынская область,Мужчины,4.0
2011,,,Нарынская область,Мужчины,0.0
2012,,,Нарынская область,Мужчины,4.0
2013,,,Нарынская область,Мужчины,5.0
2014,,,Нарынская область,Мужчины,2.0
2015,,,Нарынская область,Мужчины,6.0
2016,,,Нарынская область,Мужчины,1.0
2017,,,Нарынская область,Мужчины,2.0
2018,,,Нарынская область,Мужчины,0.0
2019,,,Нарынская область,Мужчины,0.0
2020,,,Нарынская область,Мужчины,0.0
2021,,,Нарынская область,Мужчины,0.0
2007,,,Нарынская область,Женщины,1.0
2008,,,Нарынская область,Женщины,2.0
2009,,,Нарынская область,Женщины,0.0
2010,,,Нарынская область,Женщины,3.0
2011,,,Нарынская область,Женщины,0.0
2012,,,Нарынская область,Женщины,1.0
2013,,,Нарынская область,Женщины,3.0
2014,,,Нарынская область,Женщины,0.0
2015,,,Нарынская область,Женщины,3.0
2016,,,Нарынская область,Женщины,0.0
2017,,,Нарынская область,Женщины,0.0
2018,,,Нарынская область,Женщины,0.0
2019,,,Нарынская область,Женщины,0.0
2020,,,Нарынская область,Женщины,0.0
2021,,,Нарынская область,Женщины,0.0
2007,,,Ошская область,,6.0
2008,,,Ошская область,,96.0
2009,,,Ошская область,,2.0
2010,,,Ошская область,,19.0
2011,,,Ошская область,,11.0
2012,,,Ошская область,,22.0
2013,,,Ошская область,,5.0
2014,,,Ошская область,,0.0
2015,,,Ошская область,,10.0
2016,,,Ошская область,,1.0
2017,,,Ошская область,,35.0
2018,,,Ошская область,,1.0
2019,,,Ошская область,,0.0
2020,,,Ошская область,,7.0
2021,,,Ошская область,,17.0
2007,,,Ошская область,Мужчины,6.0
2008,,,Ошская область,Мужчины,50.0
2009,,,Ошская область,Мужчины,2.0
2010,,,Ошская область,Мужчины,12.0
2011,,,Ошская область,Мужчины,6.0
2012,,,Ошская область,Мужчины,16.0
2013,,,Ошская область,Мужчины,3.0
2014,,,Ошская область,Мужчины,0.0
2015,,,Ошская область,Мужчины,7.0
2016,,,Ошская область,Мужчины,1.0
2017,,,Ошская область,Мужчины,17.0
2018,,,Ошская область,Мужчины,1.0
2019,,,Ошская область,Мужчины,0.0
2020,,,Ошская область,Мужчины,7.0
2021,,,Ошская область,Мужчины,8.0
2007,,,Ошская область,Женщины,0.0
2008,,,Ошская область,Женщины,46.0
2009,,,Ошская область,Женщины,0.0
2010,,,Ошская область,Женщины,7.0
2011,,,Ошская область,Женщины,5.0
2012,,,Ошская область,Женщины,6.0
2013,,,Ошская область,Женщины,2.0
2014,,,Ошская область,Женщины,0.0
2015,,,Ошская область,Женщины,3.0
2016,,,Ошская область,Женщины,0.0
2017,,,Ошская область,Женщины,18.0
2018,,,Ошская область,Женщины,0.0
2019,,,Ошская область,Женщины,0.0
2020,,,Ошская область,Женщины,0.0
2021,,,Ошская область,Женщины,9.0
2007,,,Таласская область,,1.0
2008,,,Таласская область,,0.0
2009,,,Таласская область,,0.0
2010,,,Таласская область,,4.0
2011,,,Таласская область,,6.0
2012,,,Таласская область,,0.0
2013,,,Таласская область,,5.0
2014,,,Таласская область,,0.0
2015,,,Таласская область,,0.0
2016,,,Таласская область,,0.0
2017,,,Таласская область,,0.0
2018,,,Таласская область,,0.0
2019,,,Таласская область,,0.0
2020,,,Таласская область,,0.0
2021,,,Таласская область,,9.0
2007,,,Таласская область,Мужчины,1.0
2008,,,Таласская область,Мужчины,0.0
2009,,,Таласская область,Мужчины,0.0
2010,,,Таласская область,Мужчины,3.0
2011,,,Таласская область,Мужчины,4.0
2012,,,Таласская область,Мужчины,0.0
2013,,,Таласская область,Мужчины,4.0
2014,,,Таласская область,Мужчины,0.0
2015,,,Таласская область,Мужчины,0.0
2016,,,Таласская область,Мужчины,0.0
2017,,,Таласская область,Мужчины,0.0
2018,,,Таласская область,Мужчины,0.0
2019,,,Таласская область,Мужчины,0.0
2020,,,Таласская область,Мужчины,0.0
2021,,,Таласская область,Мужчины,7.0
2007,,,Таласская область,Женщины,0.0
2008,,,Таласская область,Женщины,0.0
2009,,,Таласская область,Женщины,0.0
2010,,,Таласская область,Женщины,1.0
2011,,,Таласская область,Женщины,2.0
2012,,,Таласская область,Женщины,0.0
2013,,,Таласская область,Женщины,1.0
2014,,,Таласская область,Женщины,0.0
2015,,,Таласская область,Женщины,0.0
2016,,,Таласская область,Женщины,0.0
2017,,,Таласская область,Женщины,0.0
2018,,,Таласская область,Женщины,0.0
2019,,,Таласская область,Женщины,0.0
2020,,,Таласская область,Женщины,0.0
2021,,,Таласская область,Женщины,2.0
2007,,,Чуйская область,,35.0
2008,,,Чуйская область,,102.0
2009,,,Чуйская область,,19.0
2010,,,Чуйская область,,46.0
2011,,,Чуйская область,,41.0
2012,,,Чуйская область,,23.0
2013,,,Чуйская область,,22.0
2014,,,Чуйская область,,13.0
2015,,,Чуйская область,,15.0
2016,,,Чуйская область,,14.0
2017,,,Чуйская область,,55.0
2018,,,Чуйская область,,10.0
2019,,,Чуйская область,,6.0
2020,,,Чуйская область,,24.0
2021,,,Чуйская область,,20.0
2007,,,Чуйская область,Мужчины,28.0
2008,,,Чуйская область,Мужчины,76.0
2009,,,Чуйская область,Мужчины,12.0
2010,,,Чуйская область,Мужчины,32.0
2011,,,Чуйская область,Мужчины,30.0
2012,,,Чуйская область,Мужчины,15.0
2013,,,Чуйская область,Мужчины,12.0
2014,,,Чуйская область,Мужчины,7.0
2015,,,Чуйская область,Мужчины,8.0
2016,,,Чуйская область,Мужчины,11.0
2017,,,Чуйская область,Мужчины,31.0
2018,,,Чуйская область,Мужчины,7.0
2019,,,Чуйская область,Мужчины,2.0
2020,,,Чуйская область,Мужчины,10.0
2021,,,Чуйская область,Мужчины,9.0
2007,,,Чуйская область,Женщины,7.0
2008,,,Чуйская область,Женщины,26.0
2009,,,Чуйская область,Женщины,7.0
2010,,,Чуйская область,Женщины,14.0
2011,,,Чуйская область,Женщины,11.0
2012,,,Чуйская область,Женщины,8.0
2013,,,Чуйская область,Женщины,10.0
2014,,,Чуйская область,Женщины,6.0
2015,,,Чуйская область,Женщины,7.0
2016,,,Чуйская область,Женщины,3.0
2017,,,Чуйская область,Женщины,24.0
2018,,,Чуйская область,Женщины,3.0
2019,,,Чуйская область,Женщины,4.0
2020,,,Чуйская область,Женщины,14.0
2021,,,Чуйская область,Женщины,11.0
2007,,,г.Бишкек,,12.0
2008,,,г.Бишкек,,1.0
2009,,,г.Бишкек,,0.0
2010,,,г.Бишкек,,14.0
2011,,,г.Бишкек,,19.0
2012,,,г.Бишкек,,3.0
2013,,,г.Бишкек,,0.0
2014,,,г.Бишкек,,2.0
2015,,,г.Бишкек,,0.0
2016,,,г.Бишкек,,7.0
2017,,,г.Бишкек,,0.0
2018,,,г.Бишкек,,0.0
2019,,,г.Бишкек,,0.0
2020,,,г.Бишкек,,0.0
2021,,,г.Бишкек,,0.0
2007,,,г.Бишкек,Мужчины,9.0
2008,,,г.Бишкек,Мужчины,1.0
2009,,,г.Бишкек,Мужчины,0.0
2010,,,г.Бишкек,Мужчины,9.0
2011,,,г.Бишкек,Мужчины,11.0
2012,,,г.Бишкек,Мужчины,2.0
2013,,,г.Бишкек,Мужчины,0.0
2014,,,г.Бишкек,Мужчины,0.0
2015,,,г.Бишкек,Мужчины,0.0
2016,,,г.Бишкек,Мужчины,7.0
2017,,,г.Бишкек,Мужчины,0.0
2018,,,г.Бишкек,Мужчины,0.0
2019,,,г.Бишкек,Мужчины,0.0
2020,,,г.Бишкек,Мужчины,0.0
2021,,,г.Бишкек,Мужчины,0.0
2007,,,г.Бишкек,Женщины,3.0
2008,,,г.Бишкек,Женщины,0.0
2009,,,г.Бишкек,Женщины,0.0
2010,,,г.Бишкек,Женщины,5.0
2011,,,г.Бишкек,Женщины,8.0
2012,,,г.Бишкек,Женщины,1.0
2013,,,г.Бишкек,Женщины,0.0
2014,,,г.Бишкек,Женщины,2.0
2015,,,г.Бишкек,Женщины,0.0
2016,,,г.Бишкек,Женщины,0.0
2017,,,г.Бишкек,Женщины,0.0
2018,,,г.Бишкек,Женщины,0.0
2019,,,г.Бишкек,Женщины,0.0
2020,,,г.Бишкек,Женщины,0.0
2021,,,г.Бишкек,Женщины,0.0
2007,,,г.Ош,,7.0
2008,,,г.Ош,,0.0
2009,,,г.Ош,,0.0
2010,,,г.Ош,,6.0
2011,,,г.Ош,,4.0
2012,,,г.Ош,,0.0
2013,,,г.Ош,,0.0
2014,,,г.Ош,,0.0
2015,,,г.Ош,,1.0
2016,,,г.Ош,,0.0
2017,,,г.Ош,,0.0
2018,,,г.Ош,,1.0
2019,,,г.Ош,,0.0
2020,,,г.Ош,,0.0
2021,,,г.Ош,,0.0
2007,,,г.Ош,Мужчины,5.0
2008,,,г.Ош,Мужчины,0.0
2009,,,г.Ош,Мужчины,0.0
2010,,,г.Ош,Мужчины,4.0
2011,,,г.Ош,Мужчины,2.0
2012,,,г.Ош,Мужчины,0.0
2013,,,г.Ош,Мужчины,0.0
2014,,,г.Ош,Мужчины,0.0
2015,,,г.Ош,Мужчины,1.0
2016,,,г.Ош,Мужчины,0.0
2017,,,г.Ош,Мужчины,0.0
2018,,,г.Ош,Мужчины,1.0
2019,,,г.Ош,Мужчины,0.0
2020,,,г.Ош,Мужчины,0.0
2021,,,г.Ош,Мужчины,0.0
2007,,,г.Ош,Женщины,2.0
2008,,,г.Ош,Женщины,0.0
2009,,,г.Ош,Женщины,0.0
2010,,,г.Ош,Женщины,2.0
2011,,,г.Ош,Женщины,2.0
2012,,,г.Ош,Женщины,0.0
2013,,,г.Ош,Женщины,0.0
2014,,,г.Ош,Женщины,0.0
2015,,,г.Ош,Женщины,0.0
2016,,,г.Ош,Женщины,0.0
