Year,SERIES,Территория,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,GeoCode,Value
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Джалал-Абадская область,до 18 лет,,,,,KG03,13.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Иссык-Кульская область,до 18 лет,,,,,KG02,11.5
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Нарынская область,до 18 лет,,,,,KG04,18.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Ошская область,до 18 лет,,,,,KG06,18.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Таласская область,до 18 лет,,,,,KG07,16.5
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Чуйская область,до 18 лет,,,,,KG08,11.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",г. Бишкек,до 18 лет,,,,,KG11,5.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",г. Ош,до 18 лет,,,,,KG21,13.2
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,,Первый этап среднего образования,,,30.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,,Второй этап среднего образования,,,21.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,,Послесреднее нетретичное образование,,,6.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,,Короткий цикл третичного образования,,,2.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,,,Лица без инвалидности,,12.7
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,Квинтиль 1 (беднейшие),,,,11.8
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,Квинтиль 2,,,,19.7
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,Квинтиль 3,,,,14.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,Квинтиль 4,,,,12.5
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,до 18 лет,,Квинтиль 5 (богатейшие),,,,6.4
