Year,Территория,Тип местности,GeoCode,Value
2021,Баткенская область,Сельская,KG05,23.3
2022,Баткенская область,Сельская,KG05,21.9
2013,Джалал-Абадская область,,KG03,15.2
2014,Джалал-Абадская область,,KG03,15.5
2015,Джалал-Абадская область,,KG03,16.1
2016,Джалал-Абадская область,,KG03,18.7
2017,Джалал-Абадская область,,KG03,20.2
2018,Джалал-Абадская область,,KG03,21.8
2019,Джалал-Абадская область,,KG03,23.0
2020,Джалал-Абадская область,,KG03,22.0
2021,Джалал-Абадская область,,KG03,23.2
2022,Джалал-Абадская область,,KG03,21.9
2013,Джалал-Абадская область,Городская,KG03,27.4
2014,Джалал-Абадская область,Городская,KG03,28.5
2015,Джалал-Абадская область,Городская,KG03,28.4
2016,Джалал-Абадская область,Городская,KG03,30.6
2017,Джалал-Абадская область,Городская,KG03,32.8
2018,Джалал-Абадская область,Городская,KG03,35.0
2019,Джалал-Абадская область,Городская,KG03,37.8
2020,Джалал-Абадская область,Городская,KG03,33.8
2021,Джалал-Абадская область,Городская,KG03,34.9
2022,Джалал-Абадская область,Городская,KG03,35.3
2013,Джалал-Абадская область,Сельская,KG03,10.3
2014,Джалал-Абадская область,Сельская,KG03,11.8
2015,Джалал-Абадская область,Сельская,KG03,12.6
2016,Джалал-Абадская область,Сельская,KG03,15.1
2017,Джалал-Абадская область,Сельская,KG03,16.5
2018,Джалал-Абадская область,Сельская,KG03,18.0
2019,Джалал-Абадская область,Сельская,KG03,18.9
2020,Джалал-Абадская область,Сельская,KG03,18.8
2021,Джалал-Абадская область,Сельская,KG03,19.2
2022,Джалал-Абадская область,Сельская,KG03,17.6
2013,Иссык-Кульская область,,KG02,17.4
2014,Иссык-Кульская область,,KG02,18.8
2015,Иссык-Кульская область,,KG02,20.9
2016,Иссык-Кульская область,,KG02,24.1
2017,Иссык-Кульская область,,KG02,25.8
2018,Иссык-Кульская область,,KG02,27.2
2019,Иссык-Кульская область,,KG02,28.8
2020,Иссык-Кульская область,,KG02,28.0
2021,Иссык-Кульская область,,KG02,29.6
2022,Иссык-Кульская область,,KG02,28.0
2013,Иссык-Кульская область,Городская,KG02,34.2
2014,Иссык-Кульская область,Городская,KG02,33.3
2015,Иссык-Кульская область,Городская,KG02,34.6
2016,Иссык-Кульская область,Городская,KG02,38.8
2017,Иссык-Кульская область,Городская,KG02,41.1
2018,Иссык-Кульская область,Городская,KG02,38.9
2019,Иссык-Кульская область,Городская,KG02,39.0
2020,Иссык-Кульская область,Городская,KG02,38.7
2021,Иссык-Кульская область,Городская,KG02,34.4
2022,Иссык-Кульская область,Городская,KG02,44.9
2013,Иссык-Кульская область,Сельская,KG02,9.4
2014,Иссык-Кульская область,Сельская,KG02,11.1
2015,Иссык-Кульская область,Сельская,KG02,12.8
2016,Иссык-Кульская область,Сельская,KG02,15.8
2017,Иссык-Кульская область,Сельская,KG02,17.7
2018,Иссык-Кульская область,Сельская,KG02,18.9
2019,Иссык-Кульская область,Сельская,KG02,22.9
2020,Иссык-Кульская область,Сельская,KG02,22.0
2021,Иссык-Кульская область,Сельская,KG02,26.7
2022,Иссык-Кульская область,Сельская,KG02,21.5
2013,Нарынская область,,KG04,19.6
2014,Нарынская область,,KG04,25.7
2015,Нарынская область,,KG04,22.3
2016,Нарынская область,,KG04,26.6
2017,Нарынская область,,KG04,31.6
2018,Нарынская область,,KG04,34.2
2019,Нарынская область,,KG04,35.6
2020,Нарынская область,,KG04,35.1
2021,Нарынская область,,KG04,37.1
2022,Нарынская область,,KG04,36.2
2013,Нарынская область,Городская,KG04,32.6
2014,Нарынская область,Городская,KG04,36.8
2015,Нарынская область,Городская,KG04,17.2
2016,Нарынская область,Городская,KG04,39.7
2017,Нарынская область,Городская,KG04,44.8
2018,Нарынская область,Городская,KG04,50.9
2019,Нарынская область,Городская,KG04,51.0
2020,Нарынская область,Городская,KG04,45.1
2021,Нарынская область,Городская,KG04,51.1
2022,Нарынская область,Городская,KG04,53.1
2013,Нарынская область,Сельская,KG04,17.5
2014,Нарынская область,Сельская,KG04,23.7
2015,Нарынская область,Сельская,KG04,9.8
2016,Нарынская область,Сельская,KG04,24.3
2017,Нарынская область,Сельская,KG04,29.2
2018,Нарынская область,Сельская,KG04,31.1
2019,Нарынская область,Сельская,KG04,32.9
2020,Нарынская область,Сельская,KG04,33.3
2021,Нарынская область,Сельская,KG04,34.7
2022,Нарынская область,Сельская,KG04,33.4
2013,Ошская область,,KG06,11.6
2014,Ошская область,,KG06,13.1
2015,Ошская область,,KG06,14.3
2016,Ошская область,,KG06,16.3
2017,Ошская область,,KG06,17.2
2018,Ошская область,,KG06,18.2
2019,Ошская область,,KG06,19.7
2020,Ошская область,,KG06,19.4
2021,Ошская область,,KG06,19.5
2022,Ошская область,,KG06,20.2
2013,Ошская область,Городская,KG06,15.0
2014,Ошская область,Городская,KG06,16.4
2015,Ошская область,Городская,KG06,15.2
2016,Ошская область,Городская,KG06,18.1
2017,Ошская область,Городская,KG06,17.7
2018,Ошская область,Городская,KG06,15.6
2019,Ошская область,Городская,KG06,17.0
2020,Ошская область,Городская,KG06,13.0
2021,Ошская область,Городская,KG06,10.8
2022,Ошская область,Городская,KG06,15.4
2013,Ошская область,Сельская,KG06,11.4
2014,Ошская область,Сельская,KG06,12.9
2015,Ошская область,Сельская,KG06,14.2
2016,Ошская область,Сельская,KG06,16.2
2017,Ошская область,Сельская,KG06,17.2
2018,Ошская область,Сельская,KG06,18.4
2019,Ошская область,Сельская,KG06,19.9
2020,Ошская область,Сельская,KG06,19.9
2021,Ошская область,Сельская,KG06,20.2
2022,Ошская область,Сельская,KG06,20.5
2013,Таласская область,,KG07,14.4
2014,Таласская область,,KG07,17.0
2015,Таласская область,,KG07,20.6
2016,Таласская область,,KG07,20.8
2017,Таласская область,,KG07,22.2
2018,Таласская область,,KG07,24.4
2019,Таласская область,,KG07,26.4
2020,Таласская область,,KG07,26.2
2021,Таласская область,,KG07,28.5
2022,Таласская область,,KG07,27.1
2013,Таласская область,Городская,KG07,49.4
2014,Таласская область,Городская,KG07,58.4
2015,Таласская область,Городская,KG07,66.1
2016,Таласская область,Городская,KG07,65.6
2017,Таласская область,Городская,KG07,67.1
2018,Таласская область,Городская,KG07,65.9
2019,Таласская область,Городская,KG07,65.3
2020,Таласская область,Городская,KG07,52.8
2021,Таласская область,Городская,KG07,56.8
2022,Таласская область,Городская,KG07,36.1
2013,Таласская область,Сельская,KG07,10.3
2014,Таласская область,Сельская,KG07,12.3
2015,Таласская область,Сельская,KG07,15.8
2016,Таласская область,Сельская,KG07,16.0
2017,Таласская область,Сельская,KG07,17.3
2018,Таласская область,Сельская,KG07,19.3
2019,Таласская область,Сельская,KG07,21.4
2020,Таласская область,Сельская,KG07,22.5
2021,Таласская область,Сельская,KG07,24.4
2022,Таласская область,Сельская,KG07,25.2
2013,Чуйская область,,KG08,12.5
2014,Чуйская область,,KG08,16.0
2015,Чуйская область,,KG08,16.5
2016,Чуйская область,,KG08,18.5
2017,Чуйская область,,KG08,19.3
2018,Чуйская область,,KG08,21.1
2019,Чуйская область,,KG08,21.8
2020,Чуйская область,,KG08,20.1
2021,Чуйская область,,KG08,21.7
2022,Чуйская область,,KG08,24.2
2013,Чуйская область,Городская,KG08,24.3
2014,Чуйская область,Городская,KG08,27.6
2015,Чуйская область,Городская,KG08,26.3
2016,Чуйская область,Городская,KG08,30.0
2017,Чуйская область,Городская,KG08,32.3
2018,Чуйская область,Городская,KG08,33.5
2019,Чуйская область,Городская,KG08,35.2
2020,Чуйская область,Городская,KG08,33.6
2021,Чуйская область,Городская,KG08,35.1
2022,Чуйская область,Городская,KG08,46.5
2013,Чуйская область,Сельская,KG08,9.3
2014,Чуйская область,Сельская,KG08,12.6
2015,Чуйская область,Сельская,KG08,13.3
2016,Чуйская область,Сельская,KG08,14.9
2017,Чуйская область,Сельская,KG08,15.5
2018,Чуйская область,Сельская,KG08,17.7
2019,Чуйская область,Сельская,KG08,18.4
2020,Чуйская область,Сельская,KG08,16.9
2021,Чуйская область,Сельская,KG08,18.6
2022,Чуйская область,Сельская,KG08,20.3
2013,г. Бишкек,Городская,KG11,31.0
2014,г. Бишкек,Городская,KG11,29.4
2015,г. Бишкек,Городская,KG11,27.9
2016,г. Бишкек,Городская,KG11,28.0
2017,г. Бишкек,Городская,KG11,29.6
2018,г. Бишкек,Городская,KG11,29.5
2019,г. Бишкек,Городская,KG11,28.2
2020,г. Бишкек,Городская,KG11,23.5
2021,г. Бишкек,Городская,KG11,22.2
2022,г. Бишкек,Городская,KG11,40.5
2013,г. Ош,Городская,KG21,41.9
2014,г. Ош,Городская,KG21,49.7
2015,г. Ош,Городская,KG21,48.2
2016,г. Ош,Городская,KG21,49.4
2017,г. Ош,Городская,KG21,47.9
2018,г. Ош,Городская,KG21,48.8
2019,г. Ош,Городская,KG21,43.3
2020,г. Ош,Городская,KG21,30.7
2021,г. Ош,Городская,KG21,29.0
2022,г. Ош,Городская,KG21,44.5
