Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2022,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,12
2023,"Number of victims of intentional homicide per 100,000 population",,Female,,"Per 100,000 population",,6
2014,Number of victims of intentional homicide,,Male,,Number,,225
2015,Number of victims of intentional homicide,,Male,,Number,,226
2016,Number of victims of intentional homicide,,Male,,Number,,202
2017,Number of victims of intentional homicide,,Male,,Number,,194
2018,Number of victims of intentional homicide,,Male,,Number,,162
2019,Number of victims of intentional homicide,,Male,,Number,,131
2020,Number of victims of intentional homicide,,Male,,Number,,135
2021,Number of victims of intentional homicide,,Male,,Number,,144
2022,Number of victims of intentional homicide,,Male,,Number,,148
2023,Number of victims of intentional homicide,,Male,,Number,,85
2014,Number of victims of intentional homicide,,Female,,Number,,95
2015,Number of victims of intentional homicide,,Female,,Number,,79
2016,Number of victims of intentional homicide,,Female,,Number,,65
2017,Number of victims of intentional homicide,,Female,,Number,,62
2018,Number of victims of intentional homicide,,Female,,Number,,41
2019,Number of victims of intentional homicide,,Female,,Number,,43
2020,Number of victims of intentional homicide,,Female,,Number,,37
2021,Number of victims of intentional homicide,,Female,,Number,,38
2022,Number of victims of intentional homicide,,Female,,Number,,43
2023,Number of victims of intentional homicide,,Female,,Number,,21
2014,Number of victims of intentional homicide,Batken,,,Number,KG05,12
2015,Number of victims of intentional homicide,Batken,,,Number,KG05,13
2016,Number of victims of intentional homicide,Batken,,,Number,KG05,11
2017,Number of victims of intentional homicide,Batken,,,Number,KG05,6
2018,Number of victims of intentional homicide,Batken,,,Number,KG05,13
2019,Number of victims of intentional homicide,Batken,,,Number,KG05,21
2020,Number of victims of intentional homicide,Batken,,,Number,KG05,19
2021,Number of victims of intentional homicide,Batken,,,Number,KG05,14
2022,Number of victims of intentional homicide,Batken,,,Number,KG05,8
2023,Number of victims of intentional homicide,Batken,,,Number,KG05,7
2014,Number of victims of intentional homicide,Batken,Male,,Number,KG05,12
2015,Number of victims of intentional homicide,Batken,Male,,Number,KG05,11
2016,Number of victims of intentional homicide,Batken,Male,,Number,KG05,9
2017,Number of victims of intentional homicide,Batken,Male,,Number,KG05,4
2018,Number of victims of intentional homicide,Batken,Male,,Number,KG05,10
2019,Number of victims of intentional homicide,Batken,Male,,Number,KG05,18
2020,Number of victims of intentional homicide,Batken,Male,,Number,KG05,16
2021,Number of victims of intentional homicide,Batken,Male,,Number,KG05,12
2022,Number of victims of intentional homicide,Batken,Male,,Number,KG05,5
2015,Number of victims of intentional homicide,Batken,Female,,Number,KG05,2
2016,Number of victims of intentional homicide,Batken,Female,,Number,KG05,2
2017,Number of victims of intentional homicide,Batken,Female,,Number,KG05,2
2018,Number of victims of intentional homicide,Batken,Female,,Number,KG05,3
2019,Number of victims of intentional homicide,Batken,Female,,Number,KG05,3
2020,Number of victims of intentional homicide,Batken,Female,,Number,KG05,3
2021,Number of victims of intentional homicide,Batken,Female,,Number,KG05,2
2022,Number of victims of intentional homicide,Batken,Female,,Number,KG05,3
2014,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,39
2015,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,43
2016,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,30
2017,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,20
2018,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,19
2019,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,21
2020,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,31
2021,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,16
2022,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,18
2023,Number of victims of intentional homicide,Jalal-Abad,,,Number,KG03,11
2014,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,29
2015,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,31
2016,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,22
2017,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,12
2018,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,17
2019,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,16
2020,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,23
2021,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,13
2022,Number of victims of intentional homicide,Jalal-Abad,Male,,Number,KG03,13
2014,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,10
2015,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,12
2016,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,8
2017,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,8
2018,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,2
2019,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,5
2020,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,8
2021,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,3
2022,Number of victims of intentional homicide,Jalal-Abad,Female,,Number,KG03,5
2014,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,31
2015,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,28
2016,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,27
2017,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,23
2018,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,15
2019,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,18
2020,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,12
2021,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,11
2022,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,14
2023,Number of victims of intentional homicide,Issyk-Kul,,,Number,KG02,10
2014,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,17
2015,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,19
2016,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,20
2017,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,17
2018,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,14
2019,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,15
2020,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,9
2021,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,8
2022,Number of victims of intentional homicide,Issyk-Kul,Male,,Number,KG02,10
2014,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,14
2015,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,9
2016,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,7
2017,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,6
2018,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,1
2019,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,3
2020,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,3
2021,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,3
2022,Number of victims of intentional homicide,Issyk-Kul,Female,,Number,KG02,4
2014,Number of victims of intentional homicide,Naryn,,,Number,KG04,14
2015,Number of victims of intentional homicide,Naryn,,,Number,KG04,11
2016,Number of victims of intentional homicide,Naryn,,,Number,KG04,6
2017,Number of victims of intentional homicide,Naryn,,,Number,KG04,6
2018,Number of victims of intentional homicide,Naryn,,,Number,KG04,5
2019,Number of victims of intentional homicide,Naryn,,,Number,KG04,5
2020,Number of victims of intentional homicide,Naryn,,,Number,KG04,7
2021,Number of victims of intentional homicide,Naryn,,,Number,KG04,7
2022,Number of victims of intentional homicide,Naryn,,,Number,KG04,10
2023,Number of victims of intentional homicide,Naryn,,,Number,KG04,2
2014,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,14
2015,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,7
2016,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,4
2017,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,4
2018,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,3
2019,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,4
2020,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,4
2021,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,4
2022,Number of victims of intentional homicide,Naryn,Male,,Number,KG04,8
2015,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,4
2016,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,2
2017,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,2
2018,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,2
2019,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,1
2020,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,3
2021,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,3
2022,Number of victims of intentional homicide,Naryn,Female,,Number,KG04,2
2014,Number of victims of intentional homicide,Osh,,,Number,KG06,16
2015,Number of victims of intentional homicide,Osh,,,Number,KG06,24
2016,Number of victims of intentional homicide,Osh,,,Number,KG06,22
2017,Number of victims of intentional homicide,Osh,,,Number,KG06,12
2018,Number of victims of intentional homicide,Osh,,,Number,KG06,14
2019,Number of victims of intentional homicide,Osh,,,Number,KG06,15
2020,Number of victims of intentional homicide,Osh,,,Number,KG06,11
2021,Number of victims of intentional homicide,Osh,,,Number,KG06,24
2022,Number of victims of intentional homicide,Osh,,,Number,KG06,19
2023,Number of victims of intentional homicide,Osh,,,Number,KG06,9
2014,Number of victims of intentional homicide,Osh,Male,,Number,KG06,13
2015,Number of victims of intentional homicide,Osh,Male,,Number,KG06,21
2016,Number of victims of intentional homicide,Osh,Male,,Number,KG06,16
2017,Number of victims of intentional homicide,Osh,Male,,Number,KG06,9
2018,Number of victims of intentional homicide,Osh,Male,,Number,KG06,11
2019,Number of victims of intentional homicide,Osh,Male,,Number,KG06,10
2020,Number of victims of intentional homicide,Osh,Male,,Number,KG06,7
2021,Number of victims of intentional homicide,Osh,Male,,Number,KG06,20
2022,Number of victims of intentional homicide,Osh,Male,,Number,KG06,16
2014,Number of victims of intentional homicide,Osh,Female,,Number,KG06,3
2015,Number of victims of intentional homicide,Osh,Female,,Number,KG06,3
2016,Number of victims of intentional homicide,Osh,Female,,Number,KG06,6
2017,Number of victims of intentional homicide,Osh,Female,,Number,KG06,3
2018,Number of victims of intentional homicide,Osh,Female,,Number,KG06,3
2019,Number of victims of intentional homicide,Osh,Female,,Number,KG06,5
2020,Number of victims of intentional homicide,Osh,Female,,Number,KG06,4
2021,Number of victims of intentional homicide,Osh,Female,,Number,KG06,4
2022,Number of victims of intentional homicide,Osh,Female,,Number,KG06,3
2014,Number of victims of intentional homicide,Talas,,,Number,KG07,11
2015,Number of victims of intentional homicide,Talas,,,Number,KG07,4
2016,Number of victims of intentional homicide,Talas,,,Number,KG07,8
2017,Number of victims of intentional homicide,Talas,,,Number,KG07,11
2018,Number of victims of intentional homicide,Talas,,,Number,KG07,8
2019,Number of victims of intentional homicide,Talas,,,Number,KG07,3
2020,Number of victims of intentional homicide,Talas,,,Number,KG07,5
2021,Number of victims of intentional homicide,Talas,,,Number,KG07,3
2022,Number of victims of intentional homicide,Talas,,,Number,KG07,6
2023,Number of victims of intentional homicide,Talas,,,Number,KG07,4
2014,Number of victims of intentional homicide,Talas,Male,,Number,KG07,6
2015,Number of victims of intentional homicide,Talas,Male,,Number,KG07,4
2016,Number of victims of intentional homicide,Talas,Male,,Number,KG07,7
2017,Number of victims of intentional homicide,Talas,Male,,Number,KG07,9
2018,Number of victims of intentional homicide,Talas,Male,,Number,KG07,7
2020,Number of victims of intentional homicide,Talas,Male,,Number,KG07,5
2021,Number of victims of intentional homicide,Talas,Male,,Number,KG07,2
2022,Number of victims of intentional homicide,Talas,Male,,Number,KG07,5
2014,Number of victims of intentional homicide,Talas,Female,,Number,KG07,5
2016,Number of victims of intentional homicide,Talas,Female,,Number,KG07,1
2017,Number of victims of intentional homicide,Talas,Female,,Number,KG07,2
2018,Number of victims of intentional homicide,Talas,Female,,Number,KG07,1
2019,Number of victims of intentional homicide,Talas,Female,,Number,KG07,3
2021,Number of victims of intentional homicide,Talas,Female,,Number,KG07,1
2022,Number of victims of intentional homicide,Talas,Female,,Number,KG07,1
2014,Number of victims of intentional homicide,Chui,,,Number,KG08,101
2015,Number of victims of intentional homicide,Chui,,,Number,KG08,103
2016,Number of victims of intentional homicide,Chui,,,Number,KG08,95
2017,Number of victims of intentional homicide,Chui,,,Number,KG08,89
2018,Number of victims of intentional homicide,Chui,,,Number,KG08,72
2019,Number of victims of intentional homicide,Chui,,,Number,KG08,49
2020,Number of victims of intentional homicide,Chui,,,Number,KG08,52
2021,Number of victims of intentional homicide,Chui,,,Number,KG08,60
2022,Number of victims of intentional homicide,Chui,,,Number,KG08,62
2023,Number of victims of intentional homicide,Chui,,,Number,KG08,35
2014,Number of victims of intentional homicide,Chui,Male,,Number,KG08,68
2015,Number of victims of intentional homicide,Chui,Male,,Number,KG08,82
2016,Number of victims of intentional homicide,Chui,Male,,Number,KG08,71
2017,Number of victims of intentional homicide,Chui,Male,,Number,KG08,78
2018,Number of victims of intentional homicide,Chui,Male,,Number,KG08,57
2019,Number of victims of intentional homicide,Chui,Male,,Number,KG08,32
2020,Number of victims of intentional homicide,Chui,Male,,Number,KG08,43
2021,Number of victims of intentional homicide,Chui,Male,,Number,KG08,50
2022,Number of victims of intentional homicide,Chui,Male,,Number,KG08,51
2014,Number of victims of intentional homicide,Chui,Female,,Number,KG08,33
2015,Number of victims of intentional homicide,Chui,Female,,Number,KG08,21
2016,Number of victims of intentional homicide,Chui,Female,,Number,KG08,24
2017,Number of victims of intentional homicide,Chui,Female,,Number,KG08,11
2018,Number of victims of intentional homicide,Chui,Female,,Number,KG08,15
2019,Number of victims of intentional homicide,Chui,Female,,Number,KG08,17
2020,Number of victims of intentional homicide,Chui,Female,,Number,KG08,9
2021,Number of victims of intentional homicide,Chui,Female,,Number,KG08,10
2022,Number of victims of intentional homicide,Chui,Female,,Number,KG08,11
2014,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,76
2015,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,67
2016,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,55
2017,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,69
2018,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,44
2019,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,32
2020,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,30
2021,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,40
2022,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,48
2023,Number of victims of intentional homicide,Bishkek (city),,,Number,KG11,19
2014,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,52
2015,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,43
2016,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,43
2017,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,45
2018,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,33
2019,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,28
2020,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,24
2021,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,30
2022,Number of victims of intentional homicide,Bishkek (city),Male,,Number,KG11,36
2014,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,24
2015,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,24
2016,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,12
2017,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,24
2018,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,11
2019,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,4
2020,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,6
2021,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,10
2022,Number of victims of intentional homicide,Bishkek (city),Female,,Number,KG11,12
2014,Number of victims of intentional homicide,Osh (city),,,Number,KG21,20
2015,Number of victims of intentional homicide,Osh (city),,,Number,KG21,12
2016,Number of victims of intentional homicide,Osh (city),,,Number,KG21,12
2017,Number of victims of intentional homicide,Osh (city),,,Number,KG21,20
2018,Number of victims of intentional homicide,Osh (city),,,Number,KG21,12
2019,Number of victims of intentional homicide,Osh (city),,,Number,KG21,10
2020,Number of victims of intentional homicide,Osh (city),,,Number,KG21,5
2021,Number of victims of intentional homicide,Osh (city),,,Number,KG21,6
2022,Number of victims of intentional homicide,Osh (city),,,Number,KG21,6
2023,Number of victims of intentional homicide,Osh (city),,,Number,KG21,9
2014,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,14
2015,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,8
2016,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,9
2017,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,16
2018,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,9
2019,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,8
2020,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,4
2021,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,4
2022,Number of victims of intentional homicide,Osh (city),Male,,Number,KG21,4
2014,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,6
2015,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,4
2016,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,3
2017,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,4
2018,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,3
2019,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,2
2020,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,1
2021,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,2
2022,Number of victims of intentional homicide,Osh (city),Female,,Number,KG21,2
2022,Number of victims of intentional homicide,,,under 17 years old,Number,,4
2023,Number of victims of intentional homicide,,,under 17 years old,Number,,7
2022,Number of victims of intentional homicide,,,18 to 29 years old,Number,,34
2023,Number of victims of intentional homicide,,,18 to 29 years old,Number,,14
2022,Number of victims of intentional homicide,,,30 to 39 years old,Number,,109
2023,Number of victims of intentional homicide,,,30 to 39 years old,Number,,65
2022,Number of victims of intentional homicide,,,70 years old and over,Number,,7
2023,Number of victims of intentional homicide,,,70 years old and over,Number,,2
