Year,SDG Series,Reference area,Age,Value
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,31.307684
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,26.755677
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,29.473684
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,23.062382
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,37.077865
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,34.445603
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,32.450331
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,27.505407
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,20.346733
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,18.726592
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,19.815314
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,40.599511
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,43.986528
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,49.775699
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,49.038739
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,46.766805
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,25.552099
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,23.537218
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,48.794449
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,61.884874
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,51.555883
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,39.738875
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,32.170099
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,41.943974
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,33.438662
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,31.488782
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,34.041943
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,31.154508
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,35.764419
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,30.102889
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,24.77942
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,27.234744
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,67.903553
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,53.621316
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,54.34825
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,99.421992
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,61.361069
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,47.939623
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,42.607395
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,38.720578
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,48.088624
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,41.182821
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,31.186184
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,32.093396
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,38.133333
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,34.332724
