Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,GeoCode,Показатель,Местность,Территория,Возраст,Образование матери,Функциональные трудности у ребенка,Функциональные трудности у матери,Квинтиль индекса благосостояния,Value
2023,_L_KG_040101_12,KG04,,,,,,,,KG04,,,,,,,,,50.9
2018,_L_KG_040101_12,KG06,,,,,,,,KG06,,,,,,,,,49.2
2023,_L_KG_040101_12,KG06,,,,,,,,KG06,,,,,,,,,51.2
2018,_L_KG_040101_12,KG07,,,,,,,,KG07,,,,,,,,,49.3
2023,_L_KG_040101_12,KG07,,,,,,,,KG07,,,,,,,,,65.3
2018,_L_KG_040101_12,KG08,,,,,,,,KG08,,,,,,,,,46.0
2023,_L_KG_040101_12,KG08,,,,,,,,KG08,,,,,,,,,37.8
2018,_L_KG_040101_12,KG11,,,,,,,,KG11,,,,,,,,,64.5
2023,_L_KG_040101_12,KG11,,,,,,,,KG11,,,,,,,,,73.8
2018,_L_KG_040101_12,KG21,,,,,,,,KG21,,,,,,,,,54.2
2023,_L_KG_040101_12,KG21,,,,,,,,KG21,,,,,,,,,51.5
2018,_L_KG_040101_12,,,,,,,_L_ATT_GRADE_2_3,,,,,,,,,,,41.8
2023,_L_KG_040101_12,,,,,,,_L_ATT_GRADE_2_3,,,,,,,,,,,41.9
2018,_L_KG_040101_12,,,Y8,,,,,,,,,,,,,,,32.6
2023,_L_KG_040101_12,,,Y8,,,,,,,,,,,,,,,34.1
2018,_L_KG_040101_12,,,Y9,,,,,,,,,,,,,,,52.0
2023,_L_KG_040101_12,,,Y9,,,,,,,,,,,,,,,49.4
2018,_L_KG_040101_12,,,,,,,_L_ATT_GRADE_4,,,,,,,,,,,54.9
2023,_L_KG_040101_12,,,,,,,_L_ATT_GRADE_4,,,,,,,,,,,58.0
2018,_L_KG_040101_12,,,,,,,_L_ATT_GRADE_9,,,,,,,,,,,67.8
2023,_L_KG_040101_12,,,,,,,_L_ATT_GRADE_9,,,,,,,,,,,80.1
2018,_L_KG_040101_12,,,,,,ISCED11_2,,,,,,,,,,,,40.3
2023,_L_KG_040101_12,,,,,,ISCED11_2,,,,,,,,,,,,42.0
2018,_L_KG_040101_12,,,,,,ISCED11_3,,,,,,,,,,,,51.3
2023,_L_KG_040101_12,,,,,,ISCED11_3,,,,,,,,,,,,55.5
2018,_L_KG_040101_12,,,,,,ISCED11_4,,,,,,,,,,,,49.5
2023,_L_KG_040101_12,,,,,,ISCED11_4,,,,,,,,,,,,62.5
2018,_L_KG_040101_12,,,,,,ISCED11_6_7,,,,,,,,,,,,58.2
2023,_L_KG_040101_12,,,,,,ISCED11_6_7,,,,,,,,,,,,60.1
2018,_L_KG_040101_12,,,,,,,,_L_CHD,,,,,,,,,,39.0
2023,_L_KG_040101_12,,,,,,,,_L_CHD,,,,,,,,,,44.9
2018,_L_KG_040101_12,,,,,,,,_L_CHWD,,,,,,,,,,52.6
2023,_L_KG_040101_12,,,,,,,,_L_CHWD,,,,,,,,,,57.7
2018,_L_KG_040101_12,,,,,,,,_L_MD,,,,,,,,,,47.9
2023,_L_KG_040101_12,,,,,,,,_L_MD,,,,,,,,,,56.5
2018,_L_KG_040101_12,,,,,,,,_L_MWD,,,,,,,,,,52.0
2023,_L_KG_040101_12,,,,,,,,_L_MWD,,,,,,,,,,55.2
2018,_L_KG_040101_12,,,,,,,,_U,,,,,,,,,,49.1
2018,_L_KG_040101_12,,,,,Q1,,,,,,,,,,,,,50.8
2023,_L_KG_040101_12,,,,,Q1,,,,,,,,,,,,,57.1
2018,_L_KG_040101_12,,,,,Q2,,,,,,,,,,,,,42.6
2023,_L_KG_040101_12,,,,,Q2,,,,,,,,,,,,,50.8
2018,_L_KG_040101_12,,,,,Q3,,,,,,,,,,,,,52.1
2023,_L_KG_040101_12,,,,,Q3,,,,,,,,,,,,,54.3
2018,_L_KG_040101_12,,,,,Q4,,,,,,,,,,,,,50.1
2023,_L_KG_040101_12,,,,,Q4,,,,,,,,,,,,,59.2
2018,_L_KG_040101_12,,,,,Q5,,,,,,,,,,,,,64.4
2023,_L_KG_040101_12,,,,,Q5,,,,,,,,,,,,,65.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,,57.9
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,,68.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",Городская,,,,,,,66.7
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",Городская,,,,,,,75.3
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",Сельская,,,,,,,53.8
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",Сельская,,,,,,,65.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Баткенская область,,,,,,66.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Баткенская область,,,,,,81.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Джалал-Абадская область,,,,,,50.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Джалал-Абадская область,,,,,,76.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Иссык-Кульская область,,,,,,65.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Иссык-Кульская область,,,,,,84.4
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Нарынская область,,,,,,39.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Нарынская область,,,,,,58.2
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Ошская область,,,,,,55.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Ошская область,,,,,,56.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Таласская область,,,,,,65.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Таласская область,,,,,,75.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Чуйская область,,,,,,49.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Чуйская область,,,,,,58.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Бишкек,,,,,,74.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Бишкек,,,,,,85.7
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Ош,,,,,,72.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Ош,,,,,,57.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,В возрасте посещения 2-го/3-го класса,,,,,47.4
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,В возрасте посещения 2-го/3-го класса,,,,,53.7
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,8 лет,,,,,43.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,8 лет,,,,,46.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,9 лет,,,,,52.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,9 лет,,,,,60.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 4-й класс,,,,,58.1
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 4-й класс,,,,,67.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 9-й класс,,,,,78.6
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 9-й класс,,,,,89.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Основное общее,,,,51.7
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Основное общее,,,,51.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Среднее общее,,,,55.2
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Среднее общее,,,,66.8
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Профессиональное начальное/среднее,,,,59.6
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Профессиональное начальное/среднее,,,,73.4
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Высшее,,,,64.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,Высшее,,,,72.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Есть,,,42.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Есть,,,70.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Нет,,,59.4
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Нет,,,68.4
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Есть,,43.4
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет,,57.8
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет,,66.8
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет информации,,61.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Беднейший,53.1
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Беднейший,59.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Второй,52.1
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Второй,67.3
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Средний,52.9
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Средний,67.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Четвертый,60.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Четвертый,73.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Богатейший,76.6
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,Богатейший,78.2
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,,51.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,,57.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",Городская,,,,,,,56.4
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",Городская,,,,,,,62.7
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",Сельская,,,,,,,49.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",Сельская,,,,,,,54.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Баткенская область,,,,,,66.7
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Баткенская область,,,,,,73.9
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Джалал-Абадская область,,,,,,42.9
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Джалал-Абадская область,,,,,,61.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Иссык-Кульская область,,,,,,54.5
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Иссык-Кульская область,,,,,,69.6
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Нарынская область,,,,,,41.4
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Нарынская область,,,,,,50.9
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Ошская область,,,,,,49.2
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Ошская область,,,,,,51.2
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Таласская область,,,,,,49.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Таласская область,,,,,,65.3
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Чуйская область,,,,,,46.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Чуйская область,,,,,,37.8
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Бишкек,,,,,,64.5
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Бишкек,,,,,,73.8
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Ош,,,,,,54.2
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,г. Ош,,,,,,51.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,В возрасте посещения 2-го/3-го класса,,,,,41.8
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,В возрасте посещения 2-го/3-го класса,,,,,41.9
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,8 лет,,,,,32.6
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,8 лет,,,,,34.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,9 лет,,,,,52.0
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,9 лет,,,,,49.4
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,Посещающие 4-й класс,,,,,54.9
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,Посещающие 4-й класс,,,,,58.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,Посещающие 9-й класс,,,,,67.8
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,Посещающие 9-й класс,,,,,80.1
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Основное общее,,,,40.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Основное общее,,,,42.0
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Среднее общее,,,,51.3
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Среднее общее,,,,55.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Профессиональное начальное/среднее,,,,49.5
2023,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Профессиональное начальное/среднее,,,,62.5
2018,,,,,,,,,,,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,Высшее,,,,58.2
