Year,SEX,AGE,URBANISATION,ACTIVITY,Value
2015,,,,ISIC4_A,710.1
2016,,,,ISIC4_A,656.5
2017,,,,ISIC4_A,497.7
2018,,,,ISIC4_A,463.0
2019,,,,ISIC4_A,444.5
2007,,,,ISIC4_BTE,106.6
2008,,,,ISIC4_BTE,110.4
2009,,,,ISIC4_BTE,114.7
2010,,,,ISIC4_BTE,114.0
2011,,,,ISIC4_BTE,111.3
2012,,,,ISIC4_BTE,115.3
2013,,,,ISIC4_BTE,102.2
2014,,,,ISIC4_BTE,108.5
2015,,,,ISIC4_BTE,117.7
2016,,,,ISIC4_BTE,117.1
2017,,,,ISIC4_BTE,160.5
2018,,,,ISIC4_BTE,225.0
2019,,,,ISIC4_BTE,237.8
2007,,,,ISIC4_F,172.5
2008,,,,ISIC4_F,180.9
2009,,,,ISIC4_F,204.7
2010,,,,ISIC4_F,197.7
2011,,,,ISIC4_F,204.9
2012,,,,ISIC4_F,222.4
2013,,,,ISIC4_F,210.0
2014,,,,ISIC4_F,209.3
2015,,,,ISIC4_F,222.7
2016,,,,ISIC4_F,250.3
2017,,,,ISIC4_F,221.8
2018,,,,ISIC4_F,217.0
2019,,,,ISIC4_F,261.7
2007,,,,ISIC4_S,480.4
2008,,,,ISIC4_S,501.4
2009,,,,ISIC4_S,533.1
2010,,,,ISIC4_S,557.2
2011,,,,ISIC4_S,568.4
2012,,,,ISIC4_S,553.7
2013,,,,ISIC4_S,585.2
2014,,,,ISIC4_S,586.2
2015,,,,ISIC4_S,635.7
2016,,,,ISIC4_S,659.1
2017,,,,ISIC4_S,731.3
2018,,,,ISIC4_S,781.9
2019,,,,ISIC4_S,810.2
