Year,Sex,Age,Degree of urbanisation,Economic activity,Value
2016,,45 to 49 years old,,,15.102517
2017,,45 to 49 years old,,,15.28059
2018,,45 to 49 years old,,,13.51728
2019,,45 to 49 years old,,,11.1
2020,,45 to 49 years old,,,16.1
2021,,45 to 49 years old,,,26.4
2015,,50 to 54 years old,,,12.36359
2016,,50 to 54 years old,,,11.302524
2017,,50 to 54 years old,,,10.786084
2018,,50 to 54 years old,,,12.477862
2019,,50 to 54 years old,,,8.6
2020,,50 to 54 years old,,,12.3
2021,,50 to 54 years old,,,20.1
2015,,55 to 59 years old,,,11.393416
2016,,55 to 59 years old,,,8.398371
2017,,55 to 59 years old,,,10.344861
2018,,55 to 59 years old,,,9.489257
2019,,55 to 59 years old,,,7.9
2020,,55 to 59 years old,,,8.9
2021,,55 to 59 years old,,,13.0
2015,,60 to 64 years old,,,9.437077
2016,,60 to 64 years old,,,14.236349
2017,,60 to 64 years old,,,14.339166
2018,,60 to 64 years old,,,11.956667
2019,,60 to 64 years old,,,8.8
2020,,60 to 64 years old,,,10.2
2021,,60 to 64 years old,,,14.3
2015,,65 to 69 years old,,,5.348356
2016,,65 to 69 years old,,,7.617625
2017,,65 to 69 years old,,,6.152168
2018,,65 to 69 years old,,,4.775939
2019,,65 to 69 years old,,,4.2
2020,,65 to 69 years old,,,9.4
2021,,65 to 69 years old,,,17.1
2015,,70 years old and over,,,4.324812
2016,,70 years old and over,,,13.929941
2017,,70 years old and over,,,10.576621
2018,,70 years old and over,,,3.717472
2019,,70 years old and over,,,7.3
2020,,70 years old and over,,,5.1
2021,,70 years old and over,,,13.6
2015,,,Urban,,18.096777
2016,,,Urban,,11.846667
2017,,,Urban,,13.174611
2018,,,Urban,,13.0
2019,,,Urban,,9.7
2020,,,Urban,,12.4
2021,,,Urban,,24.8
2015,,,Rural,,25.484816
2016,,,Rural,,21.760369
2017,,,Rural,,20.740757
2018,,,Rural,,16.9
2019,,,Rural,,15.2
2020,,,Rural,,20.1
2021,,,Rural,,24.6
2015,,,,"Agriculture, forestry and fishing",29.143908
2016,,,,"Agriculture, forestry and fishing",24.458297
2017,,,,"Agriculture, forestry and fishing",22.569518
2018,,,,"Agriculture, forestry and fishing",21.91768
2019,,,,"Agriculture, forestry and fishing",14.2
2020,,,,"Agriculture, forestry and fishing",21.1
2021,,,,"Agriculture, forestry and fishing",24.3
2015,,,,Mining and quarrying,25.706733
2016,,,,Mining and quarrying,17.407081
2017,,,,Mining and quarrying,43.485033
2018,,,,Mining and quarrying,46.524661
2019,,,,Mining and quarrying,40.4
2020,,,,Mining and quarrying,40.1
2021,,,,Mining and quarrying,47.1
2015,,,,Manufacturing,20.686606
2016,,,,Manufacturing,16.804167
2017,,,,Manufacturing,19.252255
2018,,,,Manufacturing,12.973926
2019,,,,Manufacturing,14.3
2020,,,,Manufacturing,13.5
2021,,,,Manufacturing,23.6
2015,,,,"Electricity, gas, steam and air conditioning supply",10.380818
2016,,,,"Electricity, gas, steam and air conditioning supply",6.694579
2017,,,,"Electricity, gas, steam and air conditioning supply",16.766198
2018,,,,"Electricity, gas, steam and air conditioning supply",9.870001
2019,,,,"Electricity, gas, steam and air conditioning supply",10.0
2020,,,,"Electricity, gas, steam and air conditioning supply",18.7
2021,,,,"Electricity, gas, steam and air conditioning supply",28.8
2015,,,,"Water supply; sewerage, waste management and remediation activities",8.763458
2016,,,,"Water supply; sewerage, waste management and remediation activities",11.046115
2017,,,,"Water supply; sewerage, waste management and remediation activities",16.935338
2018,,,,"Water supply; sewerage, waste management and remediation activities",14.440148
2019,,,,"Water supply; sewerage, waste management and remediation activities",16.3
2020,,,,"Water supply; sewerage, waste management and remediation activities",24.4
2021,,,,"Water supply; sewerage, waste management and remediation activities",27.8
2015,,,,Construction,30.479759
2016,,,,Construction,21.910701
2017,,,,Construction,25.189653
2018,,,,Construction,18.342748
2019,,,,Construction,16.1
2020,,,,Construction,21.6
2021,,,,Construction,29.9
2015,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,17.048203
2016,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,13.904379
2017,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,12.664883
2018,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,12.403591
2019,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,11.6
2020,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,10.1
2021,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,20.7
2015,,,,Transportation and storage,22.27405
2016,,,,Transportation and storage,20.940255
2017,,,,Transportation and storage,17.99169
2018,,,,Transportation and storage,14.190519
2019,,,,Transportation and storage,15.2
2020,,,,Transportation and storage,19.4
2021,,,,Transportation and storage,26.2
2015,,,,Accommodation and food service activities,18.21034
2016,,,,Accommodation and food service activities,13.950839
2017,,,,Accommodation and food service activities,10.454912
2018,,,,Accommodation and food service activities,10.100327
2019,,,,Accommodation and food service activities,8.9
2020,,,,Accommodation and food service activities,11.6
2021,,,,Accommodation and food service activities,19.1
2015,,,,Information and communication,23.378289
2016,,,,Information and communication,12.552141
2017,,,,Information and communication,7.21763
2018,,,,Information and communication,7.39829
2019,,,,Information and communication,2.1
2020,,,,Information and communication,5.3
2021,,,,Information and communication,10.7
2015,,,,Financial and insurance activities,10.489031
2016,,,,Financial and insurance activities,6.973096
2017,,,,Financial and insurance activities,11.910368
2018,,,,Financial and insurance activities,10.729115
2019,,,,Financial and insurance activities,15.6
2020,,,,Financial and insurance activities,20.5
2021,,,,Financial and insurance activities,28.9
2015,,,,Real estate activities,3.934555
2016,,,,Real estate activities,1.56104
2017,,,,Real estate activities,1.876997
2020,,,,Real estate activities,9.0
2021,,,,Real estate activities,22.7
2015,,,,"Professional, scientific and technical activities",18.961063
2016,,,,"Professional, scientific and technical activities",6.415037
2017,,,,"Professional, scientific and technical activities",10.733285
2018,,,,"Professional, scientific and technical activities",6.187182
2019,,,,"Professional, scientific and technical activities",12.6
2020,,,,"Professional, scientific and technical activities",21.0
2021,,,,"Professional, scientific and technical activities",17.9
2015,,,,Administrative and support service activities,13.647895
2016,,,,Administrative and support service activities,9.73944
2017,,,,Administrative and support service activities,17.445705
2018,,,,Administrative and support service activities,10.903917
2019,,,,Administrative and support service activities,10.8
2020,,,,Administrative and support service activities,12.0
2021,,,,Administrative and support service activities,24.9
2015,,,,Public administration and defence; compulsory social security,16.876779
2016,,,,Public administration and defence; compulsory social security,9.94822
2017,,,,Public administration and defence; compulsory social security,10.126909
2018,,,,Public administration and defence; compulsory social security,6.64676
2019,,,,Public administration and defence; compulsory social security,6.7
2020,,,,Public administration and defence; compulsory social security,13.1
2021,,,,Public administration and defence; compulsory social security,19.9
2015,,,,Education,20.413164
2016,,,,Education,16.145522
2017,,,,Education,18.57928
2018,,,,Education,18.915135
2019,,,,Education,13.2
2020,,,,Education,22.0
2021,,,,Education,30.7
2015,,,,Human health and social work activities,13.310295
2016,,,,Human health and social work activities,11.612557
2017,,,,Human health and social work activities,15.172329
2018,,,,Human health and social work activities,12.026034
2019,,,,Human health and social work activities,10.9
2020,,,,Human health and social work activities,22.9
2021,,,,Human health and social work activities,25.1
2015,,,,"Arts, entertainment and recreation",24.880928
2016,,,,"Arts, entertainment and recreation",22.865184
2017,,,,"Arts, entertainment and recreation",13.457395
2018,,,,"Arts, entertainment and recreation",9.968181
2019,,,,"Arts, entertainment and recreation",13.3
2020,,,,"Arts, entertainment and recreation",12.6
2021,,,,"Arts, entertainment and recreation",16.3
2015,,,,Other service activities,14.316551
2016,,,,Other service activities,10.525974
2017,,,,Other service activities,9.650244
2018,,,,Other service activities,9.121616
2019,,,,Other service activities,6.8
2020,,,,Other service activities,12.5
2021,,,,Other service activities,24.3
2015,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,23.958709
2016,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,46.915523
2017,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,31.481607
2018,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,23.380874
2019,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,18.3
2020,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,36.0
2021,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,20.6
2017,,,,Activities of extraterritorial organisations and bodies,15.599786
2020,,,,Activities of extraterritorial organisations and bodies,10.7
