Year,Территория,Пол,Value
2007,Джалал-Абадская область,,5.0
2008,Джалал-Абадская область,,25.0
2009,Джалал-Абадская область,,39.0
2010,Джалал-Абадская область,,32.0
2011,Джалал-Абадская область,,35.0
2012,Джалал-Абадская область,,33.0
2013,Джалал-Абадская область,,31.0
2014,Джалал-Абадская область,,17.0
2015,Джалал-Абадская область,,11.0
2016,Джалал-Абадская область,,13.0
2017,Джалал-Абадская область,,43.0
2018,Джалал-Абадская область,,4.0
2019,Джалал-Абадская область,,0.0
2020,Джалал-Абадская область,,15.0
2021,Джалал-Абадская область,,15.0
2007,Джалал-Абадская область,Мужчины,5.0
2008,Джалал-Абадская область,Мужчины,18.0
2009,Джалал-Абадская область,Мужчины,27.0
2010,Джалал-Абадская область,Мужчины,21.0
2011,Джалал-Абадская область,Мужчины,27.0
2012,Джалал-Абадская область,Мужчины,17.0
2013,Джалал-Абадская область,Мужчины,22.0
2014,Джалал-Абадская область,Мужчины,11.0
2015,Джалал-Абадская область,Мужчины,5.0
2016,Джалал-Абадская область,Мужчины,9.0
2017,Джалал-Абадская область,Мужчины,29.0
2018,Джалал-Абадская область,Мужчины,4.0
2019,Джалал-Абадская область,Мужчины,0.0
2020,Джалал-Абадская область,Мужчины,9.0
2021,Джалал-Абадская область,Мужчины,8.0
2007,Джалал-Абадская область,Женщины,0.0
2008,Джалал-Абадская область,Женщины,7.0
2009,Джалал-Абадская область,Женщины,12.0
2010,Джалал-Абадская область,Женщины,11.0
2011,Джалал-Абадская область,Женщины,8.0
2012,Джалал-Абадская область,Женщины,16.0
2013,Джалал-Абадская область,Женщины,9.0
2014,Джалал-Абадская область,Женщины,6.0
2015,Джалал-Абадская область,Женщины,6.0
2016,Джалал-Абадская область,Женщины,4.0
2017,Джалал-Абадская область,Женщины,14.0
2018,Джалал-Абадская область,Женщины,0.0
2019,Джалал-Абадская область,Женщины,0.0
2020,Джалал-Абадская область,Женщины,6.0
2021,Джалал-Абадская область,Женщины,7.0
2007,Иссык-Кульская область,,14.0
2008,Иссык-Кульская область,,42.0
2009,Иссык-Кульская область,,11.0
2010,Иссык-Кульская область,,15.0
2011,Иссык-Кульская область,,17.0
2012,Иссык-Кульская область,,4.0
2013,Иссык-Кульская область,,21.0
2014,Иссык-Кульская область,,25.0
2015,Иссык-Кульская область,,6.0
2016,Иссык-Кульская область,,2.0
2017,Иссык-Кульская область,,6.0
2018,Иссык-Кульская область,,2.0
2019,Иссык-Кульская область,,5.0
2020,Иссык-Кульская область,,0.0
2021,Иссык-Кульская область,,12.0
2007,Иссык-Кульская область,Мужчины,10.0
2008,Иссык-Кульская область,Мужчины,26.0
2009,Иссык-Кульская область,Мужчины,7.0
2010,Иссык-Кульская область,Мужчины,10.0
2011,Иссык-Кульская область,Мужчины,9.0
2012,Иссык-Кульская область,Мужчины,4.0
2013,Иссык-Кульская область,Мужчины,13.0
2014,Иссык-Кульская область,Мужчины,16.0
2015,Иссык-Кульская область,Мужчины,5.0
2016,Иссык-Кульская область,Мужчины,1.0
2017,Иссык-Кульская область,Мужчины,6.0
2018,Иссык-Кульская область,Мужчины,1.0
2019,Иссык-Кульская область,Мужчины,2.0
2020,Иссык-Кульская область,Мужчины,0.0
2021,Иссык-Кульская область,Мужчины,7.0
2007,Иссык-Кульская область,Женщины,4.0
2008,Иссык-Кульская область,Женщины,16.0
2009,Иссык-Кульская область,Женщины,4.0
2010,Иссык-Кульская область,Женщины,5.0
2011,Иссык-Кульская область,Женщины,8.0
2012,Иссык-Кульская область,Женщины,
2013,Иссык-Кульская область,Женщины,8.0
2014,Иссык-Кульская область,Женщины,9.0
2015,Иссык-Кульская область,Женщины,1.0
2016,Иссык-Кульская область,Женщины,1.0
2017,Иссык-Кульская область,Женщины,
2018,Иссык-Кульская область,Женщины,1.0
2019,Иссык-Кульская область,Женщины,3.0
2020,Иссык-Кульская область,Женщины,0.0
2021,Иссык-Кульская область,Женщины,5.0
2007,Нарынская область,,5.0
2008,Нарынская область,,6.0
2009,Нарынская область,,0.0
2010,Нарынская область,,7.0
2011,Нарынская область,,0.0
2012,Нарынская область,,5.0
2013,Нарынская область,,8.0
2014,Нарынская область,,2.0
2015,Нарынская область,,9.0
2016,Нарынская область,,1.0
2017,Нарынская область,,2.0
2018,Нарынская область,,0.0
2019,Нарынская область,,0.0
2020,Нарынская область,,0.0
2021,Нарынская область,,0.0
2007,Нарынская область,Мужчины,4.0
2008,Нарынская область,Мужчины,4.0
2009,Нарынская область,Мужчины,0.0
2010,Нарынская область,Мужчины,4.0
2011,Нарынская область,Мужчины,0.0
2012,Нарынская область,Мужчины,4.0
2013,Нарынская область,Мужчины,5.0
2014,Нарынская область,Мужчины,2.0
2015,Нарынская область,Мужчины,6.0
2016,Нарынская область,Мужчины,1.0
2017,Нарынская область,Мужчины,2.0
2018,Нарынская область,Мужчины,0.0
2019,Нарынская область,Мужчины,0.0
2020,Нарынская область,Мужчины,0.0
2021,Нарынская область,Мужчины,0.0
2007,Нарынская область,Женщины,1.0
2008,Нарынская область,Женщины,2.0
2009,Нарынская область,Женщины,0.0
2010,Нарынская область,Женщины,3.0
2011,Нарынская область,Женщины,0.0
2012,Нарынская область,Женщины,1.0
2013,Нарынская область,Женщины,3.0
2014,Нарынская область,Женщины,0.0
2015,Нарынская область,Женщины,3.0
2016,Нарынская область,Женщины,0.0
2017,Нарынская область,Женщины,0.0
2018,Нарынская область,Женщины,0.0
2019,Нарынская область,Женщины,0.0
2020,Нарынская область,Женщины,0.0
2021,Нарынская область,Женщины,0.0
2007,Ошская область,,6.0
2008,Ошская область,,96.0
2009,Ошская область,,2.0
2010,Ошская область,,19.0
2011,Ошская область,,11.0
2012,Ошская область,,22.0
2013,Ошская область,,5.0
2014,Ошская область,,0.0
2015,Ошская область,,10.0
2016,Ошская область,,1.0
2017,Ошская область,,35.0
2018,Ошская область,,1.0
2019,Ошская область,,0.0
2020,Ошская область,,7.0
2021,Ошская область,,17.0
2007,Ошская область,Мужчины,6.0
2008,Ошская область,Мужчины,50.0
2009,Ошская область,Мужчины,2.0
2010,Ошская область,Мужчины,12.0
2011,Ошская область,Мужчины,6.0
2012,Ошская область,Мужчины,16.0
2013,Ошская область,Мужчины,3.0
2014,Ошская область,Мужчины,0.0
2015,Ошская область,Мужчины,7.0
2016,Ошская область,Мужчины,1.0
2017,Ошская область,Мужчины,17.0
2018,Ошская область,Мужчины,1.0
2019,Ошская область,Мужчины,0.0
2020,Ошская область,Мужчины,7.0
2021,Ошская область,Мужчины,8.0
2007,Ошская область,Женщины,0.0
2008,Ошская область,Женщины,46.0
2009,Ошская область,Женщины,0.0
2010,Ошская область,Женщины,7.0
2011,Ошская область,Женщины,5.0
2012,Ошская область,Женщины,6.0
2013,Ошская область,Женщины,2.0
2014,Ошская область,Женщины,0.0
2015,Ошская область,Женщины,3.0
2016,Ошская область,Женщины,0.0
2017,Ошская область,Женщины,18.0
2018,Ошская область,Женщины,0.0
2019,Ошская область,Женщины,0.0
2020,Ошская область,Женщины,0.0
2021,Ошская область,Женщины,9.0
2007,Таласская область,,1.0
2008,Таласская область,,0.0
2009,Таласская область,,0.0
2010,Таласская область,,4.0
2011,Таласская область,,6.0
2012,Таласская область,,0.0
2013,Таласская область,,5.0
2014,Таласская область,,0.0
2015,Таласская область,,0.0
2016,Таласская область,,0.0
2017,Таласская область,,0.0
2018,Таласская область,,0.0
2019,Таласская область,,0.0
2020,Таласская область,,0.0
2021,Таласская область,,9.0
2007,Таласская область,Мужчины,1.0
2008,Таласская область,Мужчины,0.0
2009,Таласская область,Мужчины,0.0
2010,Таласская область,Мужчины,3.0
2011,Таласская область,Мужчины,4.0
2012,Таласская область,Мужчины,0.0
2013,Таласская область,Мужчины,4.0
2014,Таласская область,Мужчины,0.0
2015,Таласская область,Мужчины,0.0
2016,Таласская область,Мужчины,0.0
2017,Таласская область,Мужчины,0.0
2018,Таласская область,Мужчины,0.0
2019,Таласская область,Мужчины,0.0
2020,Таласская область,Мужчины,0.0
2021,Таласская область,Мужчины,7.0
2007,Таласская область,Женщины,0.0
2008,Таласская область,Женщины,0.0
2009,Таласская область,Женщины,0.0
2010,Таласская область,Женщины,1.0
2011,Таласская область,Женщины,2.0
2012,Таласская область,Женщины,0.0
2013,Таласская область,Женщины,1.0
2014,Таласская область,Женщины,0.0
2015,Таласская область,Женщины,0.0
2016,Таласская область,Женщины,0.0
2017,Таласская область,Женщины,0.0
2018,Таласская область,Женщины,0.0
2019,Таласская область,Женщины,0.0
2020,Таласская область,Женщины,0.0
2021,Таласская область,Женщины,2.0
2007,Чуйская область,,35.0
2008,Чуйская область,,102.0
2009,Чуйская область,,19.0
2010,Чуйская область,,46.0
2011,Чуйская область,,41.0
2012,Чуйская область,,23.0
2013,Чуйская область,,22.0
2014,Чуйская область,,13.0
2015,Чуйская область,,15.0
2016,Чуйская область,,14.0
2017,Чуйская область,,55.0
2018,Чуйская область,,10.0
2019,Чуйская область,,6.0
2020,Чуйская область,,24.0
2021,Чуйская область,,20.0
2007,Чуйская область,Мужчины,28.0
2008,Чуйская область,Мужчины,76.0
2009,Чуйская область,Мужчины,12.0
2010,Чуйская область,Мужчины,32.0
2011,Чуйская область,Мужчины,30.0
2012,Чуйская область,Мужчины,15.0
2013,Чуйская область,Мужчины,12.0
2014,Чуйская область,Мужчины,7.0
2015,Чуйская область,Мужчины,8.0
2016,Чуйская область,Мужчины,11.0
2017,Чуйская область,Мужчины,31.0
2018,Чуйская область,Мужчины,7.0
2019,Чуйская область,Мужчины,2.0
2020,Чуйская область,Мужчины,10.0
2021,Чуйская область,Мужчины,9.0
2007,Чуйская область,Женщины,7.0
2008,Чуйская область,Женщины,26.0
2009,Чуйская область,Женщины,7.0
2010,Чуйская область,Женщины,14.0
2011,Чуйская область,Женщины,11.0
2012,Чуйская область,Женщины,8.0
2013,Чуйская область,Женщины,10.0
2014,Чуйская область,Женщины,6.0
2015,Чуйская область,Женщины,7.0
2016,Чуйская область,Женщины,3.0
2017,Чуйская область,Женщины,24.0
2018,Чуйская область,Женщины,3.0
2019,Чуйская область,Женщины,4.0
2020,Чуйская область,Женщины,14.0
2021,Чуйская область,Женщины,11.0
2007,г.Бишкек,,12.0
2008,г.Бишкек,,1.0
2009,г.Бишкек,,0.0
2010,г.Бишкек,,14.0
2011,г.Бишкек,,19.0
2012,г.Бишкек,,3.0
2013,г.Бишкек,,0.0
2014,г.Бишкек,,2.0
2015,г.Бишкек,,0.0
2016,г.Бишкек,,7.0
2017,г.Бишкек,,0.0
2018,г.Бишкек,,0.0
2019,г.Бишкек,,0.0
2020,г.Бишкек,,0.0
2021,г.Бишкек,,0.0
2007,г.Бишкек,Мужчины,9.0
2008,г.Бишкек,Мужчины,1.0
2009,г.Бишкек,Мужчины,0.0
2010,г.Бишкек,Мужчины,9.0
2011,г.Бишкек,Мужчины,11.0
2012,г.Бишкек,Мужчины,2.0
2013,г.Бишкек,Мужчины,0.0
2014,г.Бишкек,Мужчины,0.0
2015,г.Бишкек,Мужчины,0.0
2016,г.Бишкек,Мужчины,7.0
2017,г.Бишкек,Мужчины,0.0
2018,г.Бишкек,Мужчины,0.0
2019,г.Бишкек,Мужчины,0.0
2020,г.Бишкек,Мужчины,0.0
2021,г.Бишкек,Мужчины,0.0
2007,г.Бишкек,Женщины,3.0
2008,г.Бишкек,Женщины,0.0
2009,г.Бишкек,Женщины,0.0
2010,г.Бишкек,Женщины,5.0
2011,г.Бишкек,Женщины,8.0
2012,г.Бишкек,Женщины,1.0
2013,г.Бишкек,Женщины,0.0
2014,г.Бишкек,Женщины,2.0
2015,г.Бишкек,Женщины,0.0
2016,г.Бишкек,Женщины,0.0
2017,г.Бишкек,Женщины,0.0
2018,г.Бишкек,Женщины,0.0
2019,г.Бишкек,Женщины,0.0
2020,г.Бишкек,Женщины,0.0
2021,г.Бишкек,Женщины,0.0
2007,г.Ош,,7.0
2008,г.Ош,,0.0
2009,г.Ош,,0.0
2010,г.Ош,,6.0
2011,г.Ош,,4.0
2012,г.Ош,,0.0
2013,г.Ош,,0.0
2014,г.Ош,,0.0
2015,г.Ош,,1.0
2016,г.Ош,,0.0
2017,г.Ош,,0.0
2018,г.Ош,,1.0
2019,г.Ош,,0.0
2020,г.Ош,,0.0
2021,г.Ош,,0.0
2007,г.Ош,Мужчины,5.0
2008,г.Ош,Мужчины,0.0
2009,г.Ош,Мужчины,0.0
2010,г.Ош,Мужчины,4.0
2011,г.Ош,Мужчины,2.0
2012,г.Ош,Мужчины,0.0
2013,г.Ош,Мужчины,0.0
2014,г.Ош,Мужчины,0.0
2015,г.Ош,Мужчины,1.0
2016,г.Ош,Мужчины,0.0
2017,г.Ош,Мужчины,0.0
2018,г.Ош,Мужчины,1.0
2019,г.Ош,Мужчины,0.0
2020,г.Ош,Мужчины,0.0
2021,г.Ош,Мужчины,0.0
2007,г.Ош,Женщины,2.0
2008,г.Ош,Женщины,0.0
2009,г.Ош,Женщины,0.0
2010,г.Ош,Женщины,2.0
2011,г.Ош,Женщины,2.0
2012,г.Ош,Женщины,0.0
2013,г.Ош,Женщины,0.0
2014,г.Ош,Женщины,0.0
2015,г.Ош,Женщины,0.0
2016,г.Ош,Женщины,0.0
2017,г.Ош,Женщины,0.0
2018,г.Ош,Женщины,0.0
2019,г.Ош,Женщины,0.0
2020,г.Ош,Женщины,0.0
2021,г.Ош,Женщины,0.0
