Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,GeoCode,Value
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,,7.8
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,,7.8
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,,7.5
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,,8.4
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,,8.786411
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,,8.2
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,KG05,9.432768
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,KG05,12.156859
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,KG05,17.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,KG05,12.7
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,KG05,13.148975
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,KG05,11.755326
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,KG03,16.445544
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,KG03,16.724154
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,KG03,16.7
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,KG03,17.6
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,KG03,17.383491
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,KG03,18.008531
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,KG02,17.230053
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,KG02,16.543761
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,KG02,17.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,KG02,14.7
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,KG02,14.950191
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,KG02,12.86032
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,KG04,31.283961
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,KG04,30.792373
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,KG04,30.8
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,KG04,31.7
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,KG04,29.020992
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,KG04,27.855975
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,KG06,10.295311
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,KG06,6.259579
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,KG06,4.2
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,KG06,8.8
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,KG06,7.362662
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,KG06,3.856705
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,KG07,17.628776
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,KG07,16.289548
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,KG07,17.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,KG07,17.6
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,KG07,15.083486
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,KG07,12.700277
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,KG08,8.324989
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,KG08,9.54309
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,KG08,6.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,KG08,5.5
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,KG08,4.972738
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,KG08,6.543626
2015,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,KG11,6.300161
2016,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,KG11,5.9524
2017,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,KG11,5.3
2018,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,KG11,6.8
2019,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,KG11,6.252085
2020,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,KG11,7.921875
2015,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,KG21,4.356925
2016,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,KG21,8.77669
2017,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,KG21,8.8
2018,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,KG21,10.2
2019,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,KG21,8.254219
2020,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,KG21,6.255189
