Year,Территория,Пол,Value
2016,Джалал-Абадская область,,1.3
2017,Джалал-Абадская область,,1.3
2018,Джалал-Абадская область,,1.3
2019,Джалал-Абадская область,,1.259334
2020,Джалал-Абадская область,,1.2
2021,Джалал-Абадская область,,1.169036
2010,Джалал-Абадская область,Женщины,1.6
2011,Джалал-Абадская область,Женщины,1.632109
2012,Джалал-Абадская область,Женщины,1.61962
2013,Джалал-Абадская область,Женщины,1.59998
2014,Джалал-Абадская область,Женщины,1.6
2015,Джалал-Абадская область,Женщины,1.6
2016,Джалал-Абадская область,Женщины,1.6
2017,Джалал-Абадская область,Женщины,1.6
2018,Джалал-Абадская область,Женщины,1.6
2019,Джалал-Абадская область,Женщины,1.741229
2020,Джалал-Абадская область,Женщины,1.6
2021,Джалал-Абадская область,Женщины,1.516039
2010,Джалал-Абадская область,Мужчины,1.0
2011,Джалал-Абадская область,Мужчины,1.009636
2012,Джалал-Абадская область,Мужчины,1.01755
2013,Джалал-Абадская область,Мужчины,1.059774
2014,Джалал-Абадская область,Мужчины,1.0
2015,Джалал-Абадская область,Мужчины,1.0
2016,Джалал-Абадская область,Мужчины,1.0
2017,Джалал-Абадская область,Мужчины,1.0
2018,Джалал-Абадская область,Мужчины,0.9
2019,Джалал-Абадская область,Мужчины,1.18494
2020,Джалал-Абадская область,Мужчины,0.9
2021,Джалал-Абадская область,Мужчины,0.826976
2010,Иссык-Кульская область,,1.4
2011,Иссык-Кульская область,,1.475437
2012,Иссык-Кульская область,,1.438075
2013,Иссык-Кульская область,,1.426316
2014,Иссык-Кульская область,,1.4
2015,Иссык-Кульская область,,1.4
2016,Иссык-Кульская область,,1.4
2017,Иссык-Кульская область,,1.3
2018,Иссык-Кульская область,,1.3
2019,Иссык-Кульская область,,1.37083
2020,Иссык-Кульская область,,1.3
2021,Иссык-Кульская область,,1.284836
2010,Иссык-Кульская область,Женщины,2.1
2011,Иссык-Кульская область,Женщины,2.195846
2012,Иссык-Кульская область,Женщины,2.179603
2013,Иссык-Кульская область,Женщины,2.156759
2014,Иссык-Кульская область,Женщины,2.1
2015,Иссык-Кульская область,Женщины,2.1
2016,Иссык-Кульская область,Женщины,2.1
2017,Иссык-Кульская область,Женщины,2.0
2018,Иссык-Кульская область,Женщины,2.0
2019,Иссык-Кульская область,Женщины,2.036455
2020,Иссык-Кульская область,Женщины,2.0
2021,Иссык-Кульская область,Женщины,1.916991
2010,Иссык-Кульская область,Мужчины,0.7
2011,Иссык-Кульская область,Мужчины,0.742835
2012,Иссык-Кульская область,Мужчины,0.684743
2013,Иссык-Кульская область,Мужчины,0.685347
2014,Иссык-Кульская область,Мужчины,0.7
2015,Иссык-Кульская область,Мужчины,0.7
2016,Иссык-Кульская область,Мужчины,0.7
2017,Иссык-Кульская область,Мужчины,0.6
2018,Иссык-Кульская область,Мужчины,0.7
2019,Иссык-Кульская область,Мужчины,0.700155
2020,Иссык-Кульская область,Мужчины,0.6
2021,Иссык-Кульская область,Мужчины,0.647193
2010,Нарынская область,,1.4
2011,Нарынская область,,1.370085
2012,Нарынская область,,1.350247
2013,Нарынская область,,1.297285
2014,Нарынская область,,1.3
2015,Нарынская область,,1.3
2016,Нарынская область,,1.3
2017,Нарынская область,,1.3
2018,Нарынская область,,1.3
2019,Нарынская область,,1.211929
2020,Нарынская область,,1.1
2021,Нарынская область,,1.131456
2010,Нарынская область,Женщины,2.1
2011,Нарынская область,Женщины,2.04427
2012,Нарынская область,Женщины,2.037431
2013,Нарынская область,Женщины,1.998697
2014,Нарынская область,Женщины,2.0
2015,Нарынская область,Женщины,2.0
2016,Нарынская область,Женщины,1.9
2017,Нарынская область,Женщины,1.9
2018,Нарынская область,Женщины,1.9
2019,Нарынская область,Женщины,1.786669
2020,Нарынская область,Женщины,1.7
2021,Нарынская область,Женщины,1.703153
2010,Нарынская область,Мужчины,0.0
2011,Нарынская область,Мужчины,0.0
2012,Нарынская область,Мужчины,0.0
2013,Нарынская область,Мужчины,0.0
2014,Нарынская область,Мужчины,0.0
2015,Нарынская область,Мужчины,0.0
2016,Нарынская область,Мужчины,0.0
2017,Нарынская область,Мужчины,0.0
2018,Нарынская область,Мужчины,0.0
2019,Нарынская область,Мужчины,0.0
2020,Нарынская область,Мужчины,0.6
2021,Нарынская область,Мужчины,0.580491
2010,Ошская область,,1.4
2011,Ошская область,,1.436724
2012,Ошская область,,1.439638
2013,Ошская область,,1.466753
2014,Ошская область,,1.5
2015,Ошская область,,1.5
2016,Ошская область,,1.5
2017,Ошская область,,1.5
2018,Ошская область,,1.5
2019,Ошская область,,1.4919
2020,Ошская область,,1.5
2021,Ошская область,,1.429309
2010,Ошская область,Женщины,1.4
2011,Ошская область,Женщины,1.472198
2012,Ошская область,Женщины,1.501135
2013,Ошская область,Женщины,1.49681
2014,Ошская область,Женщины,1.6
2015,Ошская область,Женщины,1.6
2016,Ошская область,Женщины,1.6
2017,Ошская область,Женщины,1.6
2018,Ошская область,Женщины,1.6
2019,Ошская область,Женщины,1.672535
2020,Ошская область,Женщины,1.6
2021,Ошская область,Женщины,1.600124
2010,Ошская область,Мужчины,1.4
2011,Ошская область,Мужчины,1.401738
2012,Ошская область,Мужчины,1.379051
2013,Ошская область,Мужчины,1.437164
2014,Ошская область,Мужчины,1.4
2015,Ошская область,Мужчины,1.4
2016,Ошская область,Мужчины,1.4
2017,Ошская область,Мужчины,1.4
2018,Ошская область,Мужчины,1.4
2019,Ошская область,Мужчины,1.315343
2020,Ошская область,Мужчины,1.3
2021,Ошская область,Мужчины,1.262321
2010,Таласская область,,1.3
2011,Таласская область,,1.304568
2012,Таласская область,,1.252578
2013,Таласская область,,1.269907
2014,Таласская область,,1.2
2015,Таласская область,,1.3
2016,Таласская область,,1.2
2017,Таласская область,,1.2
2018,Таласская область,,1.2
2019,Таласская область,,1.125823
2020,Таласская область,,1.1
2021,Таласская область,,1.065581
2010,Таласская область,Женщины,1.6
2011,Таласская область,Женщины,1.675156
2012,Таласская область,Женщины,1.605109
2013,Таласская область,Женщины,1.68077
2014,Таласская область,Женщины,1.6
2015,Таласская область,Женщины,1.6
2016,Таласская область,Женщины,1.6
2017,Таласская область,Женщины,1.6
2018,Таласская область,Женщины,1.6
2019,Таласская область,Женщины,1.558752
2020,Таласская область,Женщины,1.5
2021,Таласская область,Женщины,1.459768
2010,Таласская область,Мужчины,1.0
2011,Таласская область,Мужчины,0.93811
2012,Таласская область,Мужчины,0.904482
2013,Таласская область,Мужчины,0.864974
2014,Таласская область,Мужчины,0.9
2015,Таласская область,Мужчины,1.0
2016,Таласская область,Мужчины,0.8
2017,Таласская область,Мужчины,0.8
2018,Таласская область,Мужчины,0.8
2019,Таласская область,Мужчины,0.702647
2020,Таласская область,Мужчины,0.7
2021,Таласская область,Мужчины,0.679235
2010,Чуйская область,,1.4
2011,Чуйская область,,1.496509
2012,Чуйская область,,1.438555
2013,Чуйская область,,1.389206
2014,Чуйская область,,1.4
2015,Чуйская область,,1.4
2016,Чуйская область,,1.4
2017,Чуйская область,,1.3
2018,Чуйская область,,1.3
2019,Чуйская область,,1.289739
2020,Чуйская область,,1.2
2021,Чуйская область,,1.197447
2010,Чуйская область,Женщины,2.1
2011,Чуйская область,Женщины,2.141527
2012,Чуйская область,Женщины,2.071794
2013,Чуйская область,Женщины,1.979714
2014,Чуйская область,Женщины,1.9
2015,Чуйская область,Женщины,1.9
2016,Чуйская область,Женщины,1.9
2017,Чуйская область,Женщины,1.9
2018,Чуйская область,Женщины,1.9
2019,Чуйская область,Женщины,1.87848
2020,Чуйская область,Женщины,1.8
2021,Чуйская область,Женщины,1.761924
2010,Чуйская область,Мужчины,0.8
2011,Чуйская область,Мужчины,0.830337
2012,Чуйская область,Мужчины,0.78522
2013,Чуйская область,Мужчины,0.780341
2014,Чуйская область,Мужчины,0.8
2015,Чуйская область,Мужчины,0.8
2016,Чуйская область,Мужчины,0.8
2017,Чуйская область,Мужчины,0.7
2018,Чуйская область,Мужчины,0.7
2019,Чуйская область,Мужчины,0.683181
2020,Чуйская область,Мужчины,0.6
2021,Чуйская область,Мужчины,0.614634
2010,г. Бишкек,,3.0
2011,г. Бишкек,,2.964464
2012,г. Бишкек,,2.846105
2013,г. Бишкек,,2.749905
2014,г. Бишкек,,2.6
2015,г. Бишкек,,2.6
2016,г. Бишкек,,2.5
2017,г. Бишкек,,2.5
2018,г. Бишкек,,2.4
2019,г. Бишкек,,2.425243
2020,г. Бишкек,,2.4
2021,г. Бишкек,,2.314174
2010,г. Бишкек,Женщины,4.4
2011,г. Бишкек,Женщины,4.442963
2012,г. Бишкек,Женщины,4.234888
2013,г. Бишкек,Женщины,4.030083
2014,г. Бишкек,Женщины,3.9
2015,г. Бишкек,Женщины,3.8
2016,г. Бишкек,Женщины,3.7
2017,г. Бишкек,Женщины,3.7
2018,г. Бишкек,Женщины,3.6
2019,г. Бишкек,Женщины,3.60581
2020,г. Бишкек,Женщины,3.6
2021,г. Бишкек,Женщины,3.459733
2010,г. Бишкек,Мужчины,1.3
2011,г. Бишкек,Мужчины,1.26046
2012,г. Бишкек,Мужчины,1.249552
2013,г. Бишкек,Мужчины,1.280644
2014,г. Бишкек,Мужчины,1.2
2015,г. Бишкек,Мужчины,1.2
2016,г. Бишкек,Мужчины,1.2
2017,г. Бишкек,Мужчины,1.1
2018,г. Бишкек,Мужчины,1.1
2019,г. Бишкек,Мужчины,1.089902
2020,г. Бишкек,Мужчины,1.1
2021,г. Бишкек,Мужчины,1.019886
2010,г. Ош,,2.4
2011,г. Ош,,2.497577
2012,г. Ош,,2.560942
2013,г. Ош,,2.575376
2014,г. Ош,,2.7
2015,г. Ош,,2.7
2016,г. Ош,,2.5
2017,г. Ош,,2.5
2018,г. Ош,,2.5
2019,г. Ош,,2.447765
2020,г. Ош,,2.4
2021,г. Ош,,2.137104
2010,г. Ош,Женщины,3.1
2011,г. Ош,Женщины,3.173246
2012,г. Ош,Женщины,3.270652
2013,г. Ош,Женщины,3.305533
2014,г. Ош,Женщины,3.6
2015,г. Ош,Женщины,3.5
2016,г. Ош,Женщины,3.3
2017,г. Ош,Женщины,3.2
2018,г. Ош,Женщины,3.2
2019,г. Ош,Женщины,3.087743
2020,г. Ош,Женщины,3.1
2021,г. Ош,Женщины,2.80382
2010,г. Ош,Мужчины,1.6
2011,г. Ош,Мужчины,1.762603
2012,г. Ош,Мужчины,1.791943
2013,г. Ош,Мужчины,1.78745
2014,г. Ош,Мужчины,1.8
2015,г. Ош,Мужчины,1.8
2016,г. Ош,Мужчины,1.7
2017,г. Ош,Мужчины,1.8
2018,г. Ош,Мужчины,1.7
2019,г. Ош,Мужчины,1.768148
2020,г. Ош,Мужчины,1.6
2021,г. Ош,Мужчины,1.434429
