Value,en,Disaggregation combinations using this value,Number of indicators
"Расходы на химизацию, защиты и карантин растений","Expenditure on Plant chemicals, protection and
quarantine",1,1
Расходы на противоэпизоотические мероприятия,Expenditure on Anti-epizootic measures,1,1
Расходы на природные заповедники и природные парки ,Expenditure on Nature parks and reserves,1,1
"Расходы на вопросы охраны окружающей среды, не отнесенные к другим категориям",Expenditure on Environmental issues not classified elsewhere ,1,1
Расходы на другие услуги по охране окружающей среды,"Expenditure on Other services on environmental
protection",1,1
Расходы на прочие услуги по защите биоразнообразия и охране ландшафта,"Expenditure on Other services for the protection
of biodiversity and landscape",1,1
Расходы на борьбу с загрязнением окружающей среды,Expenditure on Pollution control,1,1
Расходы на охрану животных ,Expenditure on Animal protection,1,1
Расходы на охрану растений,Expenditure on Plant protection,1,1
"Расходы на научно-исследовательские и опытно-конструкторские  разработки, связанные с охраной окружающей среды ","Expenditure on Research and development work
related to environmental protection",1,1
Расходы на ветеринарную диагностику,Expenditure on Veterinary diagnostics,1,1
Доходы: Взносы/отчисления на социальные нужды,Income: Contributions / deductions for social needs,1,1
Доходы: Доходы от продажи нефинансовых активов,Income: Income from sale of non-financial assets,1,1
Доходы: Неналоговые доходы,Income: Non-tax revenues,1,1
Доходы: Полученные официальные трансферты,Income: Received official transfers,1,1
Доходы: Налоговые доходы,Income: Tax revenues,1,1
Загрязняющие вещества: окись углерода,Pollutants: Carbon monoxide,1,1
Загрязняющие вещества: газообразные и жидкие,Pollutants: Gaseous and liquid,1,1
Загрязняющие вещества: окислы азота,Pollutants: Nitrogen oxide ,1,1
Загрязняющие вещества: сернистый ангидрид,Pollutants: Sulphur dioxide,1,1
Загрязняющие вещества: твердые,Pollutants: Solid,1,1
Посещение школы: Посещает,School attendance: Attends,1,1
Посещение школы: Не посещает,School attendance: Not attends,1,1
Виды: Амфибии и рептилии,Species: Amphibians and Reptiles,2,2
Виды: Птицы,Species: Birds,2,2
Виды: Рыбы,Species: Fish,1,1
Виды: Насекомые,Species: Insects,1,1
Виды: Млекопитающие,Species: Mammals,2,2
Виды: Растения и грибы,Species: Plants and mushrooms,1,1
Вид избавления: Сжигание,Waste removal: Burning,1,1
Вид избавления: Закапывание,Waste removal: Burying,1,1
"Вид избавления: Сбор грузовиком, контейнером","Waste removal: Collection by truck, container",1,1
Вид избавления: Сброс в мусорные кучи,Waste removal: Dumping into garbage heaps,1,1
Вид избавления: Мусоропровод,Waste removal: Garbage chute,1,1
Источник воды: подземный горизонт,Water source: Aquifers,1,1
Источник воды: природный,Water source: Natural,1,1
Скорость интернета: от 256 кбит / с до менее 2 Мбит / с,Internet speed: 256 kbit/s to less than 2 Mbit/s,1,1
Скорость интернета: от 2 Мбит / с до менее 10 Мбит / с,Internet speed: 2 Mbit/s to less than 10 Mbit/s,1,1
Скорость интернета: 10 Мбит / с или выше,Internet speed: 10 Mbit/s or above,1,1
Вид транспорта: Воздушный,Mode of Transport: Air,2,1
Вид транспорта: Автобус,Mode of Transport: Bus,2,1
Вид транспорта: Железнодорожный,Mode of Transport: Rail,2,1
Вид транспорта: Такси,Mode of Transport: Taxi,2,1
Вид транспорта: Троллейбус,Mode of Transport: Trolley bus,2,1
Неинфекционные заболевания: Сердечно-сосудистые заболевания,Non-communicable disease: Cardiovascular disease,10,1
Неинфекционные заболевания: Онкологические заболевания,Non-communicable disease: Cancer,10,1
Неинфекционные заболевания: Хронические респираторные заболевания,Non-communicable disease: Chronic respiratory disease,10,1
Неинфекционные заболевания: Диабет,Non-communicable disease: Diabetes,10,1
Навык: Навык ИКТ: Отправка электронной почты с вложенными файлами,Skill: ICT Skill: Sending e-mails with attached files,2,1
Навык: Навык ИКТ: Подключение и установка новых устройств,Skill: ICT Skill: connecting and installing new devices,2,1
Навык: Навык ИКТ: Копирование или перемещение файла или папки,Skill: ICT Skill: Copying or moving a file or folder,2,1
Навык: Навык ИКТ: Использование инструментов копирования и вставки для дублирования или перемещения информации в документе,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,2,1
Навык: Навык ИКТ: Написание компьютерной программы с использованием специализированного языка программирования,Skill: ICT Skill: Writing a computer program using a specialized programming language,2,1
Навык: Навык ИКТ: Создание электронных презентаций с помощью программного обеспечения для презентаций,Skill: ICT Skill: Creating electronic presentations with presentation software,2,1
"Навык: Навык ИКТ: Поиск, загрузка, установка и настройка программного обеспечения","Skill: ICT Skill: Finding, downloading, installing and configuring software",2,1
Навык: Навык ИКТ: Использование базовых арифметических формул в электронной таблице,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,2,1
Навык: Навык ИКТ: Передача файлов между компьютером и другими устройствами,Skill: ICT Skill: Transferring files between a computer and other devices,2,1
