Year,Unit measure,Observation status,Unit multiplier,Value
2009,"Per 100,000 population",Normal value,Units,50.3
2010,"Per 100,000 population",Normal value,Units,46.2
2011,"Per 100,000 population",Normal value,Units,58.2
2012,"Per 100,000 population",Normal value,Units,50.4
2013,"Per 100,000 population",Normal value,Units,64.7
2014,"Per 100,000 population",Normal value,Units,52.3
2015,"Per 100,000 population",Normal value,Units,51.3
2016,"Per 100,000 population",Normal value,Units,54.9
2017,"Per 100,000 population",Normal value,Units,53.3
2007,"Per 100,000 population",Normal value,Units,6.9
2008,"Per 100,000 population",Normal value,Units,6.8
2009,"Per 100,000 population",Normal value,Units,6.2
2010,"Per 100,000 population",Normal value,Units,5.7
2011,"Per 100,000 population",Normal value,Units,5.8
2012,"Per 100,000 population",Normal value,Units,5.3
2013,"Per 100,000 population",Normal value,Units,6.9
2014,"Per 100,000 population",Normal value,Units,7.2
2015,"Per 100,000 population",Normal value,Units,6.0
2016,"Per 100,000 population",Normal value,Units,6.7
2017,"Per 100,000 population",Normal value,Units,6.8
2007,"Per 100,000 population",Normal value,Units,8.1
2008,"Per 100,000 population",Normal value,Units,5.7
2009,"Per 100,000 population",Normal value,Units,4.6
2010,"Per 100,000 population",Normal value,Units,4.1
2011,"Per 100,000 population",Normal value,Units,3.1
2012,"Per 100,000 population",Normal value,Units,5.5
2013,"Per 100,000 population",Normal value,Units,4.5
2014,"Per 100,000 population",Normal value,Units,5.9
2015,"Per 100,000 population",Normal value,Units,6.2
2016,"Per 100,000 population",Normal value,Units,7.0
2017,"Per 100,000 population",Normal value,Units,6.1
2007,"Per 100,000 population",Normal value,Units,6.6
2008,"Per 100,000 population",Normal value,Units,9.1
2009,"Per 100,000 population",Normal value,Units,8.4
2010,"Per 100,000 population",Normal value,Units,7.7
2011,"Per 100,000 population",Normal value,Units,7.9
2012,"Per 100,000 population",Normal value,Units,7.6
2013,"Per 100,000 population",Normal value,Units,9.6
2014,"Per 100,000 population",Normal value,Units,10.6
2015,"Per 100,000 population",Normal value,Units,9.0
2016,"Per 100,000 population",Normal value,Units,8.6
2017,"Per 100,000 population",Normal value,Units,8.8
2007,"Per 100,000 population",Normal value,Units,10.4
2008,"Per 100,000 population",Normal value,Units,6.2
2009,"Per 100,000 population",Normal value,Units,8.2
2010,"Per 100,000 population",Normal value,Units,8.1
2011,"Per 100,000 population",Normal value,Units,6.9
2012,"Per 100,000 population",Normal value,Units,6.4
2013,"Per 100,000 population",Normal value,Units,9.0
2014,"Per 100,000 population",Normal value,Units,8.9
2015,"Per 100,000 population",Normal value,Units,6.2
2016,"Per 100,000 population",Normal value,Units,7.0
2017,"Per 100,000 population",Normal value,Units,10.4
2007,"Per 100,000 population",Normal value,Units,5.4
2008,"Per 100,000 population",Normal value,Units,3.9
2009,"Per 100,000 population",Normal value,Units,6.6
2010,"Per 100,000 population",Normal value,Units,4.2
2011,"Per 100,000 population",Normal value,Units,6.1
2012,"Per 100,000 population",Normal value,Units,3.8
2013,"Per 100,000 population",Normal value,Units,3.7
2014,"Per 100,000 population",Normal value,Units,7.0
2015,"Per 100,000 population",Normal value,Units,4.7
2016,"Per 100,000 population",Normal value,Units,5.0
2017,"Per 100,000 population",Normal value,Units,3.9
2007,"Per 100,000 population",Normal value,Units,6.5
2008,"Per 100,000 population",Normal value,Units,5.4
2009,"Per 100,000 population",Normal value,Units,5.6
2010,"Per 100,000 population",Normal value,Units,5.2
2011,"Per 100,000 population",Normal value,Units,4.7
2012,"Per 100,000 population",Normal value,Units,4.7
2013,"Per 100,000 population",Normal value,Units,4.8
2014,"Per 100,000 population",Normal value,Units,5.1
2015,"Per 100,000 population",Normal value,Units,5.7
2016,"Per 100,000 population",Normal value,Units,5.5
2017,"Per 100,000 population",Normal value,Units,6.1
2007,"Per 100,000 population",Normal value,Units,7.6
2008,"Per 100,000 population",Normal value,Units,7.6
2009,"Per 100,000 population",Normal value,Units,10.1
2010,"Per 100,000 population",Normal value,Units,5.2
2011,"Per 100,000 population",Normal value,Units,3.0
2012,"Per 100,000 population",Normal value,Units,4.2
2013,"Per 100,000 population",Normal value,Units,6.2
2014,"Per 100,000 population",Normal value,Units,4.9
2015,"Per 100,000 population",Normal value,Units,0.8
2016,"Per 100,000 population",Normal value,Units,2.8
2017,"Per 100,000 population",Normal value,Units,3.5
2007,"Per 100,000 population",Normal value,Units,7.7
2008,"Per 100,000 population",Normal value,Units,7.9
2009,"Per 100,000 population",Normal value,Units,4.7
2010,"Per 100,000 population",Normal value,Units,5.7
2011,"Per 100,000 population",Normal value,Units,7.2
2012,"Per 100,000 population",Normal value,Units,4.8
2013,"Per 100,000 population",Normal value,Units,7.9
2014,"Per 100,000 population",Normal value,Units,9.5
2015,"Per 100,000 population",Normal value,Units,7.4
2016,"Per 100,000 population",Normal value,Units,8.6
2017,"Per 100,000 population",Normal value,Units,6.6
2007,"Per 100,000 population",Normal value,Units,4.0
2008,"Per 100,000 population",Normal value,Units,5.2
2009,"Per 100,000 population",Normal value,Units,4.6
2010,"Per 100,000 population",Normal value,Units,4.0
2011,"Per 100,000 population",Normal value,Units,4.0
2012,"Per 100,000 population",Normal value,Units,4.0
2013,"Per 100,000 population",Normal value,Units,4.9
2014,"Per 100,000 population",Normal value,Units,3.8
2015,"Per 100,000 population",Normal value,Units,3.2
2016,"Per 100,000 population",Normal value,Units,5.0
2017,"Per 100,000 population",Normal value,Units,4.3
2007,"Per 100,000 population",Normal value,Units,9.4
2008,"Per 100,000 population",Normal value,Units,11.7
2009,"Per 100,000 population",Normal value,Units,5.8
2010,"Per 100,000 population",Normal value,Units,6.2
2011,"Per 100,000 population",Normal value,Units,8.6
2012,"Per 100,000 population",Normal value,Units,5.4
2013,"Per 100,000 population",Normal value,Units,13.3
2014,"Per 100,000 population",Normal value,Units,7.8
2015,"Per 100,000 population",Normal value,Units,6.2
2016,"Per 100,000 population",Normal value,Units,9.0
2017,"Per 100,000 population",Normal value,Units,11.9
2007,"Per 100,000 population",Normal value,Units,39.7
2008,"Per 100,000 population",Normal value,Units,38.5
2009,"Per 100,000 population",Normal value,Units,32.7
2010,"Per 100,000 population",Normal value,Units,30.4
2011,"Per 100,000 population",Normal value,Units,27.1
2012,"Per 100,000 population",Normal value,Units,26.1
2013,"Per 100,000 population",Normal value,Units,21.2
2014,"Per 100,000 population",Normal value,Units,21.6
2015,"Per 100,000 population",Normal value,Units,18.9
2016,"Per 100,000 population",Normal value,Units,19.0
2017,"Per 100,000 population",Normal value,Units,17.6
2007,"Per 100,000 population",Normal value,Units,43.2
2008,"Per 100,000 population",Normal value,Units,45.0
2009,"Per 100,000 population",Normal value,Units,36.7
2010,"Per 100,000 population",Normal value,Units,31.1
2011,"Per 100,000 population",Normal value,Units,28.3
2012,"Per 100,000 population",Normal value,Units,15.0
2013,"Per 100,000 population",Normal value,Units,16.2
2014,"Per 100,000 population",Normal value,Units,15.6
2015,"Per 100,000 population",Normal value,Units,17.3
2016,"Per 100,000 population",Normal value,Units,16.5
2017,"Per 100,000 population",Normal value,Units,16.9
2007,"Per 100,000 population",Normal value,Units,29.6
2008,"Per 100,000 population",Normal value,Units,31.4
2009,"Per 100,000 population",Normal value,Units,27.4
2010,"Per 100,000 population",Normal value,Units,27.0
2011,"Per 100,000 population",Normal value,Units,20.4
2012,"Per 100,000 population",Normal value,Units,21.0
2013,"Per 100,000 population",Normal value,Units,17.2
2014,"Per 100,000 population",Normal value,Units,22.9
2015,"Per 100,000 population",Normal value,Units,20.4
2016,"Per 100,000 population",Normal value,Units,15.9
2017,"Per 100,000 population",Normal value,Units,16.0
2007,"Per 100,000 population",Normal value,Units,91.7
2008,"Per 100,000 population",Normal value,Units,91.4
2009,"Per 100,000 population",Normal value,Units,73.3
2010,"Per 100,000 population",Normal value,Units,70.2
2011,"Per 100,000 population",Normal value,Units,63.0
2012,"Per 100,000 population",Normal value,Units,67.7
2013,"Per 100,000 population",Normal value,Units,51.5
2014,"Per 100,000 population",Normal value,Units,46.2
2015,"Per 100,000 population",Normal value,Units,40.9
2016,"Per 100,000 population",Normal value,Units,45.8
2017,"Per 100,000 population",Normal value,Units,43.8
2007,"Per 100,000 population",Normal value,Units,105.8
2008,"Per 100,000 population",Normal value,Units,101.9
2009,"Per 100,000 population",Normal value,Units,88.7
2010,"Per 100,000 population",Normal value,Units,83.6
2011,"Per 100,000 population",Normal value,Units,78.5
2012,"Per 100,000 population",Normal value,Units,88.9
2013,"Per 100,000 population",Normal value,Units,82.3
2014,"Per 100,000 population",Normal value,Units,75.5
2015,"Per 100,000 population",Normal value,Units,63.4
2016,"Per 100,000 population",Normal value,Units,61.9
2017,"Per 100,000 population",Normal value,Units,47.4
2007,"Per 100,000 population",Normal value,Units,39.5
2008,"Per 100,000 population",Normal value,Units,40.1
2009,"Per 100,000 population",Normal value,Units,36.4
2010,"Per 100,000 population",Normal value,Units,35.1
2011,"Per 100,000 population",Normal value,Units,29.3
2012,"Per 100,000 population",Normal value,Units,25.7
2013,"Per 100,000 population",Normal value,Units,20.8
2014,"Per 100,000 population",Normal value,Units,22.2
2015,"Per 100,000 population",Normal value,Units,17.9
2016,"Per 100,000 population",Normal value,Units,20.3
2017,"Per 100,000 population",Normal value,Units,17.2
2007,"Per 100,000 population",Normal value,Units,26.0
2008,"Per 100,000 population",Normal value,Units,20.4
2009,"Per 100,000 population",Normal value,Units,17.1
2010,"Per 100,000 population",Normal value,Units,15.2
2011,"Per 100,000 population",Normal value,Units,17.6
2012,"Per 100,000 population",Normal value,Units,29.1
2013,"Per 100,000 population",Normal value,Units,14.5
2014,"Per 100,000 population",Normal value,Units,17.5
2015,"Per 100,000 population",Normal value,Units,14.4
2016,"Per 100,000 population",Normal value,Units,13.8
2017,"Per 100,000 population",Normal value,Units,12.1
2007,"Per 100,000 population",Normal value,Units,38.0
2008,"Per 100,000 population",Normal value,Units,32.8
2009,"Per 100,000 population",Normal value,Units,24.7
2010,"Per 100,000 population",Normal value,Units,21.7
2011,"Per 100,000 population",Normal value,Units,24.3
2012,"Per 100,000 population",Normal value,Units,19.1
2013,"Per 100,000 population",Normal value,Units,16.9
2014,"Per 100,000 population",Normal value,Units,13.5
2015,"Per 100,000 population",Normal value,Units,12.7
2016,"Per 100,000 population",Normal value,Units,14.2
2017,"Per 100,000 population",Normal value,Units,14.7
2007,"Per 100,000 population",Normal value,Units,12.0
2008,"Per 100,000 population",Normal value,Units,9.2
2009,"Per 100,000 population",Normal value,Units,8.7
2010,"Per 100,000 population",Normal value,Units,7.6
2011,"Per 100,000 population",Normal value,Units,6.8
2012,"Per 100,000 population",Normal value,Units,7.0
2013,"Per 100,000 population",Normal value,Units,4.9
2014,"Per 100,000 population",Normal value,Units,6.5
2015,"Per 100,000 population",Normal value,Units,5.2
2016,"Per 100,000 population",Normal value,Units,4.8
2017,"Per 100,000 population",Normal value,Units,4.3
2007,"Per 100,000 population",Normal value,Units,23.8
2008,"Per 100,000 population",Normal value,Units,23.3
2009,"Per 100,000 population",Normal value,Units,22.0
2010,"Per 100,000 population",Normal value,Units,17.1
2011,"Per 100,000 population",Normal value,Units,12.9
2012,"Per 100,000 population",Normal value,Units,15.1
2013,"Per 100,000 population",Normal value,Units,8.4
2014,"Per 100,000 population",Normal value,Units,10.1
2015,"Per 100,000 population",Normal value,Units,9.9
2016,"Per 100,000 population",Normal value,Units,11.1
2017,"Per 100,000 population",Normal value,Units,13.0
