Year,Пол,Возраст,Уровень образования,Value
2014,,от 17 до 20 лет,Короткий цикл третичного образования,21.8
2015,,от 17 до 20 лет,Короткий цикл третичного образования,21.1
2016,,от 17 до 20 лет,Короткий цикл третичного образования,22.0
2017,,от 17 до 20 лет,Короткий цикл третичного образования,22.8
2018,,от 17 до 20 лет,Короткий цикл третичного образования,23.1
2019,,от 17 до 20 лет,Короткий цикл третичного образования,23.4
2020,,от 17 до 20 лет,Короткий цикл третичного образования,24.3
2021,,от 17 до 20 лет,Короткий цикл третичного образования,24.2
2010,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,16.0
2013,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,23.8
2014,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,24.3
2015,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,24.2
2016,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,25.2
2017,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,26.4
2018,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,26.4
2019,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,26.8
2020,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,27.8
2021,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,27.6
2010,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,11.2
2013,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,16.8
2014,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,18.0
2015,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,18.0
2016,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,18.8
2017,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,19.3
2018,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,19.9
2019,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,20.1
2020,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,20.9
2021,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,20.9
2010,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.3
2013,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.3
2014,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),23.8
2015,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.6
2016,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),20.2
2017,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),19.1
2018,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),19.8
2019,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.6
2020,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.7
2021,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),28.5
2010,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.3
2013,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.7
2014,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.5
2015,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.6
2016,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.2
2017,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),20.6
2018,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),21.3
2019,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.0
2020,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),28.4
2021,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),29.7
2010,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.4
2013,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),21.8
2014,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),21.2
2015,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),20.6
2016,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),18.3
2017,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),17.4
2018,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),18.3
2019,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),21.2
2020,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),25.0
2021,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),27.5
