Year,Территория,Пол,Value
2017,Нарынская область,,2
2018,Нарынская область,,0
2019,Нарынская область,,0
2020,Нарынская область,,0
2021,Нарынская область,,0
2022,Нарынская область,,0
2007,Нарынская область,Мужчины,4
2008,Нарынская область,Мужчины,4
2009,Нарынская область,Мужчины,0
2010,Нарынская область,Мужчины,4
2011,Нарынская область,Мужчины,0
2012,Нарынская область,Мужчины,4
2013,Нарынская область,Мужчины,5
2014,Нарынская область,Мужчины,2
2015,Нарынская область,Мужчины,6
2016,Нарынская область,Мужчины,1
2017,Нарынская область,Мужчины,2
2018,Нарынская область,Мужчины,0
2019,Нарынская область,Мужчины,0
2020,Нарынская область,Мужчины,0
2021,Нарынская область,Мужчины,0
2022,Нарынская область,Мужчины,0
2007,Нарынская область,Женщины,1
2008,Нарынская область,Женщины,2
2009,Нарынская область,Женщины,0
2010,Нарынская область,Женщины,3
2011,Нарынская область,Женщины,0
2012,Нарынская область,Женщины,1
2013,Нарынская область,Женщины,3
2014,Нарынская область,Женщины,0
2015,Нарынская область,Женщины,3
2016,Нарынская область,Женщины,0
2017,Нарынская область,Женщины,0
2018,Нарынская область,Женщины,0
2019,Нарынская область,Женщины,0
2020,Нарынская область,Женщины,0
2021,Нарынская область,Женщины,0
2022,Нарынская область,Женщины,0
2007,Ошская область,,6
2008,Ошская область,,96
2009,Ошская область,,2
2010,Ошская область,,19
2011,Ошская область,,11
2012,Ошская область,,22
2013,Ошская область,,5
2014,Ошская область,,0
2015,Ошская область,,10
2016,Ошская область,,1
2017,Ошская область,,35
2018,Ошская область,,1
2019,Ошская область,,0
2020,Ошская область,,7
2021,Ошская область,,17
2022,Ошская область,,6
2007,Ошская область,Мужчины,6
2008,Ошская область,Мужчины,50
2009,Ошская область,Мужчины,2
2010,Ошская область,Мужчины,12
2011,Ошская область,Мужчины,6
2012,Ошская область,Мужчины,16
2013,Ошская область,Мужчины,3
2014,Ошская область,Мужчины,0
2015,Ошская область,Мужчины,7
2016,Ошская область,Мужчины,1
2017,Ошская область,Мужчины,17
2018,Ошская область,Мужчины,1
2019,Ошская область,Мужчины,0
2020,Ошская область,Мужчины,7
2021,Ошская область,Мужчины,8
2022,Ошская область,Мужчины,1
2007,Ошская область,Женщины,0
2008,Ошская область,Женщины,46
2009,Ошская область,Женщины,0
2010,Ошская область,Женщины,7
2011,Ошская область,Женщины,5
2012,Ошская область,Женщины,6
2013,Ошская область,Женщины,2
2014,Ошская область,Женщины,0
2015,Ошская область,Женщины,3
2016,Ошская область,Женщины,0
2017,Ошская область,Женщины,18
2018,Ошская область,Женщины,0
2019,Ошская область,Женщины,0
2020,Ошская область,Женщины,0
2021,Ошская область,Женщины,9
2022,Ошская область,Женщины,5
2007,Таласская область,,1
2008,Таласская область,,0
2009,Таласская область,,0
2010,Таласская область,,4
2011,Таласская область,,6
2012,Таласская область,,0
2013,Таласская область,,5
2014,Таласская область,,0
2015,Таласская область,,0
2016,Таласская область,,0
2017,Таласская область,,0
2018,Таласская область,,0
2019,Таласская область,,0
2020,Таласская область,,0
2021,Таласская область,,9
2022,Таласская область,,0
2007,Таласская область,Мужчины,1
2008,Таласская область,Мужчины,0
2009,Таласская область,Мужчины,0
2010,Таласская область,Мужчины,3
2011,Таласская область,Мужчины,4
2012,Таласская область,Мужчины,0
2013,Таласская область,Мужчины,4
2014,Таласская область,Мужчины,0
2015,Таласская область,Мужчины,0
2016,Таласская область,Мужчины,0
2017,Таласская область,Мужчины,0
2018,Таласская область,Мужчины,0
2019,Таласская область,Мужчины,0
2020,Таласская область,Мужчины,0
2021,Таласская область,Мужчины,7
2022,Таласская область,Мужчины,0
2007,Таласская область,Женщины,0
2008,Таласская область,Женщины,0
2009,Таласская область,Женщины,0
2010,Таласская область,Женщины,1
2011,Таласская область,Женщины,2
2012,Таласская область,Женщины,0
2013,Таласская область,Женщины,1
2014,Таласская область,Женщины,0
2015,Таласская область,Женщины,0
2016,Таласская область,Женщины,0
2017,Таласская область,Женщины,0
2018,Таласская область,Женщины,0
2019,Таласская область,Женщины,0
2020,Таласская область,Женщины,0
2021,Таласская область,Женщины,2
2022,Таласская область,Женщины,0
2007,Чуйская область,,35
2008,Чуйская область,,102
2009,Чуйская область,,19
2010,Чуйская область,,46
2011,Чуйская область,,41
2012,Чуйская область,,23
2013,Чуйская область,,22
2014,Чуйская область,,13
2015,Чуйская область,,15
2016,Чуйская область,,14
2017,Чуйская область,,55
2018,Чуйская область,,10
2019,Чуйская область,,6
2020,Чуйская область,,24
2021,Чуйская область,,20
2022,Чуйская область,,10
2007,Чуйская область,Мужчины,28
2008,Чуйская область,Мужчины,76
2009,Чуйская область,Мужчины,12
2010,Чуйская область,Мужчины,32
2011,Чуйская область,Мужчины,30
2012,Чуйская область,Мужчины,15
2013,Чуйская область,Мужчины,12
2014,Чуйская область,Мужчины,7
2015,Чуйская область,Мужчины,8
2016,Чуйская область,Мужчины,11
2017,Чуйская область,Мужчины,31
2018,Чуйская область,Мужчины,7
2019,Чуйская область,Мужчины,2
2020,Чуйская область,Мужчины,10
2021,Чуйская область,Мужчины,9
2022,Чуйская область,Мужчины,4
2007,Чуйская область,Женщины,7
2008,Чуйская область,Женщины,26
2009,Чуйская область,Женщины,7
2010,Чуйская область,Женщины,14
2011,Чуйская область,Женщины,11
2012,Чуйская область,Женщины,8
2013,Чуйская область,Женщины,10
2014,Чуйская область,Женщины,6
2015,Чуйская область,Женщины,7
2016,Чуйская область,Женщины,3
2017,Чуйская область,Женщины,24
2018,Чуйская область,Женщины,3
2019,Чуйская область,Женщины,4
2020,Чуйская область,Женщины,14
2021,Чуйская область,Женщины,11
2022,Чуйская область,Женщины,6
2007,г.Бишкек,,12
2008,г.Бишкек,,1
2009,г.Бишкек,,0
2010,г.Бишкек,,14
2011,г.Бишкек,,19
2012,г.Бишкек,,3
2013,г.Бишкек,,0
2014,г.Бишкек,,2
2015,г.Бишкек,,0
2016,г.Бишкек,,7
2017,г.Бишкек,,0
2018,г.Бишкек,,0
2019,г.Бишкек,,0
2020,г.Бишкек,,0
2021,г.Бишкек,,0
2022,г.Бишкек,,0
2007,г.Бишкек,Мужчины,9
2008,г.Бишкек,Мужчины,1
2009,г.Бишкек,Мужчины,0
2010,г.Бишкек,Мужчины,9
2011,г.Бишкек,Мужчины,11
2012,г.Бишкек,Мужчины,2
2013,г.Бишкек,Мужчины,0
2014,г.Бишкек,Мужчины,0
2015,г.Бишкек,Мужчины,0
2016,г.Бишкек,Мужчины,7
2017,г.Бишкек,Мужчины,0
2018,г.Бишкек,Мужчины,0
2019,г.Бишкек,Мужчины,0
2020,г.Бишкек,Мужчины,0
2021,г.Бишкек,Мужчины,0
2022,г.Бишкек,Мужчины,0
2007,г.Бишкек,Женщины,3
2008,г.Бишкек,Женщины,0
2009,г.Бишкек,Женщины,0
2010,г.Бишкек,Женщины,5
2011,г.Бишкек,Женщины,8
2012,г.Бишкек,Женщины,1
2013,г.Бишкек,Женщины,0
2014,г.Бишкек,Женщины,2
2015,г.Бишкек,Женщины,0
2016,г.Бишкек,Женщины,0
2017,г.Бишкек,Женщины,0
2018,г.Бишкек,Женщины,0
2019,г.Бишкек,Женщины,0
2020,г.Бишкек,Женщины,0
2021,г.Бишкек,Женщины,0
2022,г.Бишкек,Женщины,0
2007,г.Ош,,7
2008,г.Ош,,0
2009,г.Ош,,0
2010,г.Ош,,6
2011,г.Ош,,4
2012,г.Ош,,0
2013,г.Ош,,0
2014,г.Ош,,0
2015,г.Ош,,1
2016,г.Ош,,0
2017,г.Ош,,0
2018,г.Ош,,1
2019,г.Ош,,0
2020,г.Ош,,0
2021,г.Ош,,0
2022,г.Ош,,0
2007,г.Ош,Мужчины,5
2008,г.Ош,Мужчины,0
2009,г.Ош,Мужчины,0
2010,г.Ош,Мужчины,4
2011,г.Ош,Мужчины,2
2012,г.Ош,Мужчины,0
2013,г.Ош,Мужчины,0
2014,г.Ош,Мужчины,0
2015,г.Ош,Мужчины,1
2016,г.Ош,Мужчины,0
2017,г.Ош,Мужчины,0
2018,г.Ош,Мужчины,1
2019,г.Ош,Мужчины,0
2020,г.Ош,Мужчины,0
2021,г.Ош,Мужчины,0
2022,г.Ош,Мужчины,0
2007,г.Ош,Женщины,2
2008,г.Ош,Женщины,0
2009,г.Ош,Женщины,0
2010,г.Ош,Женщины,2
2011,г.Ош,Женщины,2
2012,г.Ош,Женщины,0
2013,г.Ош,Женщины,0
2014,г.Ош,Женщины,0
2015,г.Ош,Женщины,0
2016,г.Ош,Женщины,0
2017,г.Ош,Женщины,0
2018,г.Ош,Женщины,0
2019,г.Ош,Женщины,0
2020,г.Ош,Женщины,0
2021,г.Ош,Женщины,0
2022,г.Ош,Женщины,0
