Year,SERIES,Территория,GeoCode,Value
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,97.6
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,96.3
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,96.0
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,97.0
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,97.5
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,91.8
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,92.5
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,91.652622
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,89.92219
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,90.894108
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,95.0
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,94.9
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,95.5
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,96.8
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,96.4
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,97.2
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,96.6
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,93.7
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,94.0
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,90.5
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,86.5
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,90.3
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,92.018905
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,73.377391
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Бишкек,KG11,81.065681
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,95.2
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,96.7
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,95.4
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,95.7
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,95.2
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,98.5
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,99.2
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,96.0
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,97.6
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,96.7
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,98.0
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,95.2
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,95.586032
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,87.340379
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),г. Ош,KG21,85.088889
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,98.8
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,99.1
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,98.9
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,98.3
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,97.2
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,97.7
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,98.666102
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,95.6
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,99.1
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,97.0
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,94.7
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,96.244215
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,97.245414
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,93.789319
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",,,93.378399
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,99.2
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,99.0
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,99.9
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,97.2
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,95.7
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,100.0
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,99.9
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,98.9
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,97.6
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,99.9
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,98.7
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,92.454654
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,98.254513
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,98.728939
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Баткенская область,KG05,93.091417
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,97.8
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,99.2
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,98.3
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,98.3
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,100.0
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,99.0
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,99.6
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,91.7
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,100.0
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,95.7
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,88.8
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,93.49863
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,93.035179
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,91.334273
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Джалал-Абадская область,KG03,94.815062
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,99.0
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,99.7
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,99.7
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,99.2
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,96.9
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,95.7
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,97.4
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,95.6
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,98.9
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,97.7
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,95.1
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,96.51199
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,97.67698
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,96.09807
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Иссык-Кульская область,KG02,100.537815
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,99.4
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,99.1
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,98.9
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,99.5
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,96.7
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,97.6
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,97.3
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,97.7
2015,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,98.1
2016,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,98.1
2017,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,97.0
2018,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,97.646444
2019,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,98.140747
2020,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,96.233184
2021,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Нарынская область,KG04,100.335258
2007,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,98.9
2008,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,99.5
2009,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,99.8
2010,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,99.7
2011,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,94.7
2012,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,96.6
2013,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,97.9
2014,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)",Ошская область,KG06,96.1
