Year,SERIES,Территория,Тип местности,GeoCode,Value
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,8.39205
2023,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,6.760147
2024,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,1.106688
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,3.0
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,4.2
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,3.1
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,4.496569
2023,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,3.575054
2024,Уровень умеренного или острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,2.549877
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,5.4
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,10.3
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,13.6
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,11.111248
2023,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,5.609199
2024,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,9.202111
2019,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,10.7
2020,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,12.2
2021,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,24.6
2022,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,24.120065
2023,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,23.492625
2024,Уровень умеренного или острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,21.299583
2019,Распространенность острого отсутствия продовольственной безопасности населения,,,,0.8
2020,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.3
2021,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.6
2022,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.48973
2023,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.611027
2024,Распространенность острого отсутствия продовольственной безопасности населения,,,,1.3
2019,Распространенность острого отсутствия продовольственной безопасности населения,,Городская,,1.8
2020,Распространенность острого отсутствия продовольственной безопасности населения,,Городская,,2.9
2021,Распространенность острого отсутствия продовольственной безопасности населения,,Городская,,3.4
2022,Распространенность острого отсутствия продовольственной безопасности населения,,Городская,,3.189262
2023,Распространенность острого отсутствия продовольственной безопасности населения,,Городская,,3.591198
2024,Распространенность острого отсутствия продовольственной безопасности населения,,Городская,,2.8
2019,Распространенность острого отсутствия продовольственной безопасности населения,,Сельская,,0.2
2020,Распространенность острого отсутствия продовольственной безопасности населения,,Сельская,,0.4
2021,Распространенность острого отсутствия продовольственной безопасности населения,,Сельская,,0.6
2022,Распространенность острого отсутствия продовольственной безопасности населения,,Сельская,,0.504288
2023,Распространенность острого отсутствия продовольственной безопасности населения,,Сельская,,0.46905
2024,Распространенность острого отсутствия продовольственной безопасности населения,,Сельская,,0.2
2019,Распространенность острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.1
2020,Распространенность острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.0
2021,Распространенность острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.1
2022,Распространенность острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.054127
2023,Распространенность острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.178064
2024,Распространенность острого отсутствия продовольственной безопасности населения,Баткенская область,,KG05,0.242777
2019,Распространенность острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,2.1
2020,Распространенность острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,2.4
2021,Распространенность острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,3.2
2022,Распространенность острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,2.620321
2023,Распространенность острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,2.632222
2024,Распространенность острого отсутствия продовольственной безопасности населения,Джалал-Абадская область,,KG03,2.99313
2019,Распространенность острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,0.7
2020,Распространенность острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,1.5
2021,Распространенность острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,0.2
2022,Распространенность острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,0.408104
2023,Распространенность острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,1.845182
2024,Распространенность острого отсутствия продовольственной безопасности населения,Иссык-Кульская область,,KG02,0.039091
2019,Распространенность острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,0.1
2020,Распространенность острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,0.4
2021,Распространенность острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,1.3
2022,Распространенность острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,0.835599
2023,Распространенность острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,0.595066
2024,Распространенность острого отсутствия продовольственной безопасности населения,Нарынская область,,KG04,0.316202
2019,Распространенность острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,0.1
2020,Распространенность острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,0.3
2021,Распространенность острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,0.7
2022,Распространенность острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,0.071736
2023,Распространенность острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,0.028566
2024,Распространенность острого отсутствия продовольственной безопасности населения,Ошская область,,KG06,0.056373
2019,Распространенность острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,0.1
2020,Распространенность острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,0.8
2021,Распространенность острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,0.5
2022,Распространенность острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,1.11623
2023,Распространенность острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,0.175273
2024,Распространенность острого отсутствия продовольственной безопасности населения,Таласская область,,KG07,0.11039
2019,Распространенность острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,0.7
2020,Распространенность острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,1.4
2021,Распространенность острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,0.5
2022,Распространенность острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,1.528846
2023,Распространенность острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,1.678344
2024,Распространенность острого отсутствия продовольственной безопасности населения,Чуйская область,,KG08,0.633379
2019,Распространенность острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,0.4
2020,Распространенность острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,1.8
2021,Распространенность острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,0.9
2022,Распространенность острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,0.495484
2023,Распространенность острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,0.457397
2024,Распространенность острого отсутствия продовольственной безопасности населения,г. Бишкек,,KG11,0.211021
2019,Распространенность острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,2.7
2020,Распространенность острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,3.7
2021,Распространенность острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,11.7
2022,Распространенность острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,11.592243
2023,Распространенность острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,11.499084
2024,Распространенность острого отсутствия продовольственной безопасности населения,г. Ош,,KG21,8.662188
