Year,Территория,Пол,Value
2016,Иссык-Кульская область,,3.6
2017,Иссык-Кульская область,,5.8
2018,Иссык-Кульская область,,0.6
2019,Иссык-Кульская область,,0.2
2015,Иссык-Кульская область,Женщины,0.4
2018,Иссык-Кульская область,Женщины,0.0
2019,Иссык-Кульская область,Женщины,0.0
2010,Иссык-Кульская область,Мужчины,5.9
2013,Иссык-Кульская область,Мужчины,9.7
2014,Иссык-Кульская область,Мужчины,10.0
2015,Иссык-Кульская область,Мужчины,12.5
2016,Иссык-Кульская область,Мужчины,7.2
2017,Иссык-Кульская область,Мужчины,11.7
2018,Иссык-Кульская область,Мужчины,1.2
2019,Иссык-Кульская область,Мужчины,0.4
2010,Нарынская область,,1.9
2013,Нарынская область,,0.4
2014,Нарынская область,,3.7
2015,Нарынская область,,1.4
2017,Нарынская область,,1.1
2018,Нарынская область,,0.4
2019,Нарынская область,,0.3
2010,Нарынская область,Женщины,0.8
2014,Нарынская область,Женщины,0.7
2018,Нарынская область,Женщины,0.0
2019,Нарынская область,Женщины,0.0
2010,Нарынская область,Мужчины,3.0
2013,Нарынская область,Мужчины,0.7
2014,Нарынская область,Мужчины,6.5
2015,Нарынская область,Мужчины,2.9
2017,Нарынская область,Мужчины,2.1
2018,Нарынская область,Мужчины,0.7
2019,Нарынская область,Мужчины,0.7
2010,Ошская область,,1.6
2013,Ошская область,,2.3
2014,Ошская область,,0.8
2015,Ошская область,,1.8
2016,Ошская область,,0.9
2017,Ошская область,,0.5
2018,Ошская область,,2.6
2019,Ошская область,,0.4
2014,Ошская область,Женщины,0.2
2018,Ошская область,Женщины,0.0
2019,Ошская область,Женщины,0.0
2010,Ошская область,Мужчины,3.2
2013,Ошская область,Мужчины,4.5
2014,Ошская область,Мужчины,1.5
2015,Ошская область,Мужчины,3.5
2016,Ошская область,Мужчины,1.9
2017,Ошская область,Мужчины,0.9
2018,Ошская область,Мужчины,5.2
2019,Ошская область,Мужчины,0.7
2010,Таласская область,,6.9
2013,Таласская область,,3.3
2014,Таласская область,,4.1
2015,Таласская область,,7.2
2016,Таласская область,,2.0
2017,Таласская область,,1.6
2018,Таласская область,,1.9
2019,Таласская область,,4.9
2010,Таласская область,Женщины,0.9
2014,Таласская область,Женщины,0.8
2018,Таласская область,Женщины,0.0
2019,Таласская область,Женщины,0.0
2010,Таласская область,Мужчины,13.0
2013,Таласская область,Мужчины,6.6
2014,Таласская область,Мужчины,7.3
2015,Таласская область,Мужчины,14.3
2016,Таласская область,Мужчины,3.9
2017,Таласская область,Мужчины,3.1
2018,Таласская область,Мужчины,3.8
2019,Таласская область,Мужчины,9.7
2010,Чуйская область,,31.8
2013,Чуйская область,,20.4
2014,Чуйская область,,15.2
2015,Чуйская область,,12.3
2016,Чуйская область,,17.3
2017,Чуйская область,,11.3
2018,Чуйская область,,6.4
2019,Чуйская область,,5.8
2010,Чуйская область,Женщины,2.7
2013,Чуйская область,Женщины,0.5
2014,Чуйская область,Женщины,0.9
2015,Чуйская область,Женщины,1.6
2016,Чуйская область,Женщины,2.0
2017,Чуйская область,Женщины,0.4
2018,Чуйская область,Женщины,0.8
2019,Чуйская область,Женщины,0.4
2010,Чуйская область,Мужчины,61.9
2013,Чуйская область,Мужчины,41.1
2014,Чуйская область,Мужчины,29.9
2015,Чуйская область,Мужчины,23.3
2016,Чуйская область,Мужчины,33.1
2017,Чуйская область,Мужчины,22.5
2018,Чуйская область,Мужчины,12.2
2019,Чуйская область,Мужчины,11.3
2010,г. Бишкек,,37.2
2013,г. Бишкек,,22.1
2014,г. Бишкек,,23.3
2015,г. Бишкек,,16.0
2016,г. Бишкек,,20.7
2017,г. Бишкек,,9.1
2018,г. Бишкек,,13.2
2019,г. Бишкек,,6.4
2010,г. Бишкек,Женщины,6.6
2013,г. Бишкек,Женщины,2.1
2014,г. Бишкек,Женщины,4.6
2015,г. Бишкек,Женщины,0.8
2016,г. Бишкек,Женщины,1.2
2017,г. Бишкек,Женщины,0.9
2018,г. Бишкек,Женщины,0.9
2019,г. Бишкек,Женщины,0.0
2010,г. Бишкек,Мужчины,72.5
2013,г. Бишкек,Мужчины,45.1
2014,г. Бишкек,Мужчины,44.7
2015,г. Бишкек,Мужчины,33.5
2016,г. Бишкек,Мужчины,43.0
2017,г. Бишкек,Мужчины,18.3
2018,г. Бишкек,Мужчины,27.2
2019,г. Бишкек,Мужчины,13.7
2010,г. Ош,,15.5
2013,г. Ош,,5.3
2014,г. Ош,,6.7
2015,г. Ош,,16.8
2016,г. Ош,,13.3
2017,г. Ош,,2.8
2018,г. Ош,,9.9
2019,г. Ош,,2.9
2010,г. Ош,Женщины,1.5
2013,г. Ош,Женщины,0.7
2015,г. Ош,Женщины,0.7
2018,г. Ош,Женщины,2.0
2019,г. Ош,Женщины,0.6
2010,г. Ош,Мужчины,30.8
2013,г. Ош,Мужчины,10.3
2014,г. Ош,Мужчины,14.0
2015,г. Ош,Мужчины,34.2
2016,г. Ош,Мужчины,27.5
2017,г. Ош,Мужчины,5.8
2018,г. Ош,Мужчины,18.3
2019,г. Ош,Мужчины,5.4
