Year,Пол,Вид экономической деятельности,Value
2015,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",23517.5
2016,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",23702.8
2016,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",24212.7
2017,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",24394.9
2017,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",24266.4
2018,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",24855.0
2018,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",26772.1
2011,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",7097.9
2011,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",8512.1
2012,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",7874.8
2012,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",9348.3
2013,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",8309.5
2013,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",10479.9
2014,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",8752.5
2014,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",12181.5
2015,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",9335.7
2015,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",11772.3
2016,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",10668.2
2016,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",12166.8
2017,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",11217.0
2017,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",13276.3
2018,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",11809.7
2018,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",14015.9
2011,Женщины,Строительство,7461.7
2011,Мужчины,Строительство,9692.9
2012,Женщины,Строительство,8708.8
2012,Мужчины,Строительство,10047.4
2013,Женщины,Строительство,10101.0
2013,Мужчины,Строительство,10554.2
2014,Женщины,Строительство,8990.4
2014,Мужчины,Строительство,11811.2
2015,Женщины,Строительство,8991.5
2015,Мужчины,Строительство,11689.2
2016,Женщины,Строительство,11706.6
2016,Мужчины,Строительство,14730.1
2017,Женщины,Строительство,14489.9
2017,Мужчины,Строительство,16612.5
2018,Женщины,Строительство,13824.4
2018,Мужчины,Строительство,16640.2
2011,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,10848.1
2011,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,13252.0
2012,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,10912.9
2012,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,14999.1
2013,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,11559.5
2013,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,15591.8
2014,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,13767.4
2014,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,17200.5
2015,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,12455.4
2015,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,15170.8
2016,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,14647.7
2016,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,17360.8
2017,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,14808.3
2017,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,16556.2
2018,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,16022.1
2018,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,17624.1
2011,Женщины,Транспорт и складское хозяйство,9395.1
2011,Мужчины,Транспорт и складское хозяйство,12164.4
2012,Женщины,Транспорт и складское хозяйство,10325.0
2012,Мужчины,Транспорт и складское хозяйство,15698.9
2013,Женщины,Транспорт и складское хозяйство,11036.2
2013,Мужчины,Транспорт и складское хозяйство,17090.7
2014,Женщины,Транспорт и складское хозяйство,13857.9
2014,Мужчины,Транспорт и складское хозяйство,21369.2
2015,Женщины,Транспорт и складское хозяйство,14205.6
2015,Мужчины,Транспорт и складское хозяйство,22780.0
2016,Женщины,Транспорт и складское хозяйство,13837.2
2016,Мужчины,Транспорт и складское хозяйство,22726.5
2017,Женщины,Транспорт и складское хозяйство,16074.1
2017,Мужчины,Транспорт и складское хозяйство,25482.6
2018,Женщины,Транспорт и складское хозяйство,14876.6
2018,Мужчины,Транспорт и складское хозяйство,25678.1
2011,Женщины,Размещение и общественное питание,7487.3
2011,Мужчины,Размещение и общественное питание,10371.4
2012,Женщины,Размещение и общественное питание,10012.7
2012,Мужчины,Размещение и общественное питание,10772.3
2013,Женщины,Размещение и общественное питание,9877.6
2013,Мужчины,Размещение и общественное питание,11218.6
2014,Женщины,Размещение и общественное питание,9314.5
2014,Мужчины,Размещение и общественное питание,12369.8
2015,Женщины,Размещение и общественное питание,9799.1
2015,Мужчины,Размещение и общественное питание,12729.2
2016,Женщины,Размещение и общественное питание,9837.6
2016,Мужчины,Размещение и общественное питание,13681.8
2017,Женщины,Размещение и общественное питание,11401.1
2017,Мужчины,Размещение и общественное питание,11978.9
2018,Женщины,Размещение и общественное питание,12791.0
2018,Мужчины,Размещение и общественное питание,15929.9
2011,Женщины,Информация и связь,14988.1
2011,Мужчины,Информация и связь,19715.7
2012,Женщины,Информация и связь,15828.9
2012,Мужчины,Информация и связь,21524.7
2013,Женщины,Информация и связь,18211.4
2013,Мужчины,Информация и связь,24850.9
2014,Женщины,Информация и связь,18929.5
2014,Мужчины,Информация и связь,24702.2
2015,Женщины,Информация и связь,19306.4
2015,Мужчины,Информация и связь,28211.8
2016,Женщины,Информация и связь,27087.6
2016,Мужчины,Информация и связь,24422.4
2017,Женщины,Информация и связь,24367.0
2017,Мужчины,Информация и связь,30262.8
2018,Женщины,Информация и связь,26919.8
2018,Мужчины,Информация и связь,39038.2
2011,Женщины,Финансовая деятельность и страхование,18256.9
2011,Мужчины,Финансовая деятельность и страхование,23772.5
2012,Женщины,Финансовая деятельность и страхование,19804.3
2012,Мужчины,Финансовая деятельность и страхование,25192.0
2013,Женщины,Финансовая деятельность и страхование,21181.1
2013,Мужчины,Финансовая деятельность и страхование,26902.3
2014,Женщины,Финансовая деятельность и страхование,24106.8
2014,Мужчины,Финансовая деятельность и страхование,32503.3
2015,Женщины,Финансовая деятельность и страхование,24028.0
2015,Мужчины,Финансовая деятельность и страхование,31556.2
2016,Женщины,Финансовая деятельность и страхование,24482.4
2016,Мужчины,Финансовая деятельность и страхование,32357.0
2017,Женщины,Финансовая деятельность и страхование,24810.5
2017,Мужчины,Финансовая деятельность и страхование,36351.7
2018,Женщины,Финансовая деятельность и страхование,28331.0
2018,Мужчины,Финансовая деятельность и страхование,36192.1
2011,Женщины,Операции с недвижимым имуществом,6003.0
2011,Мужчины,Операции с недвижимым имуществом,7571.4
2012,Женщины,Операции с недвижимым имуществом,7520.8
2012,Мужчины,Операции с недвижимым имуществом,8564.3
2013,Женщины,Операции с недвижимым имуществом,7942.1
2013,Мужчины,Операции с недвижимым имуществом,9644.7
2014,Женщины,Операции с недвижимым имуществом,9733.9
2014,Мужчины,Операции с недвижимым имуществом,10498.3
2015,Женщины,Операции с недвижимым имуществом,10921.3
2015,Мужчины,Операции с недвижимым имуществом,12427.6
2016,Женщины,Операции с недвижимым имуществом,10633.5
2016,Мужчины,Операции с недвижимым имуществом,12024.1
2017,Женщины,Операции с недвижимым имуществом,11195.2
2017,Мужчины,Операции с недвижимым имуществом,13722.1
2018,Женщины,Операции с недвижимым имуществом,12556.1
2018,Мужчины,Операции с недвижимым имуществом,13757.5
2011,Женщины,"Профессиональная, научная и техническая деятельность",10690.0
2011,Мужчины,"Профессиональная, научная и техническая деятельность",15826.9
2012,Женщины,"Профессиональная, научная и техническая деятельность",12009.8
2012,Мужчины,"Профессиональная, научная и техническая деятельность",16723.3
2013,Женщины,"Профессиональная, научная и техническая деятельность",12487.8
2013,Мужчины,"Профессиональная, научная и техническая деятельность",16335.8
2014,Женщины,"Профессиональная, научная и техническая деятельность",13570.4
2014,Мужчины,"Профессиональная, научная и техническая деятельность",19122.8
2015,Женщины,"Профессиональная, научная и техническая деятельность",17195.1
2015,Мужчины,"Профессиональная, научная и техническая деятельность",14561.4
2016,Женщины,"Профессиональная, научная и техническая деятельность",13596.0
2016,Мужчины,"Профессиональная, научная и техническая деятельность",17860.3
2017,Женщины,"Профессиональная, научная и техническая деятельность",15840.4
2017,Мужчины,"Профессиональная, научная и техническая деятельность",25270.8
2018,Женщины,"Профессиональная, научная и техническая деятельность",16417.0
2018,Мужчины,"Профессиональная, научная и техническая деятельность",22722.1
2011,Женщины,Деятельность в сфере административных и вспомогательных услуг,6066.8
2011,Мужчины,Деятельность в сфере административных и вспомогательных услуг,7583.4
2012,Женщины,Деятельность в сфере административных и вспомогательных услуг,6684.2
2012,Мужчины,Деятельность в сфере административных и вспомогательных услуг,8698.8
2013,Женщины,Деятельность в сфере административных и вспомогательных услуг,7577.1
2013,Мужчины,Деятельность в сфере административных и вспомогательных услуг,9330.9
2014,Женщины,Деятельность в сфере административных и вспомогательных услуг,9014.9
2014,Мужчины,Деятельность в сфере административных и вспомогательных услуг,11180.8
2015,Женщины,Деятельность в сфере административных и вспомогательных услуг,10734.0
2015,Мужчины,Деятельность в сфере административных и вспомогательных услуг,11421.0
2016,Женщины,Деятельность в сфере административных и вспомогательных услуг,10033.8
2016,Мужчины,Деятельность в сфере административных и вспомогательных услуг,11962.3
2017,Женщины,Деятельность в сфере административных и вспомогательных услуг,11458.3
2017,Мужчины,Деятельность в сфере административных и вспомогательных услуг,12358.4
2018,Женщины,Деятельность в сфере административных и вспомогательных услуг,10579.6
2018,Мужчины,Деятельность в сфере административных и вспомогательных услуг,13580.1
2011,Женщины,Государственное управление и оборона; обязательное социальное страхование,6571.7
2011,Мужчины,Государственное управление и оборона; обязательное социальное страхование,9048.7
2012,Женщины,Государственное управление и оборона; обязательное социальное страхование,8196.1
2012,Мужчины,Государственное управление и оборона; обязательное социальное страхование,10650.3
2013,Женщины,Государственное управление и оборона; обязательное социальное страхование,11594.3
2013,Мужчины,Государственное управление и оборона; обязательное социальное страхование,13047.5
2014,Женщины,Государственное управление и оборона; обязательное социальное страхование,11765.2
2014,Мужчины,Государственное управление и оборона; обязательное социальное страхование,14003.1
2015,Женщины,Государственное управление и оборона; обязательное социальное страхование,11975.8
2015,Мужчины,Государственное управление и оборона; обязательное социальное страхование,14265.1
2016,Женщины,Государственное управление и оборона; обязательное социальное страхование,12925.8
2016,Мужчины,Государственное управление и оборона; обязательное социальное страхование,15570.6
2017,Женщины,Государственное управление и оборона; обязательное социальное страхование,14505.9
2017,Мужчины,Государственное управление и оборона; обязательное социальное страхование,17176.2
2018,Женщины,Государственное управление и оборона; обязательное социальное страхование,15652.5
2018,Мужчины,Государственное управление и оборона; обязательное социальное страхование,18079.9
2011,Женщины,Образование,7361.5
2011,Мужчины,Образование,8726.2
2012,Женщины,Образование,7317.6
2012,Мужчины,Образование,8140.4
2013,Женщины,Образование,7214.6
2013,Мужчины,Образование,8411.4
2014,Женщины,Образование,7681.8
2014,Мужчины,Образование,8499.4
2015,Женщины,Образование,9970.8
2015,Мужчины,Образование,10479.7
2016,Женщины,Образование,10536.7
2016,Мужчины,Образование,10653.3
2017,Женщины,Образование,10748.5
2017,Мужчины,Образование,11155.5
2018,Женщины,Образование,10691.4
2018,Мужчины,Образование,11006.4
2011,Женщины,Деятельность в сфере здравоохранения и социальных услуг,9256.1
2011,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9584.5
2012,Женщины,Деятельность в сфере здравоохранения и социальных услуг,8892.0
2012,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9914.5
2013,Женщины,Деятельность в сфере здравоохранения и социальных услуг,8994.9
2013,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,8690.3
2014,Женщины,Деятельность в сфере здравоохранения и социальных услуг,8966.5
2014,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9027.6
2015,Женщины,Деятельность в сфере здравоохранения и социальных услуг,9394.4
2015,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9319.0
2016,Женщины,Деятельность в сфере здравоохранения и социальных услуг,9771.3
2016,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9519.9
2017,Женщины,Деятельность в сфере здравоохранения и социальных услуг,9927.4
2017,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9677.7
2018,Женщины,Деятельность в сфере здравоохранения и социальных услуг,10481.8
2018,Мужчины,Деятельность в сфере здравоохранения и социальных услуг,9584.5
2011,Женщины,"Искусство, сфера развлечений и отдыха",6350.6
2011,Мужчины,"Искусство, сфера развлечений и отдыха",7746.8
2012,Женщины,"Искусство, сфера развлечений и отдыха",6399.4
2012,Мужчины,"Искусство, сфера развлечений и отдыха",6702.8
2013,Женщины,"Искусство, сфера развлечений и отдыха",7565.3
2013,Мужчины,"Искусство, сфера развлечений и отдыха",8250.6
2014,Женщины,"Искусство, сфера развлечений и отдыха",7696.6
2014,Мужчины,"Искусство, сфера развлечений и отдыха",8975.0
2015,Женщины,"Искусство, сфера развлечений и отдыха",8553.4
2015,Мужчины,"Искусство, сфера развлечений и отдыха",9292.3
2016,Женщины,"Искусство, сфера развлечений и отдыха",8752.3
2016,Мужчины,"Искусство, сфера развлечений и отдыха",8221.4
2017,Женщины,"Искусство, сфера развлечений и отдыха",8451.0
2017,Мужчины,"Искусство, сфера развлечений и отдыха",8179.0
2018,Женщины,"Искусство, сфера развлечений и отдыха",8799.2
2018,Мужчины,"Искусство, сфера развлечений и отдыха",8061.2
2011,Женщины,Прочие виды деятельности в сфере услуг,8458.9
2011,Мужчины,Прочие виды деятельности в сфере услуг,8192.8
2012,Женщины,Прочие виды деятельности в сфере услуг,8608.0
2012,Мужчины,Прочие виды деятельности в сфере услуг,8232.4
2013,Женщины,Прочие виды деятельности в сфере услуг,9771.5
2013,Мужчины,Прочие виды деятельности в сфере услуг,9269.2
2014,Женщины,Прочие виды деятельности в сфере услуг,11030.5
2014,Мужчины,Прочие виды деятельности в сфере услуг,10565.2
2015,Женщины,Прочие виды деятельности в сфере услуг,12707.0
2015,Мужчины,Прочие виды деятельности в сфере услуг,12664.0
2016,Женщины,Прочие виды деятельности в сфере услуг,15307.4
2016,Мужчины,Прочие виды деятельности в сфере услуг,14474.7
2017,Женщины,Прочие виды деятельности в сфере услуг,18606.6
2017,Мужчины,Прочие виды деятельности в сфере услуг,19061.7
2018,Женщины,Прочие виды деятельности в сфере услуг,17807.6
2018,Мужчины,Прочие виды деятельности в сфере услуг,11649.5
