Year,Территория,Пол,GeoCode,Value
2019,Ошская область,Женщины,KG06,3
2020,Ошская область,Женщины,KG06,10
2021,Ошская область,Женщины,KG06,12
2022,Ошская область,Женщины,KG06,7
2023,Ошская область,Женщины,KG06,10
2007,Таласская область,,KG07,36
2008,Таласская область,,KG07,44
2009,Таласская область,,KG07,44
2010,Таласская область,,KG07,35
2011,Таласская область,,KG07,26
2012,Таласская область,,KG07,55
2013,Таласская область,,KG07,37
2014,Таласская область,,KG07,41
2015,Таласская область,,KG07,68
2016,Таласская область,,KG07,63
2017,Таласская область,,KG07,23
2018,Таласская область,,KG07,57
2019,Таласская область,,KG07,90
2020,Таласская область,,KG07,74
2021,Таласская область,,KG07,125
2022,Таласская область,,KG07,44
2023,Таласская область,,KG07,40
2007,Таласская область,Мужчины,KG07,54
2008,Таласская область,Мужчины,KG07,89
2009,Таласская область,Мужчины,KG07,79
2010,Таласская область,Мужчины,KG07,69
2011,Таласская область,Мужчины,KG07,43
2012,Таласская область,Мужчины,KG07,109
2013,Таласская область,Мужчины,KG07,74
2014,Таласская область,Мужчины,KG07,65
2015,Таласская область,Мужчины,KG07,95
2016,Таласская область,Мужчины,KG07,125
2017,Таласская область,Мужчины,KG07,46
2018,Таласская область,Мужчины,KG07,106
2019,Таласская область,Мужчины,KG07,171
2020,Таласская область,Мужчины,KG07,147
2021,Таласская область,Мужчины,KG07,225
2022,Таласская область,Мужчины,KG07,88
2023,Таласская область,Мужчины,KG07,65
2007,Таласская область,Женщины,KG07,18
2009,Таласская область,Женщины,KG07,9
2011,Таласская область,Женщины,KG07,9
2014,Таласская область,Женщины,KG07,16
2015,Таласская область,Женщины,KG07,40
2018,Таласская область,Женщины,KG07,8
2019,Таласская область,Женщины,KG07,8
2021,Таласская область,Женщины,KG07,22
2023,Таласская область,Женщины,KG07,15
2007,Чуйская область,,KG08,158
2008,Чуйская область,,KG08,160
2009,Чуйская область,,KG08,119
2010,Чуйская область,,KG08,111
2011,Чуйская область,,KG08,77
2012,Чуйская область,,KG08,94
2013,Чуйская область,,KG08,74
2014,Чуйская область,,KG08,79
2015,Чуйская область,,KG08,63
2016,Чуйская область,,KG08,79
2017,Чуйская область,,KG08,79
2018,Чуйская область,,KG08,71
2019,Чуйская область,,KG08,48
2020,Чуйская область,,KG08,40
2021,Чуйская область,,KG08,64
2022,Чуйская область,,KG08,30
2023,Чуйская область,,KG08,44
2007,Чуйская область,Мужчины,KG08,242
2008,Чуйская область,Мужчины,KG08,222
2009,Чуйская область,Мужчины,KG08,169
2010,Чуйская область,Мужчины,KG08,168
2011,Чуйская область,Мужчины,KG08,124
2012,Чуйская область,Мужчины,KG08,130
2013,Чуйская область,Мужчины,KG08,127
2014,Чуйская область,Мужчины,KG08,118
2015,Чуйская область,Мужчины,KG08,92
2016,Чуйская область,Мужчины,KG08,134
2017,Чуйская область,Мужчины,KG08,111
2018,Чуйская область,Мужчины,KG08,107
2019,Чуйская область,Мужчины,KG08,77
2020,Чуйская область,Мужчины,KG08,59
2021,Чуйская область,Мужчины,KG08,104
2022,Чуйская область,Мужчины,KG08,42
2023,Чуйская область,Мужчины,KG08,62
2007,Чуйская область,Женщины,KG08,77
2008,Чуйская область,Женщины,KG08,101
2009,Чуйская область,Женщины,KG08,71
2010,Чуйская область,Женщины,KG08,56
2011,Чуйская область,Женщины,KG08,31
2012,Чуйская область,Женщины,KG08,59
2013,Чуйская область,Женщины,KG08,23
2014,Чуйская область,Женщины,KG08,41
2015,Чуйская область,Женщины,KG08,34
2016,Чуйская область,Женщины,KG08,26
2017,Чуйская область,Женщины,KG08,47
2018,Чуйская область,Женщины,KG08,36
2019,Чуйская область,Женщины,KG08,21
2020,Чуйская область,Женщины,KG08,22
2021,Чуйская область,Женщины,KG08,26
2022,Чуйская область,Женщины,KG08,19
2023,Чуйская область,Женщины,KG08,26
2007,г. Бишкек,,KG11,241
2008,г. Бишкек,,KG11,243
2009,г. Бишкек,,KG11,210
2010,г. Бишкек,,KG11,163
2011,г. Бишкек,,KG11,160
2012,г. Бишкек,,KG11,122
2013,г. Бишкек,,KG11,99
2014,г. Бишкек,,KG11,100
2015,г. Бишкек,,KG11,81
2016,г. Бишкек,,KG11,81
2017,г. Бишкек,,KG11,66
2018,г. Бишкек,,KG11,65
2019,г. Бишкек,,KG11,33
2020,г. Бишкек,,KG11,32
2021,г. Бишкек,,KG11,52
2022,г. Бишкек,,KG11,41
2023,г. Бишкек,,KG11,47
2007,г. Бишкек,Мужчины,KG11,424
2008,г. Бишкек,Мужчины,KG11,401
2009,г. Бишкек,Мужчины,KG11,370
2010,г. Бишкек,Мужчины,KG11,293
2011,г. Бишкек,Мужчины,KG11,276
2012,г. Бишкек,Мужчины,KG11,212
2013,г. Бишкек,Мужчины,KG11,173
2014,г. Бишкек,Мужчины,KG11,169
2015,г. Бишкек,Мужчины,KG11,133
2016,г. Бишкек,Мужчины,KG11,128
2017,г. Бишкек,Мужчины,KG11,104
2018,г. Бишкек,Мужчины,KG11,105
2019,г. Бишкек,Мужчины,KG11,57
2020,г. Бишкек,Мужчины,KG11,48
2021,г. Бишкек,Мужчины,KG11,96
2022,г. Бишкек,Мужчины,KG11,78
2023,г. Бишкек,Мужчины,KG11,86
2007,г. Бишкек,Женщины,KG11,82
2008,г. Бишкек,Женщины,KG11,106
2009,г. Бишкек,Женщины,KG11,71
2010,г. Бишкек,Женщины,KG11,50
2011,г. Бишкек,Женщины,KG11,60
2012,г. Бишкек,Женщины,KG11,44
2013,г. Бишкек,Женщины,KG11,35
2014,г. Бишкек,Женщины,KG11,40
2015,г. Бишкек,Женщины,KG11,36
2016,г. Бишкек,Женщины,KG11,41
2017,г. Бишкек,Женщины,KG11,32
2018,г. Бишкек,Женщины,KG11,30
2019,г. Бишкек,Женщины,KG11,11
2020,г. Бишкек,Женщины,KG11,18
2021,г. Бишкек,Женщины,KG11,12
2022,г. Бишкек,Женщины,KG11,10
2023,г. Бишкек,Женщины,KG11,14
2007,г. Ош,,KG21,16
2008,г. Ош,,KG21,35
2009,г. Ош,,KG21,31
2010,г. Ош,,KG21,39
2011,г. Ош,,KG21,35
2012,г. Ош,,KG21,58
2013,г. Ош,,KG21,49
2014,г. Ош,,KG21,19
2015,г. Ош,,KG21,44
2016,г. Ош,,KG21,61
2017,г. Ош,,KG21,35
2018,г. Ош,,KG21,27
2019,г. Ош,,KG21,16
2020,г. Ош,,KG21,35
2021,г. Ош,,KG21,9
2022,г. Ош,,KG21,8
2023,г. Ош,,KG21,5
2007,г. Ош,Мужчины,KG21,8
2008,г. Ош,Мужчины,KG21,49
2009,г. Ош,Мужчины,KG21,40
2010,г. Ош,Мужчины,KG21,73
2011,г. Ош,Мужчины,KG21,73
2012,г. Ош,Мужчины,KG21,89
2013,г. Ош,Мужчины,KG21,87
2014,г. Ош,Мужчины,KG21,39
2015,г. Ош,Мужчины,KG21,76
2016,г. Ош,Мужчины,KG21,82
2017,г. Ош,Мужчины,KG21,51
2018,г. Ош,Мужчины,KG21,49
2019,г. Ош,Мужчины,KG21,34
2020,г. Ош,Мужчины,KG21,32
2021,г. Ош,Мужчины,KG21,19
2022,г. Ош,Мужчины,KG21,16
2023,г. Ош,Мужчины,KG21,5
2007,г. Ош,Женщины,KG21,22
2008,г. Ош,Женщины,KG21,22
2009,г. Ош,Женщины,KG21,22
2010,г. Ош,Женщины,KG21,7
2012,г. Ош,Женщины,KG21,30
2013,г. Ош,Женщины,KG21,15
2015,г. Ош,Женщины,KG21,14
2016,г. Ош,Женщины,KG21,42
2017,г. Ош,Женщины,KG21,20
2018,г. Ош,Женщины,KG21,7
2020,г. Ош,Женщины,KG21,37
2023,г. Ош,Женщины,KG21,6
