Year,Территория,Пол,Value
2015,Чуйская область,Женщины,4.7
2016,Чуйская область,Женщины,4.2
2017,Чуйская область,Женщины,2.6
2018,Чуйская область,Женщины,4.864719
2019,Чуйская область,Женщины,3.731746
2020,Чуйская область,Женщины,2.728983
2007,Чуйская область,Мужчины,15.445168
2008,Чуйская область,Мужчины,17.863614
2009,Чуйская область,Мужчины,15.432489
2010,Чуйская область,Мужчины,7.021521
2011,Чуйская область,Мужчины,11.674872
2012,Чуйская область,Мужчины,10.522735
2013,Чуйская область,Мужчины,7.0
2014,Чуйская область,Мужчины,9.2
2015,Чуйская область,Мужчины,6.9
2016,Чуйская область,Мужчины,6.6
2017,Чуйская область,Мужчины,7.1
2018,Чуйская область,Мужчины,7.849328
2019,Чуйская область,Мужчины,6.408052
2020,Чуйская область,Мужчины,3.054579
2007,г. Бишкек,,19.444499
2008,г. Бишкек,,16.559633
2009,г. Бишкек,,18.582512
2010,г. Бишкек,,17.465079
2011,г. Бишкек,,16.607541
2012,г. Бишкек,,17.864088
2013,г. Бишкек,,10.1
2014,г. Бишкек,,9.5
2015,г. Бишкек,,7.9
2016,г. Бишкек,,10.1
2017,г. Бишкек,,10.1
2018,г. Бишкек,,8.968212
2019,г. Бишкек,,5.189414
2020,г. Бишкек,,3.947387
2007,г. Бишкек,Женщины,15.310366
2008,г. Бишкек,Женщины,11.046411
2009,г. Бишкек,Женщины,10.882674
2010,г. Бишкек,Женщины,9.84267
2011,г. Бишкек,Женщины,10.76723
2012,г. Бишкек,Женщины,7.817766
2013,г. Бишкек,Женщины,7.4
2014,г. Бишкек,Женщины,7.1
2015,г. Бишкек,Женщины,4.6
2016,г. Бишкек,Женщины,7.0
2017,г. Бишкек,Женщины,7.6
2018,г. Бишкек,Женщины,5.929539
2019,г. Бишкек,Женщины,2.894948
2020,г. Бишкек,Женщины,3.60312
2007,г. Бишкек,Мужчины,24.204157
2008,г. Бишкек,Мужчины,22.932791
2009,г. Бишкек,Мужчины,27.489325
2010,г. Бишкек,Мужчины,26.266739
2011,г. Бишкек,Мужчины,23.342207
2012,г. Бишкек,Мужчины,29.427859
2013,г. Бишкек,Мужчины,13.1
2014,г. Бишкек,Мужчины,12.3
2015,г. Бишкек,Мужчины,11.8
2016,г. Бишкек,Мужчины,13.7
2017,г. Бишкек,Мужчины,12.9
2018,г. Бишкек,Мужчины,12.420425
2019,г. Бишкек,Мужчины,7.788593
2020,г. Бишкек,Мужчины,4.252092
2007,г. Ош,,40.964579
2008,г. Ош,,24.854562
2009,г. Ош,,23.592385
2010,г. Ош,,13.593447
2011,г. Ош,,19.152071
2012,г. Ош,,29.440248
2013,г. Ош,,21.3
2014,г. Ош,,24.7
2015,г. Ош,,22.3
2016,г. Ош,,14.0
2017,г. Ош,,4.9
2018,г. Ош,,7.479508
2019,г. Ош,,4.575268
2020,г. Ош,,0.0
2007,г. Ош,Женщины,35.243744
2008,г. Ош,Женщины,19.402116
2009,г. Ош,Женщины,14.139324
2010,г. Ош,Женщины,11.947431
2011,г. Ош,Женщины,11.255262
2012,г. Ош,Женщины,20.837209
2013,г. Ош,Женщины,12.4
2014,г. Ош,Женщины,20.9
2015,г. Ош,Женщины,14.9
2016,г. Ош,Женщины,12.5
2017,г. Ош,Женщины,4.1
2018,г. Ош,Женщины,3.953533
2019,г. Ош,Женщины,2.537202
2020,г. Ош,Женщины,0.0
2007,г. Ош,Мужчины,47.169044
2008,г. Ош,Мужчины,30.771224
2009,г. Ош,Мужчины,33.821599
2010,г. Ош,Мужчины,15.377518
2011,г. Ош,Мужчины,27.737893
2012,г. Ош,Мужчины,38.780044
2013,г. Ош,Мужчины,30.9
2014,г. Ош,Мужчины,28.7
2015,г. Ош,Мужчины,30.4
2016,г. Ош,Мужчины,15.6
2017,г. Ош,Мужчины,5.8
2018,г. Ош,Мужчины,11.238007
2019,г. Ош,Мужчины,6.741316
2020,г. Ош,Мужчины,0.0
