Year,Территория,Пол,GeoCode,Value
2014,Чуйская область,,KG08,13.354037
2015,Чуйская область,,KG08,12.614628
2016,Чуйская область,,KG08,10.407594
2017,Чуйская область,,KG08,6.655345
2018,Чуйская область,,KG08,6.802173
2019,Чуйская область,,KG08,7.596376
2020,Чуйская область,,KG08,6.9
2021,Чуйская область,,KG08,7.9
2022,Чуйская область,,KG08,7.144295
2010,Чуйская область,Мужчины,KG08,18.399617
2011,Чуйская область,Мужчины,KG08,14.611961
2012,Чуйская область,Мужчины,KG08,16.048502
2013,Чуйская область,Мужчины,KG08,16.233478
2014,Чуйская область,Мужчины,KG08,13.941808
2015,Чуйская область,Мужчины,KG08,14.593527
2016,Чуйская область,Мужчины,KG08,11.048785
2017,Чуйская область,Мужчины,KG08,6.805767
2018,Чуйская область,Мужчины,KG08,7.498619
2019,Чуйская область,Мужчины,KG08,8.222644
2020,Чуйская область,Мужчины,KG08,7.8
2021,Чуйская область,Мужчины,KG08,8.4
2022,Чуйская область,Мужчины,KG08,7.530562
2010,Чуйская область,Женщины,KG08,13.590844
2011,Чуйская область,Женщины,KG08,16.166282
2012,Чуйская область,Женщины,KG08,12.441093
2013,Чуйская область,Женщины,KG08,12.721922
2014,Чуйская область,Женщины,KG08,12.736536
2015,Чуйская область,Женщины,KG08,10.461424
2016,Чуйская область,Женщины,KG08,9.733881
2017,Чуйская область,Женщины,KG08,6.497175
2018,Чуйская область,Женщины,KG08,6.07753
2019,Чуйская область,Женщины,KG08,6.934581
2020,Чуйская область,Женщины,KG08,5.9
2021,Чуйская область,Женщины,KG08,7.4
2022,Чуйская область,Женщины,KG08,6.735053
2007,г. Бишкек,,KG11,31.519613
2008,г. Бишкек,,KG11,29.87456
2009,г. Бишкек,,KG11,27.261589
2010,г. Бишкек,,KG11,25.128553
2011,г. Бишкек,,KG11,24.125336
2012,г. Бишкек,,KG11,21.38653
2013,г. Бишкек,,KG11,22.854904
2014,г. Бишкек,,KG11,25.985737
2015,г. Бишкек,,KG11,23.028611
2016,г. Бишкек,,KG11,22.846558
2017,г. Бишкек,,KG11,23.162225
2018,г. Бишкек,,KG11,22.937931
2019,г. Бишкек,,KG11,19.881857
2020,г. Бишкек,,KG11,19.0
2021,г. Бишкек,,KG11,15.2
2022,г. Бишкек,,KG11,16.241806
2010,г. Бишкек,Мужчины,KG11,25.657957
2011,г. Бишкек,Мужчины,KG11,25.966748
2012,г. Бишкек,Мужчины,KG11,22.187282
2013,г. Бишкек,Мужчины,KG11,26.051422
2014,г. Бишкек,Мужчины,KG11,27.557179
2015,г. Бишкек,Мужчины,KG11,24.599019
2016,г. Бишкек,Мужчины,KG11,25.32512
2017,г. Бишкек,Мужчины,KG11,25.975162
2018,г. Бишкек,Мужчины,KG11,25.001746
2019,г. Бишкек,Мужчины,KG11,21.589794
2020,г. Бишкек,Мужчины,KG11,19.7
2021,г. Бишкек,Мужчины,KG11,17.6
2022,г. Бишкек,Мужчины,KG11,15.61401
2010,г. Бишкек,Женщины,KG11,24.568062
2011,г. Бишкек,Женщины,KG11,22.173827
2012,г. Бишкек,Женщины,KG11,20.53844
2013,г. Бишкек,Женщины,KG11,19.510022
2014,г. Бишкек,Женщины,KG11,24.309673
2015,г. Бишкек,Женщины,KG11,21.294172
2016,г. Бишкек,Женщины,KG11,20.209376
2017,г. Бишкек,Женщины,KG11,20.219579
2018,г. Бишкек,Женщины,KG11,20.73389
2019,г. Бишкек,Женщины,KG11,18.061367
2020,г. Бишкек,Женщины,KG11,18.4
2021,г. Бишкек,Женщины,KG11,12.6
2022,г. Бишкек,Женщины,KG11,16.915874
2007,г. Ош,,KG21,49.506943
2008,г. Ош,,KG21,42.992096
2009,г. Ош,,KG21,49.784765
2010,г. Ош,,KG21,42.06501
2011,г. Ош,,KG21,46.632124
2012,г. Ош,,KG21,53.846154
2013,г. Ош,,KG21,55.639098
2014,г. Ош,,KG21,63.961301
2015,г. Ош,,KG21,61.963775
2016,г. Ош,,KG21,50.222162
2017,г. Ош,,KG21,46.864858
2018,г. Ош,,KG21,34.244293
2019,г. Ош,,KG21,32.995297
2020,г. Ош,,KG21,32.9
2021,г. Ош,,KG21,27.9
2022,г. Ош,,KG21,22.910066
2010,г. Ош,Мужчины,KG21,46.169287
2011,г. Ош,Мужчины,KG21,50.086356
2012,г. Ош,Мужчины,KG21,61.253973
2013,г. Ош,Мужчины,KG21,64.835787
2014,г. Ош,Мужчины,KG21,67.427386
2015,г. Ош,Мужчины,KG21,62.759336
2016,г. Ош,Мужчины,KG21,55.052985
2017,г. Ош,Мужчины,KG21,53.08642
2018,г. Ош,Мужчины,KG21,38.695235
2019,г. Ош,Мужчины,KG21,37.349742
2020,г. Ош,Мужчины,KG21,35.5
2021,г. Ош,Мужчины,KG21,32.7
2022,г. Ош,Мужчины,KG21,24.889729
2010,г. Ош,Женщины,KG21,37.626628
2011,г. Ош,Женщины,KG21,42.931162
2012,г. Ош,Женщины,KG21,45.755759
2013,г. Ош,Женщины,KG21,45.221296
2014,г. Ош,Женщины,KG21,60.234244
2015,г. Ош,Женщины,KG21,61.084026
2016,г. Ош,Женщины,KG21,44.969084
2017,г. Ош,Женщины,KG21,39.96715
2018,г. Ош,Женщины,KG21,29.401531
2019,г. Ош,Женщины,KG21,28.398792
2020,г. Ош,Женщины,KG21,30.2
2021,г. Ош,Женщины,KG21,22.8
2022,г. Ош,Женщины,KG21,20.801879
