Year,Территория,Пол,Возраст,GeoCode,Value
2013,Джалал-Абадская область,,,KG03,8.2
2014,Джалал-Абадская область,,,KG03,7.6
2015,Джалал-Абадская область,,,KG03,7.7
2016,Джалал-Абадская область,,,KG03,7.5
2017,Джалал-Абадская область,,,KG03,7.2
2018,Джалал-Абадская область,,,KG03,6.2
2019,Джалал-Абадская область,,,KG03,5.5
2020,Джалал-Абадская область,,,KG03,11.0
2021,Джалал-Абадская область,,,KG03,11.8
2009,Джалал-Абадская область,Женщины,,KG03,8.5
2010,Джалал-Абадская область,Женщины,,KG03,8.9
2011,Джалал-Абадская область,Женщины,,KG03,9.4
2012,Джалал-Абадская область,Женщины,,KG03,9.0
2013,Джалал-Абадская область,Женщины,,KG03,10.3
2014,Джалал-Абадская область,Женщины,,KG03,10.0
2015,Джалал-Абадская область,Женщины,,KG03,9.9
2016,Джалал-Абадская область,Женщины,,KG03,10.3
2017,Джалал-Абадская область,Женщины,,KG03,10.5
2018,Джалал-Абадская область,Женщины,,KG03,9.1
2019,Джалал-Абадская область,Женщины,,KG03,7.9
2020,Джалал-Абадская область,Женщины,,KG03,13.2
2021,Джалал-Абадская область,Женщины,,KG03,15.5
2009,Джалал-Абадская область,Мужчины,,KG03,5.9
2010,Джалал-Абадская область,Мужчины,,KG03,7.1
2011,Джалал-Абадская область,Мужчины,,KG03,7.3
2012,Джалал-Абадская область,Мужчины,,KG03,7.9
2013,Джалал-Абадская область,Мужчины,,KG03,6.7
2014,Джалал-Абадская область,Мужчины,,KG03,6.0
2015,Джалал-Абадская область,Мужчины,,KG03,6.1
2016,Джалал-Абадская область,Мужчины,,KG03,5.8
2017,Джалал-Абадская область,Мужчины,,KG03,5.3
2018,Джалал-Абадская область,Мужчины,,KG03,4.7
2019,Джалал-Абадская область,Мужчины,,KG03,4.2
2020,Джалал-Абадская область,Мужчины,,KG03,9.7
2021,Джалал-Абадская область,Мужчины,,KG03,9.7
2007,Иссык-Кульская область,,,KG02,7.0
2008,Иссык-Кульская область,,,KG02,7.2
2009,Иссык-Кульская область,,,KG02,9.4
2010,Иссык-Кульская область,,,KG02,10.2
2011,Иссык-Кульская область,,,KG02,9.7
2012,Иссык-Кульская область,,,KG02,9.6
2013,Иссык-Кульская область,,,KG02,9.5
2014,Иссык-Кульская область,,,KG02,9.3
2015,Иссык-Кульская область,,,KG02,9.1
2016,Иссык-Кульская область,,,KG02,8.9
2017,Иссык-Кульская область,,,KG02,8.7
2018,Иссык-Кульская область,,,KG02,8.4
2019,Иссык-Кульская область,,,KG02,7.8
2020,Иссык-Кульская область,,,KG02,7.4
2021,Иссык-Кульская область,,,KG02,6.3
2009,Иссык-Кульская область,Женщины,,KG02,11.1
2010,Иссык-Кульская область,Женщины,,KG02,10.1
2011,Иссык-Кульская область,Женщины,,KG02,10.8
2012,Иссык-Кульская область,Женщины,,KG02,8.9
2013,Иссык-Кульская область,Женщины,,KG02,9.4
2014,Иссык-Кульская область,Женщины,,KG02,10.1
2015,Иссык-Кульская область,Женщины,,KG02,9.6
2016,Иссык-Кульская область,Женщины,,KG02,8.5
2017,Иссык-Кульская область,Женщины,,KG02,8.0
2018,Иссык-Кульская область,Женщины,,KG02,4.9
2019,Иссык-Кульская область,Женщины,,KG02,4.9
2020,Иссык-Кульская область,Женщины,,KG02,6.1
2021,Иссык-Кульская область,Женщины,,KG02,7.5
2009,Иссык-Кульская область,Мужчины,,KG02,8.2
2010,Иссык-Кульская область,Мужчины,,KG02,10.3
2011,Иссык-Кульская область,Мужчины,,KG02,8.9
2012,Иссык-Кульская область,Мужчины,,KG02,10.0
2013,Иссык-Кульская область,Мужчины,,KG02,9.5
2014,Иссык-Кульская область,Мужчины,,KG02,8.7
2015,Иссык-Кульская область,Мужчины,,KG02,8.7
2016,Иссык-Кульская область,Мужчины,,KG02,9.1
2017,Иссык-Кульская область,Мужчины,,KG02,9.0
2018,Иссык-Кульская область,Мужчины,,KG02,10.2
2019,Иссык-Кульская область,Мужчины,,KG02,9.4
2020,Иссык-Кульская область,Мужчины,,KG02,8.2
2021,Иссык-Кульская область,Мужчины,,KG02,5.6
2007,Нарынская область,,,KG04,11.1
2008,Нарынская область,,,KG04,11.2
2009,Нарынская область,,,KG04,10.0
2010,Нарынская область,,,KG04,10.3
2011,Нарынская область,,,KG04,10.3
2012,Нарынская область,,,KG04,10.2
2013,Нарынская область,,,KG04,9.1
2014,Нарынская область,,,KG04,9.7
2015,Нарынская область,,,KG04,9.3
2016,Нарынская область,,,KG04,9.0
2017,Нарынская область,,,KG04,8.8
2018,Нарынская область,,,KG04,8.8
2019,Нарынская область,,,KG04,8.3
2020,Нарынская область,,,KG04,7.3
2021,Нарынская область,,,KG04,6.3
2009,Нарынская область,Женщины,,KG04,14.7
2010,Нарынская область,Женщины,,KG04,14.7
2011,Нарынская область,Женщины,,KG04,14.7
2012,Нарынская область,Женщины,,KG04,16.3
2013,Нарынская область,Женщины,,KG04,14.2
2014,Нарынская область,Женщины,,KG04,15.4
2015,Нарынская область,Женщины,,KG04,13.7
2016,Нарынская область,Женщины,,KG04,14.6
2017,Нарынская область,Женщины,,KG04,12.3
2018,Нарынская область,Женщины,,KG04,15.0
2019,Нарынская область,Женщины,,KG04,11.1
2020,Нарынская область,Женщины,,KG04,12.4
2021,Нарынская область,Женщины,,KG04,10.8
2009,Нарынская область,Мужчины,,KG04,7.6
2010,Нарынская область,Мужчины,,KG04,8.2
2011,Нарынская область,Мужчины,,KG04,8.1
2012,Нарынская область,Мужчины,,KG04,7.4
2013,Нарынская область,Мужчины,,KG04,6.8
2014,Нарынская область,Мужчины,,KG04,7.4
2015,Нарынская область,Мужчины,,KG04,7.6
2016,Нарынская область,Мужчины,,KG04,6.6
2017,Нарынская область,Мужчины,,KG04,7.1
2018,Нарынская область,Мужчины,,KG04,6.2
2019,Нарынская область,Мужчины,,KG04,7.1
2020,Нарынская область,Мужчины,,KG04,5.2
2021,Нарынская область,Мужчины,,KG04,4.3
2007,Ошская область,,,KG06,5.4
2008,Ошская область,,,KG06,5.5
2009,Ошская область,,,KG06,6.6
2010,Ошская область,,,KG06,6.61
2011,Ошская область,,,KG06,6.6
2012,Ошская область,,,KG06,6.8
2013,Ошская область,,,KG06,6.3
2014,Ошская область,,,KG06,6.6
2015,Ошская область,,,KG06,6.0
2016,Ошская область,,,KG06,5.5
2017,Ошская область,,,KG06,5.1
2018,Ошская область,,,KG06,4.2
2019,Ошская область,,,KG06,3.5
2020,Ошская область,,,KG06,2.6
2021,Ошская область,,,KG06,1.9
2009,Ошская область,Женщины,,KG06,8.1
2010,Ошская область,Женщины,,KG06,7.8
2011,Ошская область,Женщины,,KG06,7.8
2012,Ошская область,Женщины,,KG06,8.9
2013,Ошская область,Женщины,,KG06,7.4
2014,Ошская область,Женщины,,KG06,7.3
2015,Ошская область,Женщины,,KG06,7.7
2016,Ошская область,Женщины,,KG06,7.1
2017,Ошская область,Женщины,,KG06,7.7
2018,Ошская область,Женщины,,KG06,6.6
2019,Ошская область,Женщины,,KG06,4.3
2020,Ошская область,Женщины,,KG06,4.1
2021,Ошская область,Женщины,,KG06,3.1
2009,Ошская область,Мужчины,,KG06,5.7
2010,Ошская область,Мужчины,,KG06,5.9
2011,Ошская область,Мужчины,,KG06,5.8
2012,Ошская область,Мужчины,,KG06,5.5
2013,Ошская область,Мужчины,,KG06,5.6
2014,Ошская область,Мужчины,,KG06,6.0
2015,Ошская область,Мужчины,,KG06,4.8
2016,Ошская область,Мужчины,,KG06,4.4
2017,Ошская область,Мужчины,,KG06,3.5
2018,Ошская область,Мужчины,,KG06,2.7
2019,Ошская область,Мужчины,,KG06,3.0
2020,Ошская область,Мужчины,,KG06,1.5
2021,Ошская область,Мужчины,,KG06,1.1
2007,Таласская область,,,KG07,5.1
2008,Таласская область,,,KG07,5.4
2009,Таласская область,,,KG07,4.9
2010,Таласская область,,,KG07,5.1
2011,Таласская область,,,KG07,5.0
2012,Таласская область,,,KG07,4.1
2013,Таласская область,,,KG07,3.7
2014,Таласская область,,,KG07,3.9
2015,Таласская область,,,KG07,3.3
2016,Таласская область,,,KG07,2.8
2017,Таласская область,,,KG07,2.5
2018,Таласская область,,,KG07,2.5
2019,Таласская область,,,KG07,2.5
2020,Таласская область,,,KG07,2.6
2021,Таласская область,,,KG07,2.6
2009,Таласская область,Женщины,,KG07,5.7
2010,Таласская область,Женщины,,KG07,5.2
2011,Таласская область,Женщины,,KG07,5.9
2012,Таласская область,Женщины,,KG07,4.1
2013,Таласская область,Женщины,,KG07,4.8
2014,Таласская область,Женщины,,KG07,6.5
2015,Таласская область,Женщины,,KG07,5.6
2016,Таласская область,Женщины,,KG07,5.0
2017,Таласская область,Женщины,,KG07,4.6
2018,Таласская область,Женщины,,KG07,3.6
2019,Таласская область,Женщины,,KG07,3.6
2020,Таласская область,Женщины,,KG07,3.7
2021,Таласская область,Женщины,,KG07,3.8
2009,Таласская область,Мужчины,,KG07,4.2
2010,Таласская область,Мужчины,,KG07,4.9
2011,Таласская область,Мужчины,,KG07,4.4
2012,Таласская область,Мужчины,,KG07,4.1
2013,Таласская область,Мужчины,,KG07,2.8
2014,Таласская область,Мужчины,,KG07,1.7
2015,Таласская область,Мужчины,,KG07,1.3
2016,Таласская область,Мужчины,,KG07,1.2
2017,Таласская область,Мужчины,,KG07,0.9
2018,Таласская область,Мужчины,,KG07,1.7
2019,Таласская область,Мужчины,,KG07,1.8
2020,Таласская область,Мужчины,,KG07,1.8
2021,Таласская область,Мужчины,,KG07,1.7
2007,Чуйская область,,,KG08,13.0
2008,Чуйская область,,,KG08,12.7
2009,Чуйская область,,,KG08,10.3
2010,Чуйская область,,,KG08,10.2
2011,Чуйская область,,,KG08,9.9
2012,Чуйская область,,,KG08,9.9
2013,Чуйская область,,,KG08,9.8
2014,Чуйская область,,,KG08,8.9
2015,Чуйская область,,,KG08,8.6
2016,Чуйская область,,,KG08,8.4
2017,Чуйская область,,,KG08,8.1
2018,Чуйская область,,,KG08,7.3
2019,Чуйская область,,,KG08,6.6
2020,Чуйская область,,,KG08,6.1
2021,Чуйская область,,,KG08,5.3
2009,Чуйская область,Женщины,,KG08,11.3
2010,Чуйская область,Женщины,,KG08,11.4
2011,Чуйская область,Женщины,,KG08,10.5
2012,Чуйская область,Женщины,,KG08,9.1
2013,Чуйская область,Женщины,,KG08,10.8
2014,Чуйская область,Женщины,,KG08,9.6
2015,Чуйская область,Женщины,,KG08,8.2
2016,Чуйская область,Женщины,,KG08,8.9
2017,Чуйская область,Женщины,,KG08,9.1
2018,Чуйская область,Женщины,,KG08,7.4
2019,Чуйская область,Женщины,,KG08,7.4
2020,Чуйская область,Женщины,,KG08,7.3
2021,Чуйская область,Женщины,,KG08,6.2
2009,Чуйская область,Мужчины,,KG08,9.6
2010,Чуйская область,Мужчины,,KG08,9.3
2011,Чуйская область,Мужчины,,KG08,9.5
2012,Чуйская область,Мужчины,,KG08,10.5
2013,Чуйская область,Мужчины,,KG08,9.1
2014,Чуйская область,Мужчины,,KG08,8.4
2015,Чуйская область,Мужчины,,KG08,8.9
2016,Чуйская область,Мужчины,,KG08,8.0
2017,Чуйская область,Мужчины,,KG08,7.4
2018,Чуйская область,Мужчины,,KG08,7.3
2019,Чуйская область,Мужчины,,KG08,6.1
2020,Чуйская область,Мужчины,,KG08,5.3
2021,Чуйская область,Мужчины,,KG08,4.8
2007,г. Бишкек,,,KG11,8.7
2008,г. Бишкек,,,KG11,8.6
2009,г. Бишкек,,,KG11,10.2
2010,г. Бишкек,,,KG11,10.0
2011,г. Бишкек,,,KG11,9.6
2012,г. Бишкек,,,KG11,8.7
2013,г. Бишкек,,,KG11,9.4
2014,г. Бишкек,,,KG11,8.9
2015,г. Бишкек,,,KG11,8.1
2016,г. Бишкек,,,KG11,7.7
2017,г. Бишкек,,,KG11,7.3
2018,г. Бишкек,,,KG11,6.7
2019,г. Бишкек,,,KG11,5.9
2020,г. Бишкек,,,KG11,5.0
2021,г. Бишкек,,,KG11,4.1
2009,г. Бишкек,Женщины,,KG11,9.6
2010,г. Бишкек,Женщины,,KG11,10.6
2011,г. Бишкек,Женщины,,KG11,10.6
2012,г. Бишкек,Женщины,,KG11,9.7
2013,г. Бишкек,Женщины,,KG11,9.7
2014,г. Бишкек,Женщины,,KG11,9.5
2015,г. Бишкек,Женщины,,KG11,8.4
2016,г. Бишкек,Женщины,,KG11,7.6
2017,г. Бишкек,Женщины,,KG11,7.9
2018,г. Бишкек,Женщины,,KG11,5.0
2019,г. Бишкек,Женщины,,KG11,5.5
2020,г. Бишкек,Женщины,,KG11,4.6
2021,г. Бишкек,Женщины,,KG11,3.3
2009,г. Бишкек,Мужчины,,KG11,10.7
2010,г. Бишкек,Мужчины,,KG11,9.5
2011,г. Бишкек,Мужчины,,KG11,8.7
2012,г. Бишкек,Мужчины,,KG11,7.8
2013,г. Бишкек,Мужчины,,KG11,9.3
2014,г. Бишкек,Мужчины,,KG11,8.4
2015,г. Бишкек,Мужчины,,KG11,7.7
2016,г. Бишкек,Мужчины,,KG11,7.8
2017,г. Бишкек,Мужчины,,KG11,6.7
2018,г. Бишкек,Мужчины,,KG11,8.2
2019,г. Бишкек,Мужчины,,KG11,6.2
2020,г. Бишкек,Мужчины,,KG11,5.4
2021,г. Бишкек,Мужчины,,KG11,4.9
2013,г. Ош,,,KG21,4.6
2014,г. Ош,,,KG21,4.2
2015,г. Ош,,,KG21,3.9
2016,г. Ош,,,KG21,3.6
2017,г. Ош,,,KG21,3.5
2018,г. Ош,,,KG21,3.0
2019,г. Ош,,,KG21,2.5
2020,г. Ош,,,KG21,2.8
2021,г. Ош,,,KG21,2.8
2013,г. Ош,Женщины,,KG21,3.8
2014,г. Ош,Женщины,,KG21,5.2
2015,г. Ош,Женщины,,KG21,5.6
2016,г. Ош,Женщины,,KG21,6.3
2017,г. Ош,Женщины,,KG21,4.5
2018,г. Ош,Женщины,,KG21,3.5
2019,г. Ош,Женщины,,KG21,4.4
2020,г. Ош,Женщины,,KG21,3.7
2021,г. Ош,Женщины,,KG21,3.4
2013,г. Ош,Мужчины,,KG21,5.0
2014,г. Ош,Мужчины,,KG21,3.8
2015,г. Ош,Мужчины,,KG21,3.1
2016,г. Ош,Мужчины,,KG21,2.5
2017,г. Ош,Мужчины,,KG21,3.0
2018,г. Ош,Мужчины,,KG21,2.7
2019,г. Ош,Мужчины,,KG21,1.5
2020,г. Ош,Мужчины,,KG21,2.3
2021,г. Ош,Мужчины,,KG21,2.6
2007,,,от 15 до 19 лет,,15.1
2008,,,от 15 до 19 лет,,13.3
2009,,,от 15 до 19 лет,,16.8
2010,,,от 15 до 19 лет,,19.072445
2011,,,от 15 до 19 лет,,18.9
2012,,,от 15 до 19 лет,,21.3
2013,,,от 15 до 19 лет,,16.2
2014,,,от 15 до 19 лет,,17.7
2015,,,от 15 до 19 лет,,17.3
2016,,,от 15 до 19 лет,,19.9
2017,,,от 15 до 19 лет,,18.3
2018,,,от 15 до 19 лет,,13.9
2019,,,от 15 до 19 лет,,13.9
2020,,,от 15 до 19 лет,,13.7
2021,,,от 15 до 19 лет,,15.7
2007,,,от 20 до 29 лет,,10.2
2008,,,от 20 до 29 лет,,11.4
2009,,,от 20 до 29 лет,,12.7
2010,,,от 20 до 29 лет,,12.397261
2011,,,от 20 до 29 лет,,12.5
2012,,,от 20 до 29 лет,,11.9
2013,,,от 20 до 29 лет,,10.4
2014,,,от 20 до 29 лет,,10.2
2015,,,от 20 до 29 лет,,10.5
2016,,,от 20 до 29 лет,,10.4
2017,,,от 20 до 29 лет,,10.2
2018,,,от 20 до 29 лет,,9.5
2019,,,от 20 до 29 лет,,9.3
2020,,,от 20 до 29 лет,,8.9
2021,,,от 20 до 29 лет,,7.9
2007,,,от 30 до 39 лет,,7.2
2008,,,от 30 до 39 лет,,7.3
2009,,,от 30 до 39 лет,,6.1
2010,,,от 30 до 39 лет,,6.198562
2011,,,от 30 до 39 лет,,6.5
2012,,,от 30 до 39 лет,,7.0
2013,,,от 30 до 39 лет,,7.2
2014,,,от 30 до 39 лет,,6.7
2015,,,от 30 до 39 лет,,6.2
2016,,,от 30 до 39 лет,,5.9
2017,,,от 30 до 39 лет,,5.4
2018,,,от 30 до 39 лет,,4.6
2019,,,от 30 до 39 лет,,4.0
2020,,,от 30 до 39 лет,,5.1
2021,,,от 30 до 39 лет,,4.5
2007,,,от 40 до 49 лет,,6.2
2008,,,от 40 до 49 лет,,6.2
2009,,,от 40 до 49 лет,,5.2
2010,,,от 40 до 49 лет,,5.90176
2011,,,от 40 до 49 лет,,5.5
2012,,,от 40 до 49 лет,,4.9
2013,,,от 40 до 49 лет,,6.4
2014,,,от 40 до 49 лет,,6.7
2015,,,от 40 до 49 лет,,5.8
2016,,,от 40 до 49 лет,,5.3
2017,,,от 40 до 49 лет,,5.3
2018,,,от 40 до 49 лет,,4.3
2019,,,от 40 до 49 лет,,3.6
2020,,,от 40 до 49 лет,,4.4
2021,,,от 40 до 49 лет,,4.4
2007,,,от 50 до 59 лет,,5.7
2008,,,от 50 до 59 лет,,4.5
2009,,,от 50 до 59 лет,,4.6
2010,,,от 50 до 59 лет,,4.823213
2011,,,от 50 до 59 лет,,4.6
2012,,,от 50 до 59 лет,,4.8
2013,,,от 50 до 59 лет,,6.1
2014,,,от 50 до 59 лет,,5.1
2015,,,от 50 до 59 лет,,4.2
2016,,,от 50 до 59 лет,,3.5
2017,,,от 50 до 59 лет,,3.8
2018,,,от 50 до 59 лет,,4.2
2019,,,от 50 до 59 лет,,3.1
2020,,,от 50 до 59 лет,,3.1
2021,,,от 50 до 59 лет,,2.9
2007,,,от 60 до 69 лет,,2.9
2008,,,от 60 до 69 лет,,0.8
2009,,,от 60 до 69 лет,,1.5
2010,,,от 60 до 69 лет,,2.319915
2011,,,от 60 до 69 лет,,2.5
2012,,,от 60 до 69 лет,,2.8
2013,,,от 60 до 69 лет,,3.2
2014,,,от 60 до 69 лет,,2.6
2015,,,от 60 до 69 лет,,2.8
2016,,,от 60 до 69 лет,,1.3
2017,,,от 60 до 69 лет,,1.6
2018,,,от 60 до 69 лет,,2.7
2019,,,от 60 до 69 лет,,1.1
2020,,,от 60 до 69 лет,,1.8
2021,,,от 60 до 69 лет,,1.4
2010,,,70 лет и старше,,0.561023
2011,,,70 лет и старше,,0.7
2013,,,70 лет и старше,,1.6
2014,,,70 лет и старше,,2.8
2015,,,70 лет и старше,,1.4
2016,,,70 лет и старше,,0.9
2017,,,70 лет и старше,,0.3
2020,,,70 лет и старше,,0.6
