Year,concept.SEX,concept.AGE,concept.URBANISATION,concept.ACTIVITY,Value
2016,,,Городское,,489.0
2017,,,Городское,,526.3
2018,,,Городское,,541.6
2007,,,Сельское,,1118.1
2008,,,Сельское,,1137.7
2009,,,Сельское,,1161.2
2010,,,Сельское,,1175.2
2011,,,Сельское,,1184.6
2012,,,Сельское,,1194.8
2013,,,Сельское,,1210.5
2014,,,Сельское,,1219.3
2015,,,Сельское,,1226.5
2016,,,Сельское,,1194.0
2017,,,Сельское,,1085.0
2018,,,Сельское,,1145.3
2007,,,,"Сельское хозяйство, лесоводство и рыболовство",755.3
2008,,,,"Сельское хозяйство, лесоводство и рыболовство",767.0
2009,,,,"Сельское хозяйство, лесоводство и рыболовство",740.5
2010,,,,"Сельское хозяйство, лесоводство и рыболовство",720.7
2011,,,,"Сельское хозяйство, лесоводство и рыболовство",719.4
2012,,,,"Сельское хозяйство, лесоводство и рыболовство",711.4
2013,,,,"Сельское хозяйство, лесоводство и рыболовство",731.6
2014,,,,"Сельское хозяйство, лесоводство и рыболовство",749.0
2015,,,,"Сельское хозяйство, лесоводство и рыболовство",710.1
2016,,,,"Сельское хозяйство, лесоводство и рыболовство",656.5
2017,,,,"Сельское хозяйство, лесоводство и рыболовство",497.7
2018,,,,"Сельское хозяйство, лесоводство и рыболовство",463.0
2007,,,,Промышленность,106.6
2008,,,,Промышленность,110.4
2009,,,,Промышленность,114.7
2010,,,,Промышленность,114.0
2011,,,,Промышленность,111.3
2012,,,,Промышленность,115.3
2013,,,,Промышленность,102.2
2014,,,,Промышленность,108.5
2015,,,,Промышленность,117.7
2016,,,,Промышленность,117.1
2017,,,,Промышленность,160.5
2018,,,,Промышленность,225.0
2007,,,,Строительство,172.5
2008,,,,Строительство,180.9
2009,,,,Строительство,204.7
2010,,,,Строительство,197.7
2011,,,,Строительство,204.9
2012,,,,Строительство,222.4
2013,,,,Строительство,210.0
2014,,,,Строительство,209.3
2015,,,,Строительство,222.7
2016,,,,Строительство,250.3
2017,,,,Строительство,221.8
2018,,,,Строительство,217.0
2007,,,,Прочие виды деятельности в сфере услуг,480.4
2008,,,,Прочие виды деятельности в сфере услуг,501.4
2009,,,,Прочие виды деятельности в сфере услуг,533.1
2010,,,,Прочие виды деятельности в сфере услуг,557.2
2011,,,,Прочие виды деятельности в сфере услуг,568.4
2012,,,,Прочие виды деятельности в сфере услуг,553.7
2013,,,,Прочие виды деятельности в сфере услуг,585.2
2014,,,,Прочие виды деятельности в сфере услуг,586.2
2015,,,,Прочие виды деятельности в сфере услуг,635.7
2016,,,,Прочие виды деятельности в сфере услуг,659.1
2017,,,,Прочие виды деятельности в сфере услуг,731.3
2018,,,,Прочие виды деятельности в сфере услуг,781.9
