Year,SERIES,Территория,UNIT_MEASURE,Value
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,18.8
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,27.7
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,31.6
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,27.3
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,31.5
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,29.6
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,31.2
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,31.5
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,31.5
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,29.9
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,31.9
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.8
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.5
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.6
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,32.4
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.5
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,29.9
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.4
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.3
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.4
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.4
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Нарынская область,Процент,30.2
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,17.1
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,17.8
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,26.8
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,25.3
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,20.5
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,19.5
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,21.9
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,25.3
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,25.6
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,26.3
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,24.8
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Ошская область,Процент,24.0
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,27.6
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,28.7
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,29.2
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,30.1
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,29.2
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,30.6
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,31.1
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,30.3
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,31.1
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,31.6
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,30.7
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Таласская область,Процент,31.6
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,22.4
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,22.9
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,26.1
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,25.5
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,27.0
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,36.2
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,26.0
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,32.2
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,29.9
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,30.3
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,30.1
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Чуйская область,Процент,30.3
2010,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,18.2
2011,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,22.0
2013,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,20.9
2014,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,21.0
2015,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,21.0
2016,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,21.0
2017,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,20.9
2018,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,20.8
2019,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,19.3
2020,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,21.2
2021,Потери воды при транспортировке в процентах к общему объему забора воды,г. Бишкек,Процент,20.7
2017,Потери воды при транспортировке в процентах к общему объему забора воды,г. Ош,Процент,12.0
2018,Потери воды при транспортировке в процентах к общему объему забора воды,г. Ош,Процент,12.0
2019,Потери воды при транспортировке в процентах к общему объему забора воды,г. Ош,Процент,11.9
2020,Потери воды при транспортировке в процентах к общему объему забора воды,г. Ош,Процент,11.6
2021,Потери воды при транспортировке в процентах к общему объему забора воды,г. Ош,Процент,12.0
