Year,SERIES,COMPOSITE_BREAKDOWN,Value
2019,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2020,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2021,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2022,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2023,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2000,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.71429
2005,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.67114
2010,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.65359
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.625
2016,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.61728
2017,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2018,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2019,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2020,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2021,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2022,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2023,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2000,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.583
2005,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.554
2010,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.57
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.538
2016,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.538
2017,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.538
2018,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.5372
2019,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.53283
2020,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.533
2021,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.533
2022,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,0.5328
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Экономический и Социальный Совет ООН,1.85185
2000,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0843
2005,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0838
2010,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0837
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0794
2016,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.08
2017,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0763
2018,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0753
2019,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.0744
2020,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.07315
2021,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.07156
2022,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.07045
2023,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.06904
2000,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.0821
2005,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.0818
2010,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.0816
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.09348
2016,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.09348
2017,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.09348
2018,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.0935
2019,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.0927
2020,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.09329
2021,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.08925
2022,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.08679
2023,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.08465
2000,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0532
2005,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0523
2010,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0514
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0645
2016,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.047
2017,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0644
2018,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0644
2019,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.06441
2020,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.0644
2021,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.06419
2022,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.06468
2023,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.06483
2000,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5291
2005,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5236
2010,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5208
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5181
2016,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5181
2017,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5181
2018,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5181
2019,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5181
2020,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5181
2021,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2022,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2023,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2000,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.7143
2005,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.6711
2010,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.6536
2015,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.625
2016,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.6173
2017,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.6098
2018,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.6098
2019,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.6098
2020,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2021,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2022,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
2023,"Доля веса голосов развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Всемирная торговая организация,0.60976
