Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2022,,,,,,Короткий цикл третичного образования,,3.380007
2018,,,,,Квинтиль 1 (беднейшие),,,8.0
2019,,,,,Квинтиль 1 (беднейшие),,,8.2
2020,,,,,Квинтиль 1 (беднейшие),,,7.9
2021,,,,,Квинтиль 1 (беднейшие),,,6.4
2022,,,,,Квинтиль 1 (беднейшие),,,4.735741
2018,,,,,Квинтиль 2,,,7.4
2019,,,,,Квинтиль 2,,,7.8
2020,,,,,Квинтиль 2,,,6.9
2021,,,,,Квинтиль 2,,,6.2
2022,,,,,Квинтиль 2,,,4.766466
2018,,,,,Квинтиль 3,,,8.5
2019,,,,,Квинтиль 3,,,7.7
2020,,,,,Квинтиль 3,,,8.0
2021,,,,,Квинтиль 3,,,5.4
2022,,,,,Квинтиль 3,,,5.420931
2018,,,,,Квинтиль 4,,,8.5
2019,,,,,Квинтиль 4,,,8.0
2020,,,,,Квинтиль 4,,,7.2
2021,,,,,Квинтиль 4,,,6.6
2022,,,,,Квинтиль 4,,,6.491722
2018,,,,,Квинтиль 5 (богатейшие),,,9.6
2019,,,,,Квинтиль 5 (богатейшие),,,8.8
2020,,,,,Квинтиль 5 (богатейшие),,,8.1
2021,,,,,Квинтиль 5 (богатейшие),,,7.2
2022,,,,,Квинтиль 5 (богатейшие),,,6.423111
