Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,61.942673
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,64.5
2021,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,64.347718
2022,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,65.680272
2018,,,,,,Начальное образование,,58.8
2019,,,,,,Начальное образование,,63.721132
2020,,,,,,Начальное образование,,69.8
2021,,,,,,Начальное образование,,68.757203
2022,,,,,,Начальное образование,,72.737995
2018,,,,,,Первый этап среднего образования,,63.3
2019,,,,,,Первый этап среднего образования,,65.183411
2020,,,,,,Первый этап среднего образования,,67.5
2021,,,,,,Первый этап среднего образования,,69.036541
2022,,,,,,Первый этап среднего образования,,69.21831
2018,,,,,,Второй этап среднего образования,,57.7
2019,,,,,,Второй этап среднего образования,,62.824591
2020,,,,,,Второй этап среднего образования,,64.1
2021,,,,,,Второй этап среднего образования,,66.56856
2022,,,,,,Второй этап среднего образования,,68.755034
2018,,,,,,Послесреднее нетретичное образование,,59.7
2019,,,,,,Послесреднее нетретичное образование,,68.13387
2020,,,,,,Послесреднее нетретичное образование,,70.8
2021,,,,,,Послесреднее нетретичное образование,,68.036801
2022,,,,,,Послесреднее нетретичное образование,,67.911205
2018,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,53.7
2019,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,64.482244
2020,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,69.3
2021,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,66.45361
2022,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,66.756483
2018,,,,,Квинтиль 1 (беднейшие),,,52.386927
2019,,,,,Квинтиль 1 (беднейшие),,,55.414275
2020,,,,,Квинтиль 1 (беднейшие),,,58.2
2021,,,,,Квинтиль 1 (беднейшие),,,56.365186
2022,,,,,Квинтиль 1 (беднейшие),,,66.577621
2018,,,,,Квинтиль 2,,,58.140586
2019,,,,,Квинтиль 2,,,63.171549
2020,,,,,Квинтиль 2,,,69.7
2021,,,,,Квинтиль 2,,,67.44355
2022,,,,,Квинтиль 2,,,68.286079
2018,,,,,Квинтиль 3,,,57.911249
2019,,,,,Квинтиль 3,,,65.795777
2020,,,,,Квинтиль 3,,,71.5
2021,,,,,Квинтиль 3,,,70.313406
2022,,,,,Квинтиль 3,,,69.211572
2018,,,,,Квинтиль 4,,,60.870536
2019,,,,,Квинтиль 4,,,69.928679
2020,,,,,Квинтиль 4,,,68.3
2021,,,,,Квинтиль 4,,,71.713307
2022,,,,,Квинтиль 4,,,65.088281
2018,,,,,Квинтиль 5 (богатейшие),,,59.232205
2019,,,,,Квинтиль 5 (богатейшие),,,65.727946
2020,,,,,Квинтиль 5 (богатейшие),,,67.8
2021,,,,,Квинтиль 5 (богатейшие),,,71.8874
2022,,,,,Квинтиль 5 (богатейшие),,,74.316189
