Year,SERIES,Территория,Пол,Value
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,131.373162
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,12.854297
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,18.796992
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,37.225462
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,32.427524
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,38.444288
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,126.849894
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,57.34356
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,34.763683
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,46.934978
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,41.29774
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,34.63367
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,32.200193
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,35.998247
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,22.677108
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,20.82061
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,26.515574
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,14.554885
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,46.09873
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,14.31397
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,17.213983
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,13.387777
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,2.896032
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,6.402868
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,3.165859
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,5.598477
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,2.833263
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,5.61782
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,2.531197
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,10.194459
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,2.431907
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,10.021295
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,12.497813
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,2.419433
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,107.999691
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,69.552022
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,91.481651
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,82.904418
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,75.539074
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,64.422066
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,76.931147
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,42.560157
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,43.027937
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,46.269163
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,29.022521
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,86.089589
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,16.286203
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,35.100035
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,21.018891
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,31.755273
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,19.005213
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,67.94721
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,31.154266
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,24.58479
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,44.681578
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,29.214916
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,51.98586
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,44.752152
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,18.566162
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,10.143788
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,7.904722
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,12.597949
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,15.759613
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,5.282341
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,10.077598
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,5.041339
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,10.163635
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,10.07709
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,5.059449
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,9.607071
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,19.536974
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,14.912019
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,4.837695
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,26.281209
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,58.330682
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,36.972482
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,130.300233
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,58.880206
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,41.346722
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,82.417582
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,55.906524
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,101.959896
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,74.230572
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,22.746659
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,22.373867
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,11.573404
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,27.592296
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,17.955739
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,26.688017
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,4.326569
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,30.101054
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,12.66464
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,24.857072
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,8.224022
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,12.259409
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,3.700278
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,35.364847
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,7.69586
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,34.258308
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,8.371003
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,7.789375
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,14.91758
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,6.793478
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,29.038815
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,59.565174
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,9.553836
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,57.598157
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,28.055737
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,37.275184
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,18.883958
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,28.277877
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,8.688097
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,81.352255
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,17.711654
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,69.258073
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,2.148043
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,2.416918
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,5.181481
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,2.346151
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,4.517834
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,4.578335
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,6.416014
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Женщины,3.779289
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Женщины,3.897268
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Женщины,3.713882
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,4.880906
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,5.961607
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,13.020833
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,11.112963
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,5.54785
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,10.084712
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,11.511454
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,5.701579
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,16.051364
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,38.385611
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,21.165141
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,10.518012
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,25.514109
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,26.011861
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,15.061753
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,10.722711
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,14.769594
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,9.282465
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,14.186409
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,9.474183
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,10.188487
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,19.277108
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,9.250694
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,8.855827
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,26.588673
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,13.486177
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,24.585126
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,71.250445
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,46.838407
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,23.092022
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,55.463117
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,33.9098
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,32.619332
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,23.523877
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,21.0482
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,20.620683
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,20.294267
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,54.795253
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,51.255766
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,30.489664
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,39.786743
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,28.308799
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,61.47541
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,50.052399
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,39.493821
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,52.914295
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,20.676602
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,14.895483
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,27.829162
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,26.166728
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,30.257644
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,54.193199
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,26.478376
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,15.113046
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,18.584482
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,15.769886
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,29.823149
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,27.034334
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,22.348509
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,15.284911
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,9.59785
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,13.31425
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,9.651889
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,18.453022
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,6.034093
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,55.381207
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,74.490978
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,46.136811
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,62.193126
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,42.334015
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,96.960781
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,75.060375
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,57.730838
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,94.425522
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,31.629555
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,16.45928
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,46.65889
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,33.895171
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,54.621594
2007,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,25.544578
2008,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,35.587189
2009,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,27.549559
2010,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,172.396125
2011,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,26.428883
2012,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,21.074932
2013,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,47.614038
2014,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,34.362547
2015,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,20.034504
2016,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,30.786654
2017,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,28.115403
2018,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,34.548189
2019,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,37.950088
2020,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,42.637787
2007,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,13.871389
2008,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,27.298253
2009,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,18.177412
2010,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,36.051626
2011,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,21.926886
2012,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,15.309916
2013,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,31.064217
2014,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,30.258167
2015,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,14.949598
2016,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,33.905848
2017,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,31.034376
2018,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,33.577192
2019,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,24.386199
2020,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Женщины,28.650255
2007,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,39.954338
2008,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,44.11057
2009,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,37.118606
2010,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,309.616245
2011,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,30.44769
2012,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,27.007258
2013,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,65.319032
2014,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,38.683839
2015,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,25.568908
2016,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,27.42293
2017,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,24.919295
2018,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,35.610158
2019,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,52.570155
2020,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,Мужчины,56.753081
2007,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,7.896399
2008,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,20.263425
2009,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,13.09209
2010,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,84.274841
2011,Производственный травматизм с не смертельным исходом среди работников (доля),г. Ош,,47.337278
