Year,Reference area,Sex,Value
2009,Naryn,,28.0
2010,Naryn,,25.0
2011,Naryn,,20.06
2012,Naryn,,21.7
2013,Naryn,,20.2
2014,Naryn,,22.6
2015,Naryn,,16.8
2016,Naryn,,17.9
2017,Naryn,,18.2
2018,Naryn,,15.1
2019,Naryn,,12.5
2020,Naryn,,14.2
2010,Naryn,Male,27.3
2011,Naryn,Male,24.82
2012,Naryn,Male,24.3
2013,Naryn,Male,23.06
2014,Naryn,Male,22.2
2015,Naryn,Male,21.2
2016,Naryn,Male,20.2
2017,Naryn,Male,19.8
2018,Naryn,Male,16.6
2019,Naryn,Male,13.2
2020,Naryn,Male,15.3
2010,Naryn,Female,22.3
2011,Naryn,Female,15.04
2012,Naryn,Female,18.9
2013,Naryn,Female,17.19
2014,Naryn,Female,23.0
2015,Naryn,Female,12.1
2016,Naryn,Female,15.5
2017,Naryn,Female,16.5
2018,Naryn,Female,13.5
2019,Naryn,Female,11.9
2020,Naryn,Female,13.0
2007,Osh,,34.7
2008,Osh,,29.9
2009,Osh,,26.1
2010,Osh,,24.1
2011,Osh,,21.14
2012,Osh,,19.0
2013,Osh,,17.17
2014,Osh,,15.0
2015,Osh,,14.3
2016,Osh,,12.2
2017,Osh,,11.7
2018,Osh,,11.0
2019,Osh,,10.6
2020,Osh,,10.0
2010,Osh,Male,28.2
2011,Osh,Male,24.44
2012,Osh,Male,20.4
2013,Osh,Male,18.36
2014,Osh,Male,16.5
2015,Osh,Male,15.2
2016,Osh,Male,13.2
2017,Osh,Male,12.7
2018,Osh,Male,12.7
2019,Osh,Male,12.5
2020,Osh,Male,11.1
2010,Osh,Female,20.0
2011,Osh,Female,17.63
2012,Osh,Female,17.5
2013,Osh,Female,15.92
2014,Osh,Female,13.4
2015,Osh,Female,13.3
2016,Osh,Female,11.2
2017,Osh,Female,10.8
2018,Osh,Female,9.2
2019,Osh,Female,8.5
2020,Osh,Female,8.8
2007,Talas,,43.8
2008,Talas,,38.3
2009,Talas,,39.0
2010,Talas,,29.5
2011,Talas,,27.69
2012,Talas,,22.9
2013,Talas,,26.52
2014,Talas,,24.1
2015,Talas,,17.8
2016,Talas,,19.7
2017,Talas,,17.1
2018,Talas,,22.8
2019,Talas,,20.6
2020,Talas,,25.1
2010,Talas,Male,32.0
2011,Talas,Male,29.6
2012,Talas,Male,26.8
2013,Talas,Male,32.1
2014,Talas,Male,27.8
2015,Talas,Male,23.3
2016,Talas,Male,20.0
2017,Talas,Male,17.5
2018,Talas,Male,27.5
2019,Talas,Male,21.6
2020,Talas,Male,27.2
2010,Talas,Female,27.0
2011,Talas,Female,25.56
2012,Talas,Female,18.9
2013,Talas,Female,20.73
2014,Talas,Female,20.1
2015,Talas,Female,11.8
2016,Talas,Female,19.3
2017,Talas,Female,16.7
2018,Talas,Female,17.9
2019,Talas,Female,19.6
2020,Talas,Female,22.9
2007,Chui,,31.6
2008,Chui,,27.4
2009,Chui,,25.1
2010,Chui,,24.2
2011,Chui,,22.6
2012,Chui,,20.8
2013,Chui,,21.22
2014,Chui,,18.6
2015,Chui,,17.1
2016,Chui,,16.5
2017,Chui,,12.9
2018,Chui,,12.7
2019,Chui,,13.1
2020,Chui,,11.8
2010,Chui,Male,26.7
2011,Chui,Male,23.06
2012,Chui,Male,23.2
2013,Chui,Male,23.07
2014,Chui,Male,19.4
2015,Chui,Male,19.7
2016,Chui,Male,16.7
2017,Chui,Male,13.2
2018,Chui,Male,13.7
2019,Chui,Male,14.2
2020,Chui,Male,13.5
2010,Chui,Female,21.6
2011,Chui,Female,22.13
2012,Chui,Female,18.3
2013,Chui,Female,19.24
2014,Chui,Female,17.6
2015,Chui,Female,14.2
2016,Chui,Female,16.2
2017,Chui,Female,12.7
2018,Chui,Female,11.7
2019,Chui,Female,11.8
2020,Chui,Female,10.2
2007,Bishkek (city),,36.3
2008,Bishkek (city),,34.6
2009,Bishkek (city),,32.3
2010,Bishkek (city),,28.2
2011,Bishkek (city),,26.24
2012,Bishkek (city),,24.8
2013,Bishkek (city),,25.69
2014,Bishkek (city),,28.6
2015,Bishkek (city),,26.6
2016,Bishkek (city),,25.7
2017,Bishkek (city),,26.4
2018,Bishkek (city),,25.0
2019,Bishkek (city),,21.7
2020,Bishkek (city),,20.9
2010,Bishkek (city),Male,29.1
2011,Bishkek (city),Male,28.18
2012,Bishkek (city),Male,25.6
2013,Bishkek (city),Male,29.41
2014,Bishkek (city),Male,30.4
2015,Bishkek (city),Male,27.6
2016,Bishkek (city),Male,28.5
2017,Bishkek (city),Male,29.6
2018,Bishkek (city),Male,27.2
2019,Bishkek (city),Male,23.3
2020,Bishkek (city),Male,21.5
2010,Bishkek (city),Female,27.4
2011,Bishkek (city),Female,24.19
2012,Bishkek (city),Female,24.0
2013,Bishkek (city),Female,21.79
2014,Bishkek (city),Female,26.7
2015,Bishkek (city),Female,25.6
2016,Bishkek (city),Female,22.8
2017,Bishkek (city),Female,23.0
2018,Bishkek (city),Female,22.6
2019,Bishkek (city),Female,20.0
2020,Bishkek (city),Female,20.4
2007,Osh (city),,63.7
2008,Osh (city),,52.9
2009,Osh (city),,64.4
2010,Osh (city),,52.9
2011,Osh (city),,58.25
2012,Osh (city),,63.4
2013,Osh (city),,65.59
2014,Osh (city),,72.4
2015,Osh (city),,70.3
2016,Osh (city),,60.0
2017,Osh (city),,53.1
2018,Osh (city),,39.0
2019,Osh (city),,37.2
2020,Osh (city),,36.9
2010,Osh (city),Male,56.7
2011,Osh (city),Male,62.19
2012,Osh (city),Male,73.6
2013,Osh (city),Male,74.36
2014,Osh (city),Male,74.5
2015,Osh (city),Male,70.4
2016,Osh (city),Male,67.0
2017,Osh (city),Male,60.4
2018,Osh (city),Male,43.6
2019,Osh (city),Male,42.8
2020,Osh (city),Male,39.5
2010,Osh (city),Female,49.0
2011,Osh (city),Female,54.05
2012,Osh (city),Female,52.3
2013,Osh (city),Female,55.65
2014,Osh (city),Female,70.0
2015,Osh (city),Female,70.2
2016,Osh (city),Female,52.3
2017,Osh (city),Female,44.9
2018,Osh (city),Female,34.1
2019,Osh (city),Female,31.3
2020,Osh (city),Female,34.2
