Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2020,Чуйская область,,15 лет и старше,,,,KG08,43.885818
2021,Чуйская область,,15 лет и старше,,,,KG08,38.114375
2022,Чуйская область,,15 лет и старше,,,,KG08,32.977038
2018,г. Бишкек,,15 лет и старше,,,,KG11,30.8
2019,г. Бишкек,,15 лет и старше,,,,KG11,34.961164
2020,г. Бишкек,,15 лет и старше,,,,KG11,38.853903
2021,г. Бишкек,,15 лет и старше,,,,KG11,42.722517
2022,г. Бишкек,,15 лет и старше,,,,KG11,44.695765
2018,г. Ош,,15 лет и старше,,,,KG21,23.3
2019,г. Ош,,15 лет и старше,,,,KG21,40.128114
2020,г. Ош,,15 лет и старше,,,,KG21,31.952317
2021,г. Ош,,15 лет и старше,,,,KG21,33.53691
2022,г. Ош,,15 лет и старше,,,,KG21,44.154401
2018,,,от 15 до 28 лет,,,,,12.7
2019,,,от 15 до 28 лет,,,,,16.40832
2020,,,от 15 до 28 лет,,,,,18.496814
2021,,,от 15 до 28 лет,,,,,16.180534
2022,,,от 15 до 28 лет,,,,,17.375255
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,26.3
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,33.477733
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,37.033088
2021,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,37.684305
2022,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,40.007538
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,39.5
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,55.192244
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,59.619519
2021,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,63.542409
2022,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,67.680041
2018,,,15 лет и старше,,,Начальное образование,,17.0
2019,,,15 лет и старше,,,Начальное образование,,25.253959
2020,,,15 лет и старше,,,Начальное образование,,24.636899
2021,,,15 лет и старше,,,Начальное образование,,19.578465
2022,,,15 лет и старше,,,Начальное образование,,23.074575
2018,,,15 лет и старше,,,Первый этап среднего образования,,10.8
2019,,,15 лет и старше,,,Первый этап среднего образования,,15.506281
2020,,,15 лет и старше,,,Первый этап среднего образования,,18.134313
2021,,,15 лет и старше,,,Первый этап среднего образования,,17.192247
2022,,,15 лет и старше,,,Первый этап среднего образования,,18.330539
2018,,,15 лет и старше,,,Второй этап среднего образования,,18.2
2019,,,15 лет и старше,,,Второй этап среднего образования,,25.60731
2020,,,15 лет и старше,,,Второй этап среднего образования,,29.738081
2021,,,15 лет и старше,,,Второй этап среднего образования,,29.859968
2022,,,15 лет и старше,,,Второй этап среднего образования,,33.251389
2018,,,15 лет и старше,,,Послесреднее нетретичное образование,,32.1
2019,,,15 лет и старше,,,Послесреднее нетретичное образование,,39.576314
2020,,,15 лет и старше,,,Послесреднее нетретичное образование,,44.647997
2021,,,15 лет и старше,,,Послесреднее нетретичное образование,,45.738416
2022,,,15 лет и старше,,,Послесреднее нетретичное образование,,48.411721
2018,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,44.1
2019,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,54.556962
2020,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,57.646116
2021,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,60.938271
2022,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,62.32607
2018,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,12.285869
2019,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,19.928329
2020,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,23.264547
2021,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,24.833636
2022,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,28.434755
2018,,,15 лет и старше,,Квинтиль 2,,,20.108219
2019,,,15 лет и старше,,Квинтиль 2,,,29.54173
2020,,,15 лет и старше,,Квинтиль 2,,,35.464543
2021,,,15 лет и старше,,Квинтиль 2,,,34.313233
2022,,,15 лет и старше,,Квинтиль 2,,,36.417518
2018,,,15 лет и старше,,Квинтиль 3,,,23.688371
2019,,,15 лет и старше,,Квинтиль 3,,,31.242776
2020,,,15 лет и старше,,Квинтиль 3,,,39.252696
2021,,,15 лет и старше,,Квинтиль 3,,,38.165514
2022,,,15 лет и старше,,Квинтиль 3,,,40.969805
2018,,,15 лет и старше,,Квинтиль 4,,,28.405545
2019,,,15 лет и старше,,Квинтиль 4,,,36.901646
2020,,,15 лет и старше,,Квинтиль 4,,,39.606036
2021,,,15 лет и старше,,Квинтиль 4,,,41.587399
2022,,,15 лет и старше,,Квинтиль 4,,,42.296455
2018,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,32.674186
2019,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,38.816776
2020,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,46.669807
2021,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,46.108628
2022,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,51.345982
