Year,Территория,Пол,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2019,,,,,Первый этап среднего образования,Образование главы домохозяйства,,14.480702
2020,,,,,Первый этап среднего образования,Образование главы домохозяйства,,15.941415
2021,,,,,Первый этап среднего образования,Образование главы домохозяйства,,14.268643
2022,,,,,Первый этап среднего образования,Образование главы домохозяйства,,16.56969
2023,,,,,Первый этап среднего образования,Образование главы домохозяйства,,17.392665
2018,,,,,Второй этап среднего образования,Образование главы домохозяйства,,11.4
2019,,,,,Второй этап среднего образования,Образование главы домохозяйства,,16.393354
2020,,,,,Второй этап среднего образования,Образование главы домохозяйства,,17.072533
2021,,,,,Второй этап среднего образования,Образование главы домохозяйства,,14.552442
2022,,,,,Второй этап среднего образования,Образование главы домохозяйства,,15.870421
2023,,,,,Второй этап среднего образования,Образование главы домохозяйства,,20.618935
2018,,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,19.7
2019,,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,28.63316
2020,,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,26.911668
2021,,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,25.664207
2022,,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,27.049901
2023,,,,,Послесреднее нетретичное образование,Образование главы домохозяйства,,22.148259
2018,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),Образование главы домохозяйства,,38.9
2019,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),Образование главы домохозяйства,,43.47959
2020,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),Образование главы домохозяйства,,43.203737
2021,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),Образование главы домохозяйства,,42.28483
2022,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),Образование главы домохозяйства,,44.103777
2023,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),Образование главы домохозяйства,,21.800265
2018,,,,Квинтиль 1 (беднейшие),,,,10.0
2019,,,,Квинтиль 1 (беднейшие),,,,161.0
2020,,,,Квинтиль 1 (беднейшие),,,,178.0
2021,,,,Квинтиль 1 (беднейшие),,,,176.0
2022,,,,Квинтиль 1 (беднейшие),,,,168.0
2023,,,,Квинтиль 1 (беднейшие),,,,151.0
2018,,,,Квинтиль 2,,,,2.6
2019,,,,Квинтиль 2,,,,19.894537
2020,,,,Квинтиль 2,,,,19.792564
2021,,,,Квинтиль 2,,,,19.024458
2022,,,,Квинтиль 2,,,,20.29754
2023,,,,Квинтиль 2,,,,17.066945
2018,,,,Квинтиль 3,,,,6.1
2019,,,,Квинтиль 3,,,,23.388382
2020,,,,Квинтиль 3,,,,25.632521
2021,,,,Квинтиль 3,,,,20.90386
2022,,,,Квинтиль 3,,,,20.462653
2023,,,,Квинтиль 3,,,,17.117857
2018,,,,Квинтиль 4,,,,9.3
2019,,,,Квинтиль 4,,,,28.436681
2020,,,,Квинтиль 4,,,,25.947289
2021,,,,Квинтиль 4,,,,25.414722
2022,,,,Квинтиль 4,,,,29.734732
2023,,,,Квинтиль 4,,,,22.725888
2018,,,,Квинтиль 5 (богатейшие),,,,76.9
2019,,,,Квинтиль 5 (богатейшие),,,,29.400431
2020,,,,Квинтиль 5 (богатейшие),,,,26.109187
2021,,,,Квинтиль 5 (богатейшие),,,,23.244428
2022,,,,Квинтиль 5 (богатейшие),,,,24.710164
2023,,,,Квинтиль 5 (богатейшие),,,,27.767655
