Year,Показатель,Территория,Местность,Образование главы домохозяйства,Квинтиль индекса благосостояния,Value
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,,98.2
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Баткенская область,,,,99.4
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Джалал-Абадская область,,,,99.1
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Иссык-Кульская область,,,,99.0
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Нарынская область,,,,97.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Ошская область,,,,98.4
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Таласская область,,,,99.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Чуйская область,,,,99.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",г. Бишкек,,,,95.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",г. Ош,,,,98.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,городская,,,96.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,сельская,,,99.1
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Дошкольное или нет/Начальное,,99.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Основное общее,,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Среднее общее,,97.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Профессиональное начальное/среднее,,98.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Высшее,,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Беднейший,97.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Второй,99.2
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Средний,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Четвертый,97.0
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Богатейший,98.4
