Year,SERIES,Пол,Value
2013,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,1.647081
2014,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,2.2
2015,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,2.561247
2016,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,2.847982
2017,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,2.829919
2018,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,2.679579
2019,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,3.9
2020,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,3.9
2021,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,3.5
2012,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.0
2013,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,0.860462
2014,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,1.673521
2015,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,1.6564
2016,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.349465
2017,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.423241
2018,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.468275
2019,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.5
2020,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.4
2021,Доля должностей в государственных учреждениях: на специальных должностях,Женщины,2.4
2012,Доля должностей в государственных учреждениях: на административных должностях,,94.569008
2013,Доля должностей в государственных учреждениях: на административных должностях,,93.771247
2014,Доля должностей в государственных учреждениях: на административных должностях,,96.013194
2015,Доля должностей в государственных учреждениях: на административных должностях,,93.379791
2016,Доля должностей в государственных учреждениях: на административных должностях,,92.812782
2017,Доля должностей в государственных учреждениях: на административных должностях,,95.759658
2018,Доля должностей в государственных учреждениях: на административных должностях,,96.085809
2019,Доля должностей в государственных учреждениях: на административных должностях,,95.5
2020,Доля должностей в государственных учреждениях: на административных должностях,,95.5
2021,Доля должностей в государственных учреждениях: на административных должностях,,94.4
2012,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,93.327789
2013,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,92.265459
2014,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,92.2
2015,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,91.713066
2016,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,91.295737
2017,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,94.835636
2018,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,95.364799
2019,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,94.4
2020,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,94.4
2021,Доля должностей в государственных учреждениях: на административных должностях,Мужчины,93.1
2012,Доля должностей в государственных учреждениях: на административных должностях,Женщины,96.4
2013,Доля должностей в государственных учреждениях: на административных должностях,Женщины,96.013194
2014,Доля должностей в государственных учреждениях: на административных должностях,Женщины,95.745284
2015,Доля должностей в государственных учреждениях: на административных должностях,Женщины,95.838467
2016,Доля должностей в государственных учреждениях: на административных должностях,Женщины,95.1
2017,Доля должностей в государственных учреждениях: на административных должностях,Женщины,97.094864
2018,Доля должностей в государственных учреждениях: на административных должностях,Женщины,97.155208
2019,Доля должностей в государственных учреждениях: на административных должностях,Женщины,97.155208
2020,Доля должностей в государственных учреждениях: на административных должностях,Женщины,97.2
2021,Доля должностей в государственных учреждениях: на административных должностях,Женщины,96.2
