Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Value
2015,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,7.8
2016,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,7.8
2017,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,7.5
2018,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,8.4
2019,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,8.786411
2020,Доля людей с доходом ниже 50 процентов медианного дохода,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,Нижние 50%,8.2
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,9.432768
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,12.156859
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,17.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,12.7
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,13.148975
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Баткенская область,,,,Нижние 50%,11.755326
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,16.445544
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,16.724154
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,16.7
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,17.6
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,17.383491
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Джалал-Абадская область,,,,Нижние 50%,18.008531
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,17.230053
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,16.543761
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,17.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,14.7
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,14.950191
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Иссык-Кульская область,,,,Нижние 50%,12.86032
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,31.283961
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,30.792373
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,30.8
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,31.7
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,29.020992
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Нарынская область,,,,Нижние 50%,27.855975
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,10.295311
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,6.259579
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,4.2
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,8.8
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,7.362662
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Ошская область,,,,Нижние 50%,3.856705
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,17.628776
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,16.289548
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,17.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,17.6
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,15.083486
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Таласская область,,,,Нижние 50%,12.700277
2015,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,8.324989
2016,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,9.54309
2017,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,6.0
2018,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,5.5
2019,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,4.972738
2020,Доля людей с доходом ниже 50 процентов медианного дохода,Чуйская область,,,,Нижние 50%,6.543626
2015,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,6.300161
2016,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,5.9524
2017,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,5.3
2018,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,6.8
2019,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,6.252085
2020,Доля людей с доходом ниже 50 процентов медианного дохода,г. Бишкек,,,,Нижние 50%,7.921875
2015,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,4.356925
2016,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,8.77669
2017,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,8.8
2018,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,10.2
2019,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,8.254219
2020,Доля людей с доходом ниже 50 процентов медианного дохода,г. Ош,,,,Нижние 50%,6.255189
