Year,Пол,Возраст,Тип местности,Вид экономической деятельности,Value
2019,,от 50 до 54 лет,,,8.6
2015,,от 55 до 59 лет,,,11.393416
2016,,от 55 до 59 лет,,,8.398371000000001
2017,,от 55 до 59 лет,,,10.344861
2018,,от 55 до 59 лет,,,9.489257
2019,,от 55 до 59 лет,,,7.9
2015,,от 60 до 64 лет ,,,9.437077
2016,,от 60 до 64 лет ,,,14.236348999999999
2017,,от 60 до 64 лет ,,,14.339166
2018,,от 60 до 64 лет ,,,11.956667
2019,,от 60 до 64 лет ,,,8.8
2015,,от 65 до 69 лет,,,5.348356
2016,,от 65 до 69 лет,,,7.617625
2017,,от 65 до 69 лет,,,6.152168
2018,,от 65 до 69 лет,,,4.775939
2019,,от 65 до 69 лет,,,4.2
2015,,70 лет и старше,,,4.3248120000000005
2016,,70 лет и старше,,,13.929941
2017,,70 лет и старше,,,10.576621000000001
2018,,70 лет и старше,,,3.7174720000000003
2019,,70 лет и старше,,,7.3
2015,,,Городская,,18.096777
2016,,,Городская,,11.846667
2017,,,Городская,,13.174610999999999
2018,,,Городская,,13.0
2019,,,Городская,,9.7
2015,,,Сельская,,25.484816
2016,,,Сельская,,21.760369
2017,,,Сельская,,20.740757000000002
2018,,,Сельская,,16.9
2019,,,Сельская,,15.2
2015,,,,"Сельское хозяйство, лесоводство и рыболовство",29.143908000000003
2016,,,,"Сельское хозяйство, лесоводство и рыболовство",24.458297
2017,,,,"Сельское хозяйство, лесоводство и рыболовство",22.569518
2018,,,,"Сельское хозяйство, лесоводство и рыболовство",21.917679999999997
2019,,,,"Сельское хозяйство, лесоводство и рыболовство",14.2
2015,,,,Горнодобывающая промышленность и разработка карьеров,25.706733
2016,,,,Горнодобывающая промышленность и разработка карьеров,17.407080999999998
2017,,,,Горнодобывающая промышленность и разработка карьеров,43.485033
2018,,,,Горнодобывающая промышленность и разработка карьеров,46.524661
2019,,,,Горнодобывающая промышленность и разработка карьеров,40.4
2015,,,,Обрабатывающая промышленность,20.686606
2016,,,,Обрабатывающая промышленность,16.804167
2017,,,,Обрабатывающая промышленность,19.252254999999998
2018,,,,Обрабатывающая промышленность,12.973925999999999
2019,,,,Обрабатывающая промышленность,14.3
2015,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",10.380818
2016,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",6.694578999999999
2017,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",16.766198000000003
2018,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",9.870001
2019,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",10.0
2015,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",8.763458
2016,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",11.046114999999999
2017,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",16.935338
2018,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",14.440148
2019,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",16.3
2015,,,,Строительство,30.479759
2016,,,,Строительство,21.910701
2017,,,,Строительство,25.189653
2018,,,,Строительство,18.342748
2019,,,,Строительство,16.1
2015,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,17.048203
2016,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,13.904379
2017,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,12.664883
2018,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,12.403591
2019,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,11.6
2015,,,,Транспорт и складское хозяйство,22.27405
2016,,,,Транспорт и складское хозяйство,20.940255
2017,,,,Транспорт и складское хозяйство,17.99169
2018,,,,Транспорт и складское хозяйство,14.190519
2019,,,,Транспорт и складское хозяйство,15.2
2015,,,,Размещение и общественное питание,18.21034
2016,,,,Размещение и общественное питание,13.950839000000002
2017,,,,Размещение и общественное питание,10.454912
2018,,,,Размещение и общественное питание,10.100327
2019,,,,Размещение и общественное питание,8.9
2015,,,,Информация и связь,23.378289000000002
2016,,,,Информация и связь,12.552141
2017,,,,Информация и связь,7.217630000000001
2018,,,,Информация и связь,7.398289999999999
2019,,,,Информация и связь,2.1
2015,,,,Финансовая деятельность и страхование,10.489030999999999
2016,,,,Финансовая деятельность и страхование,6.973096000000001
2017,,,,Финансовая деятельность и страхование,11.910368
2018,,,,Финансовая деятельность и страхование,10.729115
2019,,,,Финансовая деятельность и страхование,15.6
2015,,,,Операции с недвижимым имуществом,3.9345550000000005
2016,,,,Операции с недвижимым имуществом,1.56104
2017,,,,Операции с недвижимым имуществом,1.876997
2015,,,,"Профессиональная, научная и техническая деятельность",18.961063
2016,,,,"Профессиональная, научная и техническая деятельность",6.415037
2017,,,,"Профессиональная, научная и техническая деятельность",10.733285
2018,,,,"Профессиональная, научная и техническая деятельность",6.187182
2019,,,,"Профессиональная, научная и техническая деятельность",12.6
2015,,,,Деятельность в сфере административных и вспомогательных услуг,13.647895000000002
2016,,,,Деятельность в сфере административных и вспомогательных услуг,9.73944
2017,,,,Деятельность в сфере административных и вспомогательных услуг,17.445705
2018,,,,Деятельность в сфере административных и вспомогательных услуг,10.903917
2019,,,,Деятельность в сфере административных и вспомогательных услуг,10.8
2015,,,,Государственное управление и оборона; обязательное социальное страхование,16.876779
2016,,,,Государственное управление и оборона; обязательное социальное страхование,9.94822
2017,,,,Государственное управление и оборона; обязательное социальное страхование,10.126909
2018,,,,Государственное управление и оборона; обязательное социальное страхование,6.6467600000000004
2019,,,,Государственное управление и оборона; обязательное социальное страхование,6.7
2015,,,,Образование,20.413164000000002
2016,,,,Образование,16.145522
2017,,,,Образование,18.579279999999997
2018,,,,Образование,18.915135
2019,,,,Образование,13.2
2015,,,,Деятельность в сфере здравоохранения и социальных услуг,13.310295000000002
2016,,,,Деятельность в сфере здравоохранения и социальных услуг,11.612557
2017,,,,Деятельность в сфере здравоохранения и социальных услуг,15.172329000000001
2018,,,,Деятельность в сфере здравоохранения и социальных услуг,12.026034
2019,,,,Деятельность в сфере здравоохранения и социальных услуг,10.9
2015,,,,"Искусство, сфера развлечений и отдыха",24.880928
2016,,,,"Искусство, сфера развлечений и отдыха",22.865184
2017,,,,"Искусство, сфера развлечений и отдыха",13.457395000000002
2018,,,,"Искусство, сфера развлечений и отдыха",9.968181
2019,,,,"Искусство, сфера развлечений и отдыха",13.3
2015,,,,Прочие виды деятельности в сфере услуг,14.316551
2016,,,,Прочие виды деятельности в сфере услуг,10.525974
2017,,,,Прочие виды деятельности в сфере услуг,9.650244
2018,,,,Прочие виды деятельности в сфере услуг,9.121616
2019,,,,Прочие виды деятельности в сфере услуг,6.8
2015,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,23.958709
2016,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,46.915523
2017,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,31.481607
2018,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,23.380874
2019,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,18.3
2017,,,,Деятельность экстерриториальных организаций и органов,15.599785999999998
