Year,Пол,Возраст,Уровень образования,COMPOSITE_BREAKDOWN,Value
2013-A1,,51 лет и старше,,,168
2014-A1,,51 лет и старше,,,296
2015-A1,,51 лет и старше,,,256
2016-A1,,51 лет и старше,,,530
2017-A1,,51 лет и старше,,,1014
2018-A1,,51 лет и старше,,,885
2019-A1,,51 лет и старше,,,610
2009-A1,,,Магистратура или её эквивалент,,264
2010-A1,,,Магистратура или её эквивалент,,141
2011-A1,,,Магистратура или её эквивалент,,156
2012-A1,,,Магистратура или её эквивалент,,222
2013-A1,,,Магистратура или её эквивалент,,174
2014-A1,,,Магистратура или её эквивалент,,246
2015-A1,,,Магистратура или её эквивалент,,276
2016-A1,,,Магистратура или её эквивалент,,559
2017-A1,,,Магистратура или её эквивалент,,650
2018-A1,,,Магистратура или её эквивалент,,818
2019-A1,,,Магистратура или её эквивалент,,728
2009-A1,,,Бакалавриат или его эквивалент,,131
2010-A1,,,Бакалавриат или его эквивалент,,191
2011-A1,,,Бакалавриат или его эквивалент,,164
2012-A1,,,Бакалавриат или его эквивалент,,121
2013-A1,,,Бакалавриат или его эквивалент,,87
2014-A1,,,Бакалавриат или его эквивалент,,173
2015-A1,,,Бакалавриат или его эквивалент,,159
2016-A1,,,Бакалавриат или его эквивалент,,576
2017-A1,,,Бакалавриат или его эквивалент,,585
2018-A1,,,Бакалавриат или его эквивалент,,685
2019-A1,,,Бакалавриат или его эквивалент,,407
2009-A1,,,Короткий цикл третичного образования,,523
2010-A1,,,Короткий цикл третичного образования,,495
2011-A1,,,Короткий цикл третичного образования,,359
2012-A1,,,Короткий цикл третичного образования,,421
2013-A1,,,Короткий цикл третичного образования,,483
2014-A1,,,Короткий цикл третичного образования,,318
2015-A1,,,Короткий цикл третичного образования,,563
2016-A1,,,Короткий цикл третичного образования,,1226
2017-A1,,,Короткий цикл третичного образования,,1035
2018-A1,,,Короткий цикл третичного образования,,1223
2019-A1,,,Короткий цикл третичного образования,,1177
2009-A1,,,Второй этап среднего образования,,1101
2010-A1,,,Второй этап среднего образования,,795
2011-A1,,,Второй этап среднего образования,,1072
2012-A1,,,Второй этап среднего образования,,1647
2013-A1,,,Второй этап среднего образования,,1588
2014-A1,,,Второй этап среднего образования,,1839
2015-A1,,,Второй этап среднего образования,,2195
2016-A1,,,Второй этап среднего образования,,4436
2017-A1,,,Второй этап среднего образования,,4793
2018-A1,,,Второй этап среднего образования,,4228
2019-A1,,,Второй этап среднего образования,,3381
2009-A1,,,,Образование: Другое,74
2010-A1,,,,Образование: Другое,167
2011-A1,,,,Образование: Другое,58
2012-A1,,,,Образование: Другое,4
2013-A1,,,,Образование: Другое,7
2014-A1,,,,Образование: Другое,42
2015-A1,,,,Образование: Другое,140
2016-A1,,,,Образование: Другое,208
2017-A1,,,,Образование: Другое,260
2018-A1,,,,Образование: Другое,224
2019-A1,,,,Образование: Другое,452
2009-A1,,,,Занятость: Работают,533
2010-A1,,,,Занятость: Работают,560
2011-A1,,,,Занятость: Работают,493
2012-A1,,,,Занятость: Работают,478
2013-A1,,,,Занятость: Работают,383
2014-A1,,,,Занятость: Работают,464
2015-A1,,,,Занятость: Работают,646
2016-A1,,,,Занятость: Работают,1658
2017-A1,,,,Занятость: Работают,1516
2018-A1,,,,Занятость: Работают,1818
2019-A1,,,,Занятость: Работают,1178
2009-A1,,,,Занятость: Не работают,1384
2010-A1,,,,Занятость: Не работают,1106
2011-A1,,,,Занятость: Не работают,1232
2012-A1,,,,Занятость: Не работают,1814
2013-A1,,,,Занятость: Не работают,1810
2014-A1,,,,Занятость: Не работают,1916
2015-A1,,,,Занятость: Не работают,2428
2016-A1,,,,Занятость: Не работают,4906
2017-A1,,,,Занятость: Не работают,5164
2018-A1,,,,Занятость: Не работают,4681
2019-A1,,,,Занятость: Не работают,4290
2009-A1,,,,"Занятость: Учащиеся, студенты",82
2010-A1,,,,"Занятость: Учащиеся, студенты",30
2011-A1,,,,"Занятость: Учащиеся, студенты",14
2012-A1,,,,"Занятость: Учащиеся, студенты",36
2013-A1,,,,"Занятость: Учащиеся, студенты",61
2014-A1,,,,"Занятость: Учащиеся, студенты",95
2015-A1,,,,"Занятость: Учащиеся, студенты",94
2016-A1,,,,"Занятость: Учащиеся, студенты",74
2017-A1,,,,"Занятость: Учащиеся, студенты",120
2018-A1,,,,"Занятость: Учащиеся, студенты",364
2019-A1,,,,"Занятость: Учащиеся, студенты",318
2009-A1,,,,Занятость: Пенсионеры,94
2010-A1,,,,Занятость: Пенсионеры,93
2011-A1,,,,Занятость: Пенсионеры,70
2012-A1,,,,Занятость: Пенсионеры,87
2013-A1,,,,Занятость: Пенсионеры,85
2014-A1,,,,Занятость: Пенсионеры,143
2015-A1,,,,Занятость: Пенсионеры,165
2016-A1,,,,Занятость: Пенсионеры,367
2017-A1,,,,Занятость: Пенсионеры,523
2018-A1,,,,Занятость: Пенсионеры,315
2019-A1,,,,Занятость: Пенсионеры,359
