Year,SERIES,Территория,Возраст,GeoCode,Value
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,34.445603
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,32.450331
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,27.505407
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,20.346733
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,18.726592
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,19.815314
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,11.351981
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,15.235174
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,15.507169
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,40.599511
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,43.986528
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,49.775699
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,49.038739
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,46.766805
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,25.552099
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,23.537218
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,32.279275
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,36.397123
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Ошская область,,KG06,26.083524
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,48.794449
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,61.884874
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,51.555883
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,39.738875
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,32.170099
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,41.943974
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,33.438662
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,36.890901
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,32.449726
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Таласская область,,KG07,25.190295
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,31.488782
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,34.041943
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,31.154508
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,35.764419
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,30.102889
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,24.77942
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,27.234744
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,32.421299
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,30.303403
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Чуйская область,,KG08,30.240993
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,67.903553
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,53.621316
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,54.34825
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,99.421992
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,61.361069
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,47.939623
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,42.607395
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,43.227712
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,50.286734
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Бишкек,,KG11,39.88044
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,38.720578
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,48.088624
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,41.182821
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,31.186184
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,32.093396
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,38.133333
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,34.332724
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,38.737483
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,37.055296
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",г. Ош,,KG21,27.303253
