Year,Территория,Пол,COMPOSITE_BREAKDOWN,GeoCode,Value
2013,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,395.050817
2014,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,379.475983
2015,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,370.689655
2016,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,334.324554
2017,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,334.589615
2018,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,309.661437
2019,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,303.05499
2020,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,400.0
2021,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,360.7
2007,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,426.911042
2008,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,401.599289
2009,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,371.919014
2010,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,393.831024
2011,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,367.39227
2012,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,398.767606
2013,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,376.578145
2014,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,346.683893
2015,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,351.489362
2016,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,323.109244
2017,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,317.295728
2018,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,294.430794
2019,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,302.748585
2020,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,354.1
2021,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,355.7
2007,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,333.333333
2008,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,306.525038
2009,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,280.675422
2010,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,301.11239
2011,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,326.251897
2012,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,318.198874
2013,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,327.400816
2014,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,317.582418
2015,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,310.032597
2016,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,312.813171
2017,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,302.654867
2018,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,307.988788
2019,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,317.030871
2020,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,340.7
2021,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,332.2
2007,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,351.515152
2008,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,322.60479
2009,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,278.846154
2010,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,300.757576
2011,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,346.556886
2012,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,338.757396
2013,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,347.69905
2014,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,366.064982
2015,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,327.623126
2016,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,334.273625
2017,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,311.977716
2018,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,334.710744
2019,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,344.239945
2020,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,388.9
2021,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,377.1
2007,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,314.685315
2008,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,290.0
2009,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,282.559025
2010,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,301.476301
2011,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,305.384615
2012,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,297.029703
2013,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,306.475904
2014,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,267.657993
2015,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,291.911765
2016,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,290.697674
2017,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,293.016559
2018,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,280.313837
2019,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,288.841808
2020,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,290.6
2021,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG04,285.6
2007,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,246.353611
2008,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,252.523479
2009,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,266.436881
2010,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,285.129847
2011,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,275.168963
2012,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,281.602757
2013,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,264.368785
2014,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,273.041759
2015,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,265.675241
2016,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,239.007538
2017,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,240.774908
2018,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,229.292169
2019,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,230.9
2020,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,304.8
2021,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,248.1
2007,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,253.001412
2008,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,260.983264
2009,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,272.245038
2010,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,301.200565
2011,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,294.630404
2012,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,299.110198
2013,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,280.361325
2014,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,291.224056
2015,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,269.292092
2016,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,243.075008
2017,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,251.674787
2018,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,243.702489
2019,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,248.613139
2020,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,330.8
2021,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,259.2
2007,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,239.605735
2008,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,243.945554
2009,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG06,260.545044
