Year,SERIES,Территория,UNIT_MEASURE,Value
2019,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,3.605604
2020,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,3.537928
2014,Число жертв умышленных убийств,г. Бишкек,Число,65.0
2015,Число жертв умышленных убийств,г. Бишкек,Число,60.0
2016,Число жертв умышленных убийств,г. Бишкек,Число,40.0
2017,Число жертв умышленных убийств,г. Бишкек,Число,61.0
2018,Число жертв умышленных убийств,г. Бишкек,Число,48.0
2019,Число жертв умышленных убийств,г. Бишкек,Число,38.0
2020,Число жертв умышленных убийств,г. Бишкек,Число,38.0
2014,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,4.439643
2015,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,4.351721
2016,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,2.128218
2017,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,5.539821
2018,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,4.007267
2019,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,2.879724
2020,Число жертв умышленных убийств на 100 000 человек,г. Ош,На 100 000 населения,3.41441
2014,Число жертв умышленных убийств,г. Ош,Число,12.0
2015,Число жертв умышленных убийств,г. Ош,Число,12.0
2016,Число жертв умышленных убийств,г. Ош,Число,6.0
2017,Число жертв умышленных убийств,г. Ош,Число,16.0
2018,Число жертв умышленных убийств,г. Ош,Число,12.0
2019,Число жертв умышленных убийств,г. Ош,Число,9.0
2020,Число жертв умышленных убийств,г. Ош,Число,11.0
