Year,Территория,Возраст,Тип местности,UNIT_MEASURE,GeoCode,Value
2016,г. Бишкек,,,На 100 000 живорождений,KG11,17.6
2017,г. Бишкек,,,На 100 000 живорождений,KG11,13.4
2018,г. Бишкек,,,На 100 000 живорождений,KG11,14.4
2019,г. Бишкек,,,На 100 000 живорождений,KG11,10.1
2020,г. Бишкек,,,На 100 000 живорождений,KG11,26.8
2021,г. Бишкек,,,На 100 000 живорождений,KG11,19.3
2022,г. Бишкек,,,На 100 000 живорождений,KG11,34.3
2023,г. Бишкек,,,На 100 000 живорождений,KG11,13.5
2024,г. Бишкек,,,На 100 000 живорождений,KG11,27.0
2015,г. Ош,,,На 100 000 живорождений,KG21,68.1
2016,г. Ош,,,На 100 000 живорождений,KG21,13.5
2017,г. Ош,,,На 100 000 живорождений,KG21,51.9
2018,г. Ош,,,На 100 000 живорождений,KG21,16.7
2020,г. Ош,,,На 100 000 живорождений,KG21,33.6
2021,г. Ош,,,На 100 000 живорождений,KG21,16.5
2023,г. Ош,,,На 100 000 живорождений,KG21,14.0
2024,г. Ош,,,На 100 000 живорождений,KG21,8.6
2015,,,Городская,Число,,14.0
2016,,,Городская,Число,,8.0
2017,,,Городская,Число,,10.0
2018,,,Городская,Число,,16.0
2019,,,Городская,Число,,13.0
2020,,,Городская,Число,,17.0
2021,,,Городская,Число,,10.0
2022,,,Городская,Число,,12.0
2023,,,Городская,Число,,8.0
2024,,,Городская,Число,,10.0
2015,,,Сельская,Число,,49.0
2016,,,Сельская,Число,,40.0
2017,,,Сельская,Число,,38.0
2018,,,Сельская,Число,,35.0
2019,,,Сельская,Число,,30.0
2020,,,Сельская,Число,,50.0
2021,,,Сельская,Число,,47.0
2022,,,Сельская,Число,,29.0
2023,,,Сельская,Число,,30.0
2024,,,Сельская,Число,,26.0
2015,,от 15 до 19 лет,,Число,,5.0
2016,,от 15 до 19 лет,,Число,,3.0
2017,,от 15 до 19 лет,,Число,,1.0
2018,,от 15 до 19 лет,,Число,,5.0
2019,,от 15 до 19 лет,,Число,,1.0
2020,,от 15 до 19 лет,,Число,,2.0
2021,,от 15 до 19 лет,,Число,,6.0
2023,,от 15 до 19 лет,,Число,,1.0
2024,,от 15 до 19 лет,,Число,,1.0
2015,,от 20 до 24 лет,,Число,,11.0
2016,,от 20 до 24 лет,,Число,,8.0
2017,,от 20 до 24 лет,,Число,,6.0
2018,,от 20 до 24 лет,,Число,,16.0
2019,,от 20 до 24 лет,,Число,,10.0
2020,,от 20 до 24 лет,,Число,,13.0
2021,,от 20 до 24 лет,,Число,,12.0
2022,,от 20 до 24 лет,,Число,,12.0
2023,,от 20 до 24 лет,,Число,,7.0
2024,,от 20 до 24 лет,,Число,,11.0
2015,,от 25 до 29 лет,,Число,,19.0
2016,,от 25 до 29 лет,,Число,,11.0
2017,,от 25 до 29 лет,,Число,,13.0
2018,,от 25 до 29 лет,,Число,,7.0
2019,,от 25 до 29 лет,,Число,,9.0
2020,,от 25 до 29 лет,,Число,,16.0
2021,,от 25 до 29 лет,,Число,,11.0
2022,,от 25 до 29 лет,,Число,,6.0
2023,,от 25 до 29 лет,,Число,,9.0
2024,,от 25 до 29 лет,,Число,,3.0
2015,,от 30 до 34 лет,,Число,,12.0
2016,,от 30 до 34 лет,,Число,,11.0
2017,,от 30 до 34 лет,,Число,,16.0
2018,,от 30 до 34 лет,,Число,,11.0
2019,,от 30 до 34 лет,,Число,,16.0
2020,,от 30 до 34 лет,,Число,,9.0
2021,,от 30 до 34 лет,,Число,,15.0
2022,,от 30 до 34 лет,,Число,,18.0
2023,,от 30 до 34 лет,,Число,,10.0
2024,,от 30 до 34 лет,,Число,,7.0
2015,,от 35 до 39 лет,,Число,,12.0
2016,,от 35 до 39 лет,,Число,,13.0
2017,,от 35 до 39 лет,,Число,,10.0
2018,,от 35 до 39 лет,,Число,,9.0
2019,,от 35 до 39 лет,,Число,,4.0
2020,,от 35 до 39 лет,,Число,,16.0
2021,,от 35 до 39 лет,,Число,,6.0
2022,,от 35 до 39 лет,,Число,,4.0
2023,,от 35 до 39 лет,,Число,,7.0
2024,,от 35 до 39 лет,,Число,,10.0
2015,,от 40 до 44 лет,,Число,,4.0
2016,,от 40 до 44 лет,,Число,,1.0
2017,,от 40 до 44 лет,,Число,,2.0
2018,,от 40 до 44 лет,,Число,,3.0
2019,,от 40 до 44 лет,,Число,,3.0
2020,,от 40 до 44 лет,,Число,,10.0
2021,,от 40 до 44 лет,,Число,,7.0
2022,,от 40 до 44 лет,,Число,,1.0
2023,,от 40 до 44 лет,,Число,,4.0
2024,,от 40 до 44 лет,,Число,,4.0
2016,,от 45 до 49 лет,,Число,,1.0
2020,,от 45 до 49 лет,,Число,,1.0
