Year,Reference area,Sex,Age,Degree of urbanisation,Value
2019,Jalal-Abad,Male,,,26.006375
2020,Jalal-Abad,Male,,,35.4
2007,Issyk-Kul,,,,38.587156
2008,Issyk-Kul,,,,52.243736
2009,Issyk-Kul,,,,46.090374
2010,Issyk-Kul,,,,38.013539
2011,Issyk-Kul,,,,29.522755
2012,Issyk-Kul,,,,28.137635
2013,Issyk-Kul,,,,39.47799
2014,Issyk-Kul,,,,26.014325
2015,Issyk-Kul,,,,28.892638
2016,Issyk-Kul,,,,24.744553
2017,Issyk-Kul,,,,24.170329
2018,Issyk-Kul,,,,21.52951
2019,Issyk-Kul,,,,24.449709
2020,Issyk-Kul,,,,27.9
2007,Issyk-Kul,Female,,,38.684594
2008,Issyk-Kul,Female,,,52.152947
2009,Issyk-Kul,Female,,,47.889059
2010,Issyk-Kul,Female,,,36.910699
2011,Issyk-Kul,Female,,,31.115103
2012,Issyk-Kul,Female,,,28.242618
2013,Issyk-Kul,Female,,,40.42619
2014,Issyk-Kul,Female,,,26.354813
2015,Issyk-Kul,Female,,,29.07856
2016,Issyk-Kul,Female,,,24.749642
2017,Issyk-Kul,Female,,,24.266813
2018,Issyk-Kul,Female,,,21.495641
2019,Issyk-Kul,Female,,,25.261408
2020,Issyk-Kul,Female,,,29.0
2007,Issyk-Kul,Male,,,38.498843
2008,Issyk-Kul,Male,,,52.32036
2009,Issyk-Kul,Male,,,44.51291
2010,Issyk-Kul,Male,,,39.006289
2011,Issyk-Kul,Male,,,28.112247
2012,Issyk-Kul,Male,,,28.021324
2013,Issyk-Kul,Male,,,38.474804
2014,Issyk-Kul,Male,,,25.663079
2015,Issyk-Kul,Male,,,28.701454
2016,Issyk-Kul,Male,,,24.739204
2017,Issyk-Kul,Male,,,24.067407
2018,Issyk-Kul,Male,,,21.566132
2019,Issyk-Kul,Male,,,23.571244
2020,Issyk-Kul,Male,,,26.7
2007,Naryn,,,,45.182679
2008,Naryn,,,,42.730284
2009,Naryn,,,,44.11792
2010,Naryn,,,,53.531335
2011,Naryn,,,,49.925098
2012,Naryn,,,,39.932299
2013,Naryn,,,,43.754395
2014,Naryn,,,,30.560927
2015,Naryn,,,,38.007029
2016,Naryn,,,,37.798212
2017,Naryn,,,,29.21834
2018,Naryn,,,,30.596328
2019,Naryn,,,,28.138698
2020,Naryn,,,,36.8
2007,Naryn,Female,,,46.868159
2008,Naryn,Female,,,42.698866
2009,Naryn,Female,,,44.838863
2010,Naryn,Female,,,53.397509
2011,Naryn,Female,,,48.269824
2012,Naryn,Female,,,37.664069
2013,Naryn,Female,,,44.781415
2014,Naryn,Female,,,32.369301
2015,Naryn,Female,,,39.504744
2016,Naryn,Female,,,39.601891
2017,Naryn,Female,,,31.189138
2018,Naryn,Female,,,31.5949
2019,Naryn,Female,,,28.978045
2020,Naryn,Female,,,37.6
2007,Naryn,Male,,,43.678265
2008,Naryn,Male,,,42.757725
2009,Naryn,Male,,,43.496308
2010,Naryn,Male,,,53.676668
2011,Naryn,Male,,,51.728537
2012,Naryn,Male,,,42.395906
2013,Naryn,Male,,,42.671843
2014,Naryn,Male,,,28.643083
2015,Naryn,Male,,,36.407725
2016,Naryn,Male,,,35.859946
2017,Naryn,Male,,,27.069804
2018,Naryn,Male,,,29.460632
2019,Naryn,Male,,,27.215175
2020,Naryn,Male,,,35.9
2007,Osh,,,,46.59161
2008,Osh,,,,37.452826
2009,Osh,,,,38.292036
2010,Osh,,,,41.897118
2011,Osh,,,,44.680774
2012,Osh,,,,51.433698
2013,Osh,,,,43.409369
2014,Osh,,,,31.74014
2015,Osh,,,,28.944511
2016,Osh,,,,22.024663
2017,Osh,,,,14.267617
2018,Osh,,,,14.77862
2019,Osh,,,,14.029578
2020,Osh,,,,18.8
2007,Osh,Female,,,48.708186
2008,Osh,Female,,,37.931554
2009,Osh,Female,,,38.334636
2010,Osh,Female,,,40.639754
2011,Osh,Female,,,44.169695
2012,Osh,Female,,,50.553916
2013,Osh,Female,,,42.660819
2014,Osh,Female,,,30.494417
2015,Osh,Female,,,28.438703
2016,Osh,Female,,,21.810872
2017,Osh,Female,,,12.948415
2018,Osh,Female,,,15.25625
2019,Osh,Female,,,14.136274
2020,Osh,Female,,,18.9
2007,Osh,Male,,,44.295394
2008,Osh,Male,,,36.91306
2009,Osh,Male,,,38.245332
2010,Osh,Male,,,43.246261
2011,Osh,Male,,,45.24075
2012,Osh,Male,,,52.41883
2013,Osh,Male,,,44.228326
2014,Osh,Male,,,33.102942
2015,Osh,Male,,,29.48951
2016,Osh,Male,,,22.264453
2017,Osh,Male,,,15.723495
2018,Osh,Male,,,14.253422
2019,Osh,Male,,,13.910068
2020,Osh,Male,,,18.7
2007,Talas,,,,35.259053
2008,Talas,,,,42.972123
2009,Talas,,,,33.003964
2010,Talas,,,,42.338833
2011,Talas,,,,50.172706
2012,Talas,,,,39.57478
2013,Talas,,,,23.057182
2014,Talas,,,,19.048344
2015,Talas,,,,21.481514
2016,Talas,,,,18.115851
2017,Talas,,,,20.679703
2018,Talas,,,,22.085934
2019,Talas,,,,13.290366
2020,Talas,,,,12.5
2007,Talas,Female,,,35.524401
2008,Talas,Female,,,45.40342
2009,Talas,Female,,,35.673722
2010,Talas,Female,,,44.324841
2011,Talas,Female,,,51.365667
2012,Talas,Female,,,42.155403
2013,Talas,Female,,,23.320678
2014,Talas,Female,,,19.717988
2015,Talas,Female,,,22.565255
2016,Talas,Female,,,19.131642
2017,Talas,Female,,,21.40538
2018,Talas,Female,,,23.802663
2019,Talas,Female,,,13.968631
2020,Talas,Female,,,12.1
2007,Talas,Male,,,34.937966
2008,Talas,Male,,,40.025342
2009,Talas,Male,,,29.757565
2010,Talas,Male,,,40.090318
2011,Talas,Male,,,48.834977
2012,Talas,Male,,,36.737399
2013,Talas,Male,,,22.797196
2014,Talas,Male,,,18.38895
2015,Talas,Male,,,20.402521
2016,Talas,Male,,,17.094741
2017,Talas,Male,,,19.940922
2018,Talas,Male,,,20.340712
2019,Talas,Male,,,12.593674
2020,Talas,Male,,,12.9
2007,Chui,,,,14.980994
2008,Chui,,,,15.782631
2009,Chui,,,,21.239381
2010,Chui,,,,21.868453
2011,Chui,,,,28.620908
2012,Chui,,,,16.571766
2013,Chui,,,,23.615399
2014,Chui,,,,21.576154
2015,Chui,,,,24.813851
2016,Chui,,,,30.306457
2017,Chui,,,,33.300588
2018,Chui,,,,15.569903
2019,Chui,,,,19.096515
2020,Chui,,,,25.4
2007,Chui,Female,,,13.323177
2008,Chui,Female,,,14.947409
2009,Chui,Female,,,20.612283
2010,Chui,Female,,,21.810234
2011,Chui,Female,,,31.580794
2012,Chui,Female,,,16.336951
2013,Chui,Female,,,23.536875
2014,Chui,Female,,,20.781079
2015,Chui,Female,,,24.23137
2016,Chui,Female,,,29.796796
2017,Chui,Female,,,32.33125
2018,Chui,Female,,,15.460809
2019,Chui,Female,,,19.149802
2020,Chui,Female,,,24.3
2007,Chui,Male,,,16.816017
2008,Chui,Male,,,16.656433
2009,Chui,Male,,,21.936014
2010,Chui,Male,,,21.932251
2011,Chui,Male,,,25.292386
2012,Chui,Male,,,16.835987
2013,Chui,Male,,,23.697958
2014,Chui,Male,,,22.438097
2015,Chui,Male,,,25.448532
2016,Chui,Male,,,30.862157
2017,Chui,Male,,,34.357578
2018,Chui,Male,,,15.688805
2019,Chui,Male,,,19.037373
2020,Chui,Male,,,26.6
2007,Bishkek (city),,,,5.005041
2008,Bishkek (city),,,,15.199877
2009,Bishkek (city),,,,13.244359
2010,Bishkek (city),,,,7.89363
2011,Bishkek (city),,,,18.412319
2012,Bishkek (city),,,,21.394253
2013,Bishkek (city),,,,20.374195
2014,Bishkek (city),,,,17.559795
2015,Bishkek (city),,,,23.541813
2016,Bishkek (city),,,,9.78144
2017,Bishkek (city),,,,15.895977
2018,Bishkek (city),,,,15.431849
2019,Bishkek (city),,,,11.923173
2020,Bishkek (city),,,,16.8
2007,Bishkek (city),Female,,,4.99107
2008,Bishkek (city),Female,,,14.580408
2009,Bishkek (city),Female,,,12.694536
2010,Bishkek (city),Female,,,7.30227
2011,Bishkek (city),Female,,,17.126273
2012,Bishkek (city),Female,,,19.902241
2013,Bishkek (city),Female,,,18.389802
2014,Bishkek (city),Female,,,15.756847
2015,Bishkek (city),Female,,,22.249204
2016,Bishkek (city),Female,,,8.899379
2017,Bishkek (city),Female,,,14.320885
2018,Bishkek (city),Female,,,14.746661
2019,Bishkek (city),Female,,,10.945122
2020,Bishkek (city),Female,,,16.4
2007,Bishkek (city),Male,,,5.022346
2008,Bishkek (city),Male,,,15.989713
2009,Bishkek (city),Male,,,13.950363
2010,Bishkek (city),Male,,,8.654215
2011,Bishkek (city),Male,,,20.038087
2012,Bishkek (city),Male,,,23.294374
2013,Bishkek (city),Male,,,22.845597
2014,Bishkek (city),Male,,,19.854368
2015,Bishkek (city),Male,,,25.206391
2016,Bishkek (city),Male,,,10.893361
2017,Bishkek (city),Male,,,17.858219
2018,Bishkek (city),Male,,,16.325681
2019,Bishkek (city),Male,,,13.205044
2020,Bishkek (city),Male,,,17.3
2007,Osh (city),,,,0.0
2008,Osh (city),,,,0.0
2009,Osh (city),,,,0.0
2010,Osh (city),,,,0.0
2011,Osh (city),,,,0.0
2012,Osh (city),,,,0.0
2013,Osh (city),,,,40.875893
2014,Osh (city),,,,33.421786
2015,Osh (city),,,,38.278868
2016,Osh (city),,,,24.59944
2017,Osh (city),,,,33.489021
2018,Osh (city),,,,35.470048
2019,Osh (city),,,,20.664792
2020,Osh (city),,,,14.7
2007,Osh (city),Female,,,0.0
2008,Osh (city),Female,,,0.0
2009,Osh (city),Female,,,0.0
2010,Osh (city),Female,,,0.0
2011,Osh (city),Female,,,0.0
2012,Osh (city),Female,,,0.0
2013,Osh (city),Female,,,40.214977
2014,Osh (city),Female,,,31.961883
2015,Osh (city),Female,,,35.847234
2016,Osh (city),Female,,,23.187149
2017,Osh (city),Female,,,30.888271
2018,Osh (city),Female,,,33.89696
2019,Osh (city),Female,,,19.658728
2020,Osh (city),Female,,,14.7
2007,Osh (city),Male,,,0.0
2008,Osh (city),Male,,,0.0
2009,Osh (city),Male,,,0.0
2010,Osh (city),Male,,,0.0
2011,Osh (city),Male,,,0.0
2012,Osh (city),Male,,,0.0
2013,Osh (city),Male,,,41.620642
2014,Osh (city),Male,,,35.041318
2015,Osh (city),Male,,,41.029123
2016,Osh (city),Male,,,26.170219
2017,Osh (city),Male,,,36.383303
2018,Osh (city),Male,,,37.27373
2019,Osh (city),Male,,,21.814125
2020,Osh (city),Male,,,14.8
