Year,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,COMPOSITE_BREAKDOWN,GeoCode,Value
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,4.4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,4.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,Женщины,,,,,,,5.0
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,4.1
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,4.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,1.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,1.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,1.5
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Баткенская область,,,,,,,KG05,2.2
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,3.0
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,1.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,0.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Джалал-Абадская область,,,,,,,KG03,2.2
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,3.0
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,2.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,2.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,2.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,2.7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Иссык-Кульская область,,,,,,,KG02,1.9
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,10.5
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,9.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,8.2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,8.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,5.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Нарынская область,,,,,,,KG04,9.6
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,5.2
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,6.4
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,6.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,4.8
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,6.5
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Ошская область,,,,,,,KG06,3.2
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,1.9
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,0.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,0.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,1.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,1.2
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Таласская область,,,,,,,KG07,1.7
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,10.4
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,11.9
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,12.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,10.3
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,10.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,Чуйская область,,,,,,,KG08,10.9
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,2.8
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,3.0
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,5.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,3.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,4.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Бишкек,,,,,,,KG11,3.2
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,7.8
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,8.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,4.1
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,5.5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,5.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,г. Ош,,,,,,,KG21,13.3
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,4.2
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,4.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,3.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,3.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,3.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,до 6 лет,,,,,,4.0
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,4.3
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,3.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,3.5
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,3.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,3.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 7 до 14 лет,,,,,,3.4
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,4.0
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,4.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,3.6
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,2.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,3.6
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,от 15 до 28 лет,,,,,,3.5
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,4.8
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,4.8
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,4.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,3.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,3.7
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,,4.4
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,11.6
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,12.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,12.9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,10.9
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,10.9
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,,10.4
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,4.4
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,3.9
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,3.8
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,3.4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,3.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Начальное образование,,,3.7
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,5.9
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,7.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,7.2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,5.2
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,5.9
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Первый этап среднего образования,,,6.7
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,5.1
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,4.6
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,3.7
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,3.4
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,4.3
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Второй этап среднего образования,,,4.2
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,7.3
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,9.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,7.9
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,6.5
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,6.5
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Послесреднее нетретичное образование,,,7.8
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,4.9
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,5.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,6.4
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,5.0
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,4.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,,4.8
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,2.8
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,2.7
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,2.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,2.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,4.1
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 1 (беднейшие),,,,3.6
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,4.8
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,4.5
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,5.0
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,3.6
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,3.8
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 2,,,,5.4
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,5.2
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,5.1
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,5.2
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,3.7
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,4.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 3,,,,5.8
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,7.8
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,7.9
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,4.3
2021,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,5.1
2022,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,5.4
2023,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 4,,,,3.8
2018,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,5.1
2019,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,6.2
2020,Доля населения с большим удельным весом семейных расходов на медицинскую помощь (более 10%) в общем объеме расходов или доходов домохозяйств,,,,,Квинтиль 5 (богатейшие),,,,7.3
