Year,Reference area,Sex,Age,Degree of urbanisation,Value
2015,Issyk-Kul,Female,,,291
2016,Issyk-Kul,Female,,,247
2017,Issyk-Kul,Female,,,243
2018,Issyk-Kul,Female,,,215
2019,Issyk-Kul,Female,,,253
2020,Issyk-Kul,Female,,,290
2007,Issyk-Kul,Male,,,385
2008,Issyk-Kul,Male,,,523
2009,Issyk-Kul,Male,,,445
2010,Issyk-Kul,Male,,,390
2011,Issyk-Kul,Male,,,281
2012,Issyk-Kul,Male,,,280
2013,Issyk-Kul,Male,,,385
2014,Issyk-Kul,Male,,,257
2015,Issyk-Kul,Male,,,287
2016,Issyk-Kul,Male,,,247
2017,Issyk-Kul,Male,,,241
2018,Issyk-Kul,Male,,,216
2019,Issyk-Kul,Male,,,236
2020,Issyk-Kul,Male,,,267
2007,Naryn,,,,452
2008,Naryn,,,,427
2009,Naryn,,,,441
2010,Naryn,,,,535
2011,Naryn,,,,499
2012,Naryn,,,,399
2013,Naryn,,,,438
2014,Naryn,,,,306
2015,Naryn,,,,380
2016,Naryn,,,,378
2017,Naryn,,,,292
2018,Naryn,,,,306
2019,Naryn,,,,281
2020,Naryn,,,,368
2007,Naryn,Female,,,469
2008,Naryn,Female,,,427
2009,Naryn,Female,,,448
2010,Naryn,Female,,,534
2011,Naryn,Female,,,483
2012,Naryn,Female,,,377
2013,Naryn,Female,,,448
2014,Naryn,Female,,,324
2015,Naryn,Female,,,395
2016,Naryn,Female,,,396
2017,Naryn,Female,,,312
2018,Naryn,Female,,,316
2019,Naryn,Female,,,290
2020,Naryn,Female,,,376
2007,Naryn,Male,,,437
2008,Naryn,Male,,,428
2009,Naryn,Male,,,435
2010,Naryn,Male,,,537
2011,Naryn,Male,,,517
2012,Naryn,Male,,,424
2013,Naryn,Male,,,427
2014,Naryn,Male,,,286
2015,Naryn,Male,,,364
2016,Naryn,Male,,,359
2017,Naryn,Male,,,271
2018,Naryn,Male,,,295
2019,Naryn,Male,,,272
2020,Naryn,Male,,,359
2007,Osh,,,,466
2008,Osh,,,,375
2009,Osh,,,,383
2010,Osh,,,,419
2011,Osh,,,,447
2012,Osh,,,,514
2013,Osh,,,,434
2014,Osh,,,,317
2015,Osh,,,,289
2016,Osh,,,,220
2017,Osh,,,,143
2018,Osh,,,,148
2019,Osh,,,,140
2020,Osh,,,,188
2007,Osh,Female,,,487
2008,Osh,Female,,,379
2009,Osh,Female,,,383
2010,Osh,Female,,,406
2011,Osh,Female,,,442
2012,Osh,Female,,,506
2013,Osh,Female,,,427
2014,Osh,Female,,,305
2015,Osh,Female,,,284
2016,Osh,Female,,,218
2017,Osh,Female,,,129
2018,Osh,Female,,,153
2019,Osh,Female,,,141
2020,Osh,Female,,,189
2007,Osh,Male,,,443
2008,Osh,Male,,,369
2009,Osh,Male,,,382
2010,Osh,Male,,,432
2011,Osh,Male,,,452
2012,Osh,Male,,,524
2013,Osh,Male,,,442
2014,Osh,Male,,,331
2015,Osh,Male,,,295
2016,Osh,Male,,,223
2017,Osh,Male,,,157
2018,Osh,Male,,,143
2019,Osh,Male,,,139
2020,Osh,Male,,,187
2007,Talas,,,,353
2008,Talas,,,,430
2009,Talas,,,,330
2010,Talas,,,,423
2011,Talas,,,,502
2012,Talas,,,,396
2013,Talas,,,,231
2014,Talas,,,,190
2015,Talas,,,,215
2016,Talas,,,,181
2017,Talas,,,,207
2018,Talas,,,,221
2019,Talas,,,,133
2020,Talas,,,,125
2007,Talas,Female,,,355
2008,Talas,Female,,,454
2009,Talas,Female,,,357
2010,Talas,Female,,,443
2011,Talas,Female,,,514
2012,Talas,Female,,,422
2013,Talas,Female,,,233
2014,Talas,Female,,,197
2015,Talas,Female,,,226
2016,Talas,Female,,,191
2017,Talas,Female,,,214
2018,Talas,Female,,,238
2019,Talas,Female,,,140
2020,Talas,Female,,,121
2007,Talas,Male,,,349
2008,Talas,Male,,,400
2009,Talas,Male,,,298
2010,Talas,Male,,,401
2011,Talas,Male,,,488
2012,Talas,Male,,,367
2013,Talas,Male,,,228
2014,Talas,Male,,,184
2015,Talas,Male,,,204
2016,Talas,Male,,,171
2017,Talas,Male,,,199
2018,Talas,Male,,,203
2019,Talas,Male,,,126
2020,Talas,Male,,,129
2007,Chui,,,,150
2008,Chui,,,,158
2009,Chui,,,,212
2010,Chui,,,,219
2011,Chui,,,,286
2012,Chui,,,,166
2013,Chui,,,,236
2014,Chui,,,,216
2015,Chui,,,,248
2016,Chui,,,,303
2017,Chui,,,,333
2018,Chui,,,,156
2019,Chui,,,,191
2020,Chui,,,,254
2007,Chui,Female,,,133
2008,Chui,Female,,,149
2009,Chui,Female,,,206
2010,Chui,Female,,,218
2011,Chui,Female,,,316
2012,Chui,Female,,,163
2013,Chui,Female,,,235
2014,Chui,Female,,,208
2015,Chui,Female,,,242
2016,Chui,Female,,,298
2017,Chui,Female,,,323
2018,Chui,Female,,,155
2019,Chui,Female,,,191
2020,Chui,Female,,,243
2007,Chui,Male,,,168
2008,Chui,Male,,,167
2009,Chui,Male,,,219
2010,Chui,Male,,,219
2011,Chui,Male,,,253
2012,Chui,Male,,,168
2013,Chui,Male,,,237
2014,Chui,Male,,,224
2015,Chui,Male,,,254
2016,Chui,Male,,,309
2017,Chui,Male,,,344
2018,Chui,Male,,,157
2019,Chui,Male,,,190
2020,Chui,Male,,,266
2007,Bishkek (city),,,,50
2008,Bishkek (city),,,,152
2009,Bishkek (city),,,,132
2010,Bishkek (city),,,,79
2011,Bishkek (city),,,,184
2012,Bishkek (city),,,,214
2013,Bishkek (city),,,,204
2014,Bishkek (city),,,,176
2015,Bishkek (city),,,,235
2016,Bishkek (city),,,,98
2017,Bishkek (city),,,,159
2018,Bishkek (city),,,,154
2019,Bishkek (city),,,,119
2020,Bishkek (city),,,,168
2007,Bishkek (city),Female,,,50
2008,Bishkek (city),Female,,,146
2009,Bishkek (city),Female,,,127
2010,Bishkek (city),Female,,,73
2011,Bishkek (city),Female,,,171
2012,Bishkek (city),Female,,,199
2013,Bishkek (city),Female,,,184
2014,Bishkek (city),Female,,,158
2015,Bishkek (city),Female,,,222
2016,Bishkek (city),Female,,,89
2017,Bishkek (city),Female,,,143
2018,Bishkek (city),Female,,,147
2019,Bishkek (city),Female,,,109
2020,Bishkek (city),Female,,,164
2007,Bishkek (city),Male,,,50
2008,Bishkek (city),Male,,,160
2009,Bishkek (city),Male,,,140
2010,Bishkek (city),Male,,,87
2011,Bishkek (city),Male,,,200
2012,Bishkek (city),Male,,,233
2013,Bishkek (city),Male,,,228
2014,Bishkek (city),Male,,,199
2015,Bishkek (city),Male,,,252
2016,Bishkek (city),Male,,,109
2017,Bishkek (city),Male,,,179
2018,Bishkek (city),Male,,,163
2019,Bishkek (city),Male,,,132
2020,Bishkek (city),Male,,,173
2007,Osh (city),,,,0
2008,Osh (city),,,,0
2009,Osh (city),,,,0
2010,Osh (city),,,,0
2011,Osh (city),,,,0
2012,Osh (city),,,,0
2013,Osh (city),,,,409
2014,Osh (city),,,,334
2015,Osh (city),,,,383
2016,Osh (city),,,,246
2017,Osh (city),,,,335
2018,Osh (city),,,,355
2019,Osh (city),,,,207
2020,Osh (city),,,,147
2007,Osh (city),Female,,,0
2008,Osh (city),Female,,,0
2009,Osh (city),Female,,,0
2010,Osh (city),Female,,,0
2011,Osh (city),Female,,,0
2012,Osh (city),Female,,,0
2013,Osh (city),Female,,,402
2014,Osh (city),Female,,,320
2015,Osh (city),Female,,,358
2016,Osh (city),Female,,,232
2017,Osh (city),Female,,,309
2018,Osh (city),Female,,,339
2019,Osh (city),Female,,,197
2020,Osh (city),Female,,,147
2007,Osh (city),Male,,,0
2008,Osh (city),Male,,,0
2009,Osh (city),Male,,,0
2010,Osh (city),Male,,,0
2011,Osh (city),Male,,,0
2012,Osh (city),Male,,,0
2013,Osh (city),Male,,,416
2014,Osh (city),Male,,,350
2015,Osh (city),Male,,,410
2016,Osh (city),Male,,,262
2017,Osh (city),Male,,,364
2018,Osh (city),Male,,,373
2019,Osh (city),Male,,,218
2020,Osh (city),Male,,,148
