Year,SERIES,Reference area,Age,Value
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,27.5
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,20.3
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,18.7
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,40.6
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,44.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,49.8
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,49.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,46.8
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,25.6
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,48.8
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,61.9
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,51.6
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,39.7
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,32.2
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,41.9
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,31.5
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,34.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,31.2
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,35.8
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,30.1
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,24.8
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,67.9
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,53.6
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,54.3
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,99.4
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,61.4
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,47.9
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,38.7
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,48.1
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,41.2
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,31.2
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,32.1
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,38.1
