Year,SERIES,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Talas,under 18 years old,,,,,KG07,15.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Chui,under 18 years old,,,,,KG08,11.6
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Chui,under 18 years old,,,,,KG08,8.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Bishkek (city),under 18 years old,,,,,KG11,5.3
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Bishkek (city),under 18 years old,,,,,KG11,2.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh (city),under 18 years old,,,,,KG21,13.2
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,Osh (city),under 18 years old,,,,,KG21,2.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Lower secondary education,,,30.3
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Lower secondary education,,,26.0
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Upper secondary education,,,21.3
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Upper secondary education,,,17.6
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Post-secondary non-tertiary education,,,6.0
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Post-secondary non-tertiary education,,,4.5
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Short-cycle tertiary education,,,2.6
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,Short-cycle tertiary education,,,1.1
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,Persons without disability,,12.7
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,,,Persons without disability,,9.3
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 1 (poorest),,,,11.8
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 1 (poorest),,,,19.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 2,,,,19.7
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 2,,,,10.1
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 3,,,,14.4
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 3,,,,8.8
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 4,,,,12.5
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 4,,,,8.7
2018,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 5 (richest),,,,6.4
2023,Proportion of women aged 20-24 years who were married or in a union before age 18,,under 18 years old,,Quintile 5 (richest),,,,2.4
